Atomic Number,Abbreviation,Atomic Volume,Atomic Weight,Boiling Temperature,Covalent Radius,Density,Electron Affinity,Electronegativity,Fusion Enthalpy,GS Bandgap,GS Energy,Heat Capacity (Mass),Heat Capacity (Molar),First Ionization Energy,Second Ionization Energy,Third Ionization Energy,Fourth Ionization Energy,Fifth Ionization Energy,Sixth Ionization Energy,Seventh Ionization Energy,Eighth Ionization Energy,IsAlkali,IsDBlock,IsFBlock,IsMetal,IsMetalloid,IsNonmetal,Melting Temperature,Number d-shell Valence Electrons,Number f-shell Valence Electrons,Number p-shell Valence Electrons,Number s-shell Valence Electrons,Number Unfilled Electrons,Number Valence Electrons,Polarizability,Phi,Conductivity
1,H,18618.05194,1.00794,20.13,31,0.0899,72.8,2.2,0.06,7.853,-3.331290765,14.304,28.836,13.598443,,,,,,,,0,0,0,0,0,1,14.01,0,0,0,1,1,1,0.666793,5.2,
2,He,37236.03556,4.002602,4.07,28,0.1785,0,,,18.098,0.0011354,5.13,20.786,24.587387,54.41776,,,,,,,0,0,0,0,0,1,,0,0,0,2,0,2,0.2050522,,
3,Li,21.54405808,6.941,1615,128,535,59.6,0.98,3,0,-1.86988691,3.582,24.86,5.391719,75.64,122.45429,,,,,,1,0,0,1,0,0,453.69,0,0,0,1,1,1,24.335,2.85,
4,Be,8.098176455,9.012182,2743,96,1848,0,1.57,7.895,0,-3.755038695,1.825,16.443,9.3227,18.21114,153.89661,217.71865,,,,,1,0,0,1,0,0,1560,0,0,0,2,0,2,5.6,5.05,
5,B,7.297767265,10.811,4273,84,2460,26.7,2.04,50.2,1.524,-6.677698154,1.026,11.087,8.29802,25.1548,37.93064,259.37521,340.2258,,,,0,0,0,0,1,0,2348,0,0,1,2,5,3,3.03,5.3,
6,C,8.825089715,12.0107,4300,76,2260,153.9,2.55,117.4,4.496,-9.209713655,0.709,8.517,11.2603,24.3833,47.8878,64.4939,392.087,489.99334,,,0,0,0,0,0,1,3823,0,0,2,2,4,4,1.67,6.24,
7,N,18592.49897,14.0067,77.21,71,1.251,7,3.04,0.355,6.437,-8.21144121,1.04,29.124,14.5341,29.6013,47.44924,77.4735,97.8902,552.0718,667.046,,0,0,0,0,0,1,63.05,0,0,3,2,3,5,1.1,6.86,
8,O,18592.19717,15.9994,90.1,66,1.429,141,3.44,0.22,0,-4.756791905,0.918,29.378,13.61805,35.1211,54.9355,77.41353,113.899,138.1197,739.29,871.4101,0,0,0,0,0,1,54.8,0,0,4,2,2,6,0.802,,
9,F,18601.60857,18.9984032,84.88,57,1.696,328,3.98,0.255,1.97,-1.698060958,0.824,31.304,17.4228,34.9708,62.7084,87.1398,114.2428,157.1651,185.186,953.9112,0,0,0,0,0,1,53.5,0,0,5,2,1,7,0.557,,
10,Ne,37232.18569,20.1791,26.92,58,0.9,0,,0.164,13.088,0.09403567,1.03,20.786,21.56454,40.96296,63.45,97.12,126.21,157.93,207.2759,239.0989,0,0,0,0,0,1,24.56,0,0,6,2,0,8,0.39432,,
11,Na,39.43832888,22.98976928,1156,166,968,52.8,0.93,2.6,0,-1.260241383,1.228,28.23,5.139076,47.2864,71.62,98.91,138.4,172.18,208.5,264.25,1,0,0,1,0,0,370.87,0,0,0,1,1,1,24.11,2.7,
12,Mg,23.2222931,24.305,1363,141,1738,0,1.31,8.48,0,-1.54227231,1.023,24.869,7.646235,15.03527,80.1437,109.2655,141.27,186.76,225.02,265.96,1,0,0,1,0,0,923,0,0,0,2,0,2,10.76666667,3.45,156
13,Al,16.59442452,26.9815386,2792,121,2700,42.5,1.61,10.71,0,-3.74542312,0.897,24.2,5.985768,18.82855,28.44765,119.992,153.825,190.49,241.76,284.66,0,0,0,1,0,0,933.47,0,0,1,2,5,3,6.8,4.2,
14,Si,20.01637772,28.0855,3173,111,2330,133.6,1.9,50.21,0.773,-5.424918005,0.712,19.99,8.15168,16.34584,33.49302,45.14181,166.767,205.27,246.5,303.54,0,0,0,0,1,0,1687,0,0,2,2,4,4,5.53,4.7,
15,P,28.21412182,30.973762,553.5,107,1823,72,2.19,18.54,1.625,-5.400509043,0.769,23.824,10.48669,19.7695,30.2027,51.4439,65.0251,220.421,263.57,309.6,0,0,0,0,0,1,317.3,0,0,3,2,3,5,3.63,5.55,
