,ID,Ele1,Wt1,Ele2,Wt2,Ele3,Wt3,Reactor,NH3,Space Velocity,Temperature,Conversion,Standard Error,nAveraged,Groups
204,1,Ru,3.0,Fe,1.0,K,12.0,14.0,1,1922.0074257425745,250,0.03324361117758398,0.01064540835026303,4,21736
0,1,Ru,3.0,Fe,1.0,K,12.0,2.0,1,4401.971153846155,250,0.11732999999999999,,1,21736
208,1,Ru,3.0,Fe,1.0,K,12.0,14.0,1,1922.0074257425745,300,0.1061535388286205,0.018761215266648475,2,21736
6,1,Ru,3.0,Fe,1.0,K,12.0,2.0,1,4401.971153846155,300,0.18367,,1,21736
210,1,Ru,3.0,Fe,1.0,K,12.0,14.0,1,1922.0074257425745,350,0.27243221412908064,0.007096817696892066,3,21736
12,1,Ru,3.0,Fe,1.0,K,12.0,2.0,1,4401.971153846155,350,0.228,,1,21736
213,1,Ru,3.0,Fe,1.0,K,12.0,14.0,1,1922.0074257425745,400,0.707539477269706,0.025198245371630335,3,21736
18,1,Ru,3.0,Fe,1.0,K,12.0,2.0,1,4401.971153846155,400,0.762,,1,21736
216,1,Ru,3.0,Fe,1.0,K,12.0,14.0,1,1922.0074257425745,450,0.9548104995472896,0.017861567203210724,3,21736
1,2,Ru,2.0,Fe,2.0,K,12.0,3.0,1,4431.9000000000015,250,0.044000000000000004,,1,21736
7,2,Ru,2.0,Fe,2.0,K,12.0,3.0,1,4431.9000000000015,300,0.107,,1,21736
13,2,Ru,2.0,Fe,2.0,K,12.0,3.0,1,4431.9000000000015,350,0.2364,,1,21736
19,2,Ru,2.0,Fe,2.0,K,12.0,3.0,1,4431.9000000000015,400,0.7305,,1,21736
2,3,Ru,1.0,Fe,3.0,K,12.0,10.0,1,4480.78125,250,0.04767,,1,21736
8,3,Ru,1.0,Fe,3.0,K,12.0,10.0,1,4480.78125,300,0.17667,,1,21736
14,3,Ru,1.0,Fe,3.0,K,12.0,10.0,1,4480.78125,350,0.49700000000000005,,1,21736
20,3,Ru,1.0,Fe,3.0,K,12.0,10.0,1,4480.78125,400,0.9487,,1,21736
3,4,Ru,3.0,Co,1.0,K,12.0,7.0,1,4296.279306829765,250,0.13333,,1,22572
9,4,Ru,3.0,Co,1.0,K,12.0,7.0,1,4296.279306829765,300,0.43267,,1,22572
15,4,Ru,3.0,Co,1.0,K,12.0,7.0,1,4296.279306829765,350,0.88533,,1,22572
21,4,Ru,3.0,Co,1.0,K,12.0,7.0,1,4296.279306829765,400,0.9885,,1,22572
4,5,Ru,2.0,Co,2.0,K,12.0,9.0,1,4317.892156862746,250,0.075,,1,22572
10,5,Ru,2.0,Co,2.0,K,12.0,9.0,1,4317.892156862746,300,0.075,,1,22572
16,5,Ru,2.0,Co,2.0,K,12.0,9.0,1,4317.892156862746,350,0.54667,,1,22572
22,5,Ru,2.0,Co,2.0,K,12.0,9.0,1,4317.892156862746,400,0.9847,,1,22572
5,6,Ru,1.0,Co,3.0,K,12.0,11.0,1,4817.450980392158,250,0.08433,,1,22572
