,ID,Ele1,Wt1,Ele2,Wt2,Ele3,Wt3,Reactor,Wt(g),NH3,Space Velocity,Ramp Direction,Temperature,Pred Value,Concentration
0,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,down,250,0.00857365228434818,0.14743793811103506
1,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,down,250,0.00881176856746741,0.12375970827705003
2,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,down,250,0.00891832069860397,0.11316418823405865
3,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,down,250,0.0076768171968202,0.2366190182433692
4,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,down,250,0.00797234425248735,0.20723187405237808
5,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,250,0.009041304643173959,0.1009346923454462
6,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,250,0.00918831625123319,0.08631589098381402
7,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,250,0.0089336405723941,0.11164078341739304
8,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,300,0.00857306750974007,0.14749608796702354
9,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,300,0.00845828470360935,0.15891006448702513
10,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,300,0.00841808792111261,0.16290722353081866
11,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,down,300,0.00513758384012264,0.4891198142174964
12,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,down,300,0.0051741976798788105,0.4854789421969249
13,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,down,300,0.00598678885895209,0.4046750574431393
14,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,350,0.0055977501830691105,0.4433609761934077
15,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,350,0.0058767508418877705,0.41561721320163614
16,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,350,0.00565676275836253,0.4374927789303365
17,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,down,350,0.00535219849048094,0.4677785814787859
18,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,down,350,0.00560537694439618,0.442602572756122
19,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,down,350,0.00516093311589967,0.4867979674665592
20,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,400,0.000467494846083772,0.9535124172661796
21,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,400,0.000463025367913367,0.9539568611738808
22,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,400,0.000333712187247906,0.9668157348815108
23,15,Ru,3.0,Cu,1.0,K,12.0,0.0,0.201,0.010056338028169009,2092.910447761194,up,450,0.00024930861802615,0.9752088068909572
