,ID,Ele1,Wt1,Ele2,Wt2,Ele3,Wt3,Reactor,NH3,Space Velocity,Temperature,Concentration,Standard Error,nAveraged,Groups
0,15,Ru,3.0,Cu,1.0,K,12.0,0.0,1.005633802816901,2092.910447761194,250,0.09766241731651418,0.007114199941608583,8,29.0
8,15,Ru,3.0,Cu,1.0,K,12.0,0.0,1.005633802816901,2092.910447761194,300,0.3032333694034347,0.06458326213819217,6,29.0
14,15,Ru,3.0,Cu,1.0,K,12.0,0.0,1.005633802816901,2092.910447761194,350,0.4231853380125899,0.006544445381977586,6,29.0
20,15,Ru,3.0,Cu,1.0,K,12.0,0.0,1.005633802816901,2092.910447761194,400,0.9615262880724038,0.0036759798617730047,3,29.0
23,15,Ru,3.0,Cu,1.0,K,12.0,0.0,1.005633802816901,2092.910447761194,450,0.9856241663406208,0.005548124561289146,3,29.0
26,16,Ru,2.0,Cu,2.0,K,12.0,1.0,1.0499092558983671,2176.4500000000007,250,0.13377329859088916,0.0067310584720088875,8,29.0
34,16,Ru,2.0,Cu,2.0,K,12.0,1.0,1.0499092558983671,2176.4500000000007,300,0.2123667412658962,0.03654750466555117,6,29.0
40,16,Ru,2.0,Cu,2.0,K,12.0,1.0,1.0499092558983671,2176.4500000000007,350,0.27286448132671814,0.00816542703269509,6,29.0
46,16,Ru,2.0,Cu,2.0,K,12.0,1.0,1.0499092558983671,2176.4500000000007,400,0.617249341895345,0.008836422021733166,3,29.0
49,16,Ru,2.0,Cu,2.0,K,12.0,1.0,1.0499092558983671,2176.4500000000007,450,0.9781655267776914,0.014353457854142684,3,29.0
52,17,Ru,1.0,Cu,3.0,K,12.0,3.0,1.0151006711409405,2354.2000000000007,250,0.04389862404386964,0.007463193801697911,8,29.0
60,17,Ru,1.0,Cu,3.0,K,12.0,3.0,1.0151006711409405,2354.2000000000007,300,0.11075924705823438,0.02446718800237909,6,29.0
66,17,Ru,1.0,Cu,3.0,K,12.0,3.0,1.0151006711409405,2354.2000000000007,350,0.1547167485030769,0.0057188861452696065,6,29.0
72,17,Ru,1.0,Cu,3.0,K,12.0,3.0,1.0151006711409405,2354.2000000000007,400,0.4000561091573356,0.012459747334812464,3,29.0
75,17,Ru,1.0,Cu,3.0,K,12.0,3.0,1.0151006711409405,2354.2000000000007,450,0.829905967724828,0.007500879015500761,3,29.0
527,25,Ru,4.0,-,0.0,--,0.0,9.0,0.9572139303482592,1975.0,150,0.1421094641824149,0.007311546590563048,3,
530,25,Ru,4.0,-,0.0,--,0.0,9.0,0.9572139303482592,1975.0,250,0.2057892064097622,0.008489782183879939,7,
78,25,Ru,4.0,-,0.0,--,0.0,4.0,1.053333333333333,1925.625,250,0.11981231655345836,0.006105770389870674,8,
533,25,Ru,4.0,-,0.0,--,0.0,9.0,0.9572139303482592,1975.0,300,0.3901518235858158,0.023392044137918504,5,
86,25,Ru,4.0,-,0.0,--,0.0,4.0,1.053333333333333,1925.625,300,0.37620774259177386,0.01893274151336502,6,
535,25,Ru,4.0,-,0.0,--,0.0,9.0,0.9572139303482592,1975.0,350,0.8971233898061274,0.00673476584147703,6,
