Atomic Number,Abbreviation,AtomicVolume,AtomicWeight,BoilingT,BoilingTemp,BulkModulus,Column,CovalentRadius,Density,DipolePolarizability,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,HeatCapacityMass,HeatCapacityMolar,HeatFusion,HHIp,HHIr,ICSDVolume,IonizationEnergies_1,IonizationEnergies_2,IonizationEnergies_3,IonizationEnergies_4,IonizationEnergies_5,IonizationEnergies_6,IonizationEnergies_7,IonizationEnergies_8,IsAlkali,IsDBlock,IsFBlock,IsMetal,IsMetalloid,IsNonmetal,MeltingT,MendeleevNumber,MiracleRadius,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,NUnfilled,NValence,n_ws^third,OxidationStates,phi,Polarizability,Row,ShearModulus,SpaceGroupNumber,ZungerPP-r_d,ZungerPP-r_p,ZungerPP-r_pi,ZungerPP-r_s,ZungerPP-r_sigma
1,H,18618.05194,1.00794,20.13,20.13,,1,31,0.0899,0.666793,72.8,2.2,13.598443,0.06,7.853,-3.331290765,2.365120549,2.979865165,0,6.615,14.304,28.836,0.06,,,32.02,13.598443,,,,,,,,0,0,0,0,0,1,14.01,92,,0,0,0,0,0,0,1,1,1,1,1,1.5,-1 1,5.2,0.666793,1,,194,,,,,1.25
2,He,37236.03556,4.002602,4.07,4.07,,18,28,0.1785,0.2050522,0,,24.587387,,18.098,0.0011354,2.908733088,3.664774046,0,12.305,5.13,20.786,,3200,3900,19.08,24.587387,54.41776,,,,,,,0,0,0,0,0,1,,98,,0,0,0,0,0,0,0,2,2,0,2,,1,,0.2050522,1,,225,,,,,
3,Li,21.54405808,6.941,1615,1615,11,1,128,535,24.335,59.6,0.98,5.391719,3,0,-1.86988691,3.213570838,4.048845545,0,16.59333333,3.582,24.86,3,2900,4200,21.63,5.391719,75.64,122.45429,,,,,,1,0,0,1,0,0,453.69,1,152,0,0,0,0,0,0,1,1,3,1,1,0.98,2,2.85,24.335,2,4.2,229,,0.625,0.36,0.985,1.61
4,Be,8.098176455,9.012182,2743,2743,130,2,96,1848,5.6,0,1.57,9.3227,7.895,0,-3.755038695,2.508239481,3.160183721,0,7.89,1.825,16.443,7.895,8000,4000,8.11,9.3227,18.21114,153.89661,217.71865,,,,,1,0,0,1,0,0,1560,67,112,0,0,0,0,0,0,0,2,4,0,2,1.67,3,5.05,5.6,2,132,194,,0.44,0.2,0.64,1.08
5,B,7.297767265,10.811,4273,4273,320,13,84,2460,3.03,26.7,2.04,8.29802,50.2,1.524,-6.677698154,2.429779429,3.061330249,0,7.1725,1.026,11.087,50.2,2900,2000,7.75,8.29802,25.1548,37.93064,259.37521,340.2258,,,,0,0,0,0,1,0,2348,72,88,0,0,0,0,5,1,0,2,5,5,3,1.75,-4 2 4,5.3,3.03,2,,166,,0.315,0.165,0.48,0.795
6,C,8.825089715,12.0107,4300,4300,33,14,76,2260,1.67,153.9,2.55,11.2603,117.4,4.496,-9.209713655,2.242692341,2.825615289,0,5.64,0.709,8.517,117.4,500,500,5.67,11.2603,24.3833,47.8878,64.4939,392.087,489.99334,,,0,0,0,0,0,1,3823,77,77,0,0,0,0,4,2,0,2,6,4,4,1.77,-3 -2 -1 1 2 3 4 5,6.24,1.67,2,,194,,0.25,0.14,0.39,0.64
7,N,18592.49897,14.0067,77.21,77.21,,15,71,1.251,1.1,7,3.04,14.5341,0.355,6.437,-8.21144121,3.091182017,3.894645292,0,14.76875,1.04,29.124,0.355,1300,500,22.68,14.5341,29.6013,47.44924,77.4735,97.8902,552.0718,667.046,,0,0,0,0,0,1,63.05,82,72,0,0,0,0,3,3,0,2,7,3,5,1.65,-2,6.86,1.1,2,,194,,0.21,0.12,0.33,0.54
8,O,18592.19717,15.9994,90.1,90.1,,16,66,1.429,0.802,141,3.44,13.61805,0.22,0,-4.756791905,2.630893787,3.314718462,0,9.105,0.918,29.378,0.22,500,500,17.36,13.61805,35.1211,54.9355,77.41353,113.899,138.1197,739.29,871.4101,0,0,0,0,0,1,54.8,87,64,0,0,0,0,2,4,0,2,8,2,6,,-1,,0.802,2,,12,,0.18,0.105,0.285,0.465
9,F,18601.60857,18.9984032,84.88,84.88,,17,57,1.696,0.557,328,3.98,17.4228,0.255,1.97,-1.698060958,2.687689729,3.386276865,0,9.7075,0.824,31.304,0.255,1500,1500,16.42,17.4228,34.9708,62.7084,87.1398,114.2428,157.1651,185.186,953.9112,0,0,0,0,0,1,53.5,93,,0,0,0,0,1,5,0,2,9,1,7,,1,,0.557,2,,15,,0.155,0.095,0.25,0.405
10,Ne,37232.18569,20.1791,26.92,26.92,,18,58,0.9,0.39432,0,,21.56454,0.164,13.088,0.09403567,2.934893568,3.697734186,0,12.64,1.03,20.786,0.164,,,23.09,21.56454,40.96296,63.45,97.12,126.21,157.93,207.2759,239.0989,0,0,0,0,0,1,24.56,99,,0,0,0,0,0,6,0,2,10,0,8,,2,,0.39432,2,,225,,0.14,0.08,0.22,0.36
