,Feature Importance
Mg Loading,0.018175757014477906
K Loading,0.0
Ca Loading,0.003400751073789626
Sc Loading,0.0021946044337271746
Cr Loading,0.0023365374521347525
Mn Loading,0.0003223153038838277
Ni Loading,0.002790761807398989
Cu Loading,0.0013807479677931847
Y Loading,0.00019612537967558457
Ru Loading,0.052611352510298054
Rh Loading,0.0
In Loading,0.005042471832730135
Hf Loading,2.1174302785338002e-05
W Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
- Loading,0.0
-- Loading,0.0
reactor_number,0.008199274389815067
temperature,0.566592165773688
space_velocity,0.014961459445910602
ammonia_concentration,0.032223141612316056
n_elements,0.0
Atomic Number_0,0.0
Atomic Number_1,0.0005521922058044128
Atomic Number_2,0.0
AtomicVolume_0,0.0
AtomicVolume_1,0.0025524511351364054
AtomicVolume_2,0.0
AtomicWeight_0,0.0
AtomicWeight_1,0.0005164208639628812
AtomicWeight_2,0.0
BoilingT_0,0.0
BoilingT_1,0.0005408531613132261
BoilingT_2,0.0
Column_0,0.0
Column_1,0.0708218145967532
Column_2,0.0
CovalentRadius_0,0.0
CovalentRadius_1,0.008013104610474548
CovalentRadius_2,0.0
Density_0,0.0
Density_1,0.0005729874489440267
Density_2,0.0
DipolePolarizability_0,0.0
DipolePolarizability_1,0.000227584162355777
DipolePolarizability_2,0.0
ElectronAffinity_0,0.0
ElectronAffinity_1,0.000660017613008703
ElectronAffinity_2,0.0
Electronegativity_0,0.0
Electronegativity_1,0.014762280968223747
Electronegativity_2,0.0
FusionEnthalpy_0,0.0
FusionEnthalpy_1,0.0004817165570702231
FusionEnthalpy_2,0.0
GSbandgap_0,0.0
GSbandgap_1,0.0
GSbandgap_2,0.0
GSenergy_pa_0,0.0
GSenergy_pa_1,0.0006623386703509278
GSenergy_pa_2,0.0
HeatCapacityMass_0,0.0
HeatCapacityMass_1,0.0006037052042660814
HeatCapacityMass_2,0.0
HeatCapacityMolar_0,0.0
HeatCapacityMolar_1,0.00010957074302074744
HeatCapacityMolar_2,0.0
HeatFusion_0,0.0
HeatFusion_1,0.0009253489664700581
HeatFusion_2,0.0
IonizationEnergies_1_0,0.0
IonizationEnergies_1_1,0.00021139520641143473
IonizationEnergies_1_2,0.0
IonizationEnergies_2_0,0.0
IonizationEnergies_2_1,0.056933318776176176
IonizationEnergies_2_2,0.0
IonizationEnergies_3_0,0.0
IonizationEnergies_3_1,0.0069305538024786615
IonizationEnergies_3_2,0.0
IonizationEnergies_4_0,0.0
IonizationEnergies_4_1,0.0006151730408790508
IonizationEnergies_4_2,0.0
IonizationEnergies_5_0,0.0
IonizationEnergies_5_1,0.0003238470287831466
IonizationEnergies_5_2,0.0
IonizationEnergies_6_0,0.0
IonizationEnergies_6_1,0.000542940914172486
IonizationEnergies_6_2,0.0
IonizationEnergies_7_0,0.0
IonizationEnergies_7_1,0.0003967874180040709
IonizationEnergies_7_2,0.0
IonizationEnergies_8_0,0.0
IonizationEnergies_8_1,0.000988933079943771
IonizationEnergies_8_2,0.0
IsAlkali_0,0.0
IsAlkali_1,7.240735917240671e-06
IsAlkali_2,0.0
IsDBlock_0,0.0
IsDBlock_1,9.717562293239297e-05
IsDBlock_2,0.0
IsFBlock_0,0.0
IsFBlock_1,0.0
IsFBlock_2,0.0
IsMetal_0,0.0
IsMetal_1,0.0
IsMetal_2,0.0
IsMetalloid_0,0.0
IsMetalloid_1,0.0
IsMetalloid_2,0.0
IsNonmetal_0,0.0
IsNonmetal_1,0.0
IsNonmetal_2,0.0
MeltingT_0,0.0
MeltingT_1,0.0008902099380788511
MeltingT_2,0.0
MendeleevNumber_0,0.0
MendeleevNumber_1,0.0035539684263983283
MendeleevNumber_2,0.0
NdUnfilled_0,0.0
NdUnfilled_1,0.0030815188734064926
NdUnfilled_2,0.0
NdValence_0,0.0
NdValence_1,0.08280640576737895
NdValence_2,0.0
NfUnfilled_0,0.0
NfUnfilled_1,0.0
NfUnfilled_2,0.0
NfValence_0,0.0
NfValence_1,1.7495307605063713e-08
NfValence_2,0.0
NpUnfilled_0,0.0
NpUnfilled_1,3.58003521226179e-05
NpUnfilled_2,0.0
NpValence_0,0.0
NpValence_1,0.00013419042212165156
NpValence_2,0.0
NsUnfilled_0,0.0
NsUnfilled_1,0.0002692303378692098
NsUnfilled_2,0.0
NsValence_0,0.0
NsValence_1,0.0002662608132221413
NsValence_2,0.0
Number_0,0.0
Number_1,0.0010397958907029364
Number_2,0.0
NUnfilled_0,0.0
NUnfilled_1,0.003026160794533419
NUnfilled_2,0.0
NValence_0,0.0
NValence_1,0.00012862781898849638
NValence_2,0.0
Polarizability_0,0.0
Polarizability_1,0.00025163343281199167
Polarizability_2,0.0
Row_0,0.0
Row_1,1.1094170364553174e-05
Row_2,0.0
ZungerPP-r_d_0,0.0
ZungerPP-r_d_1,0.00029364507153934323
ZungerPP-r_d_2,0.0
ZungerPP-r_p_0,0.0
ZungerPP-r_p_1,0.0006991630977051597
ZungerPP-r_p_2,0.0
ZungerPP-r_pi_0,0.0
ZungerPP-r_pi_1,0.0002834732220951717
ZungerPP-r_pi_2,0.0
ZungerPP-r_s_0,0.0
ZungerPP-r_s_1,0.00011118348477128771
ZungerPP-r_s_2,0.0
ZungerPP-r_sigma_0,0.0
ZungerPP-r_sigma_1,0.00045631173092059894
ZungerPP-r_sigma_2,0.0
phi_0,0.0
phi_1,0.022583685414150376
phi_2,0.0
Conductivity_0,0.0
Conductivity_1,0.0005792306122332347
Conductivity_2,0.0
