,Feature Importance
Loading_1,0.08661866013762527
Loading_2,0.07007477576474642
Loading_3,0.0
reactor_number,0.0062398682784435945
temperature,0.0
space_velocity,0.06232506003670648
ammonia_concentration,0.00554816554732367
n_elements,0.0
Atomic Number_max,0.00029787570174368905
Atomic Number_min,1.1989528595752047e-05
Atomic Number_mean,0.0030833661416248747
Atomic Number_med,0.0006112364940774587
AtomicVolume_max,0.0
AtomicVolume_min,0.00017430391592097402
AtomicVolume_mean,0.0006079476392976487
AtomicVolume_med,0.0005452196790213855
AtomicWeight_max,7.467401508896843e-05
AtomicWeight_min,1.563250904440813e-06
AtomicWeight_mean,0.0001902455538024893
AtomicWeight_med,0.0008446724486546389
BoilingT_max,1.8230232919449543e-07
BoilingT_min,0.0
BoilingT_mean,3.702005881775287e-05
BoilingT_med,0.0010671697455971836
BulkModulus_max,0.0004755399420777734
BulkModulus_min,0.0
BulkModulus_mean,0.0014553599554920657
BulkModulus_med,0.002207235060366094
Column_max,0.18664668958843633
Column_min,0.0
Column_mean,0.08512981198239158
Column_med,0.00040660406276283375
CovalentRadius_max,0.0
CovalentRadius_min,0.0005377159519643078
CovalentRadius_mean,4.2099572736479396e-05
CovalentRadius_med,0.00041716891325849144
Density_max,4.64521151777063e-05
Density_min,0.0
Density_mean,1.4218476780525467e-05
Density_med,0.00010905555254752441
DipolePolarizability_max,0.0
DipolePolarizability_min,0.0
DipolePolarizability_mean,0.00015500170231476162
DipolePolarizability_med,3.5853949460073595e-06
ElectronAffinity_max,6.102252794566268e-08
ElectronAffinity_min,0.000855639891834375
ElectronAffinity_mean,0.0009888801539242591
ElectronAffinity_med,0.0013073321454530667
Electronegativity_max,6.566707754916406e-05
Electronegativity_min,0.0
Electronegativity_mean,0.0268496758758253
Electronegativity_med,0.0006161606493938603
FirstIonizationEnergy_max,0.0015151112640799113
FirstIonizationEnergy_min,0.0
FirstIonizationEnergy_mean,0.0008001577918307259
FirstIonizationEnergy_med,0.0003461505670287518
FusionEnthalpy_max,0.00011932823671980511
