,Feature Importance
Mg Loading,0.0001908105432949044
K Loading,0.0
Ca Loading,1.9499549682949766e-05
Sc Loading,0.0004813065579811593
Cr Loading,0.0008065684115329824
Mn Loading,0.00011339623892803596
Fe Loading,0.0
Co Loading,0.0
Ni Loading,4.4427048864396016e-05
Cu Loading,0.0011232683871013852
Zn Loading,0.00013044242240484196
Sr Loading,1.3048372888561641e-06
Y Loading,0.0008095661223472857
Mo Loading,0.019913099138092555
Ru Loading,0.004475737352972151
Rh Loading,0.0016313897329973594
Pd Loading,6.452904273286663e-08
In Loading,0.003573086747368194
Hf Loading,0.0010904277576758103
W Loading,0.0004945960994098378
Re Loading,0.0007843550840201972
Os Loading,0.0
Ir Loading,0.0005661573139263559
Pt Loading,0.0
Bi Loading,0.0005022137390766882
reactor_number,0.003884054390860879
temperature,0.527096288998699
space_velocity,0.007060000025691233
ammonia_concentration,0.06186534323635794
n_elements,0.0
Atomic Number_wtavg,0.001385917808031382
AtomicVolume_wtavg,0.005668232425248726
AtomicWeight_wtavg,0.0016450184941492843
BoilingT_wtavg,0.007282312633838228
Column_wtavg,0.03253249187472505
CovalentRadius_wtavg,0.011960592576412887
Density_wtavg,0.013509679529816796
DipolePolarizability_wtavg,0.00833369825922658
ElectronAffinity_wtavg,0.006443044064263004
Electronegativity_wtavg,0.004257601893190494
FusionEnthalpy_wtavg,0.00335554412460623
GSbandgap_wtavg,0.0
GSenergy_pa_wtavg,0.011593673793915309
HeatCapacityMass_wtavg,0.011998999703086566
HeatCapacityMolar_wtavg,0.005824572245031645
HeatFusion_wtavg,0.004646339533906894
IonizationEnergies_1_wtavg,0.008739830556103827
IonizationEnergies_2_wtavg,0.025950189931174265
IonizationEnergies_3_wtavg,0.003008193394043283
IonizationEnergies_4_wtavg,0.0
IonizationEnergies_5_wtavg,0.0
IonizationEnergies_6_wtavg,0.0
IonizationEnergies_7_wtavg,0.0
IonizationEnergies_8_wtavg,0.0
IsAlkali_wtavg,0.00013905824342398798
IsDBlock_wtavg,0.00013352858602512412
IsFBlock_wtavg,0.0
IsMetal_wtavg,0.0
IsMetalloid_wtavg,0.0
IsNonmetal_wtavg,0.0
MeltingT_wtavg,0.01754794036550182
MendeleevNumber_wtavg,0.03716717529642031
NdUnfilled_wtavg,0.0018078323783065455
NdValence_wtavg,0.008035108443964078
NfUnfilled_wtavg,0.0
NfValence_wtavg,0.0008783922691351857
NpUnfilled_wtavg,0.014588956023344712
NpValence_wtavg,0.015377970573864136
NsUnfilled_wtavg,0.0020950135798446915
NsValence_wtavg,0.0014781173927022355
Number_wtavg,0.00441655258261667
NUnfilled_wtavg,0.0018127754696705997
NValence_wtavg,0.026600025995234537
Polarizability_wtavg,0.008577717702834118
Row_wtavg,0.0013536288811931566
ZungerPP-r_d_wtavg,0.005651681216345834
ZungerPP-r_p_wtavg,0.005102759063295212
ZungerPP-r_pi_wtavg,0.021263311711634158
ZungerPP-r_s_wtavg,0.004705516127319292
ZungerPP-r_sigma_wtavg,0.0041566851444461575
phi_wtavg,0.004125356590508688
Conductivity_wtavg,0.008191559255980599
