,Feature Importance
Mg Loading,0.0
K Loading,0.0
Ca Loading,0.0
Sc Loading,1.7210090813915744e-05
Cr Loading,0.0005104886673892538
Mn Loading,0.0
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0010423552409825382
Cu Loading,0.0003905224257491584
Zn Loading,0.0
Sr Loading,0.0
Y Loading,2.5400229382155168e-06
Mo Loading,0.0
Ru Loading,0.027573107104995085
Rh Loading,0.0
Pd Loading,0.0
In Loading,0.0
Hf Loading,0.0
W Loading,0.0
Re Loading,0.0
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.0
reactor_number,0.016301046185866065
temperature,0.0
space_velocity,0.01798883275334618
ammonia_concentration,0.041888599401984236
n_elements,0.0
Atomic Number_mean,0.009919112786580149
Atomic Number_mad,0.0007818834826529476
Atomic Volume_wtavg,0.03886169855645192
Atomic Weight_wtavg,0.02007647695894129
Boiling Temperature_wtavg,0.01895338321568045
Periodic Table Column_mean,0.008616102458292705
Periodic Table Column_mad,0.004787184587199638
Covalent Radius_wtavg,0.020343826367976527
Density_wtavg,0.007349946091691848
Dipole Polarizability_wtavg,0.011634427301055305
Electron Affinity_wtavg,0.018439648135792373
Electronegativity_mean,0.23594766959188843
Electronegativity_mad,0.004432420193618978
Fusion Enthalpy_wtavg,0.013978835116290458
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.009588092243049377
GS Energy_mad,0.024490544330549615
Heat Capacity (Mass)_wtavg,0.0055080836816450785
Heat Capacity (Molar)_wtavg,0.01307890357714828
Heat Fusion_wtavg,0.009527223287765105
First Ionization Energy_mean,0.001645116049939807
First Ionization Energy_mad,0.0011449092589445582
Second Ionization Energy_mean,0.11532342220110482
Second Ionization Energy_mad,0.0005189109149706993
Third Ionization Energy_mean,0.0031387920828495636
Third Ionization Energy_mad,0.012636856046068692
Fourth Ionization Energy_mean,0.0014611874647952855
Fourth Ionization Energy_mad,0.0016818226466087515
Fifth Ionization Energy_mean,0.015572269084622236
Fifth Ionization Energy_mad,0.005049501702911193
Sixth Ionization Energy_mean,0.017334025196583634
Sixth Ionization Energy_mad,0.00011205843788347873
Seventh Ionization Energy_mean,0.0018669513398235594
Seventh Ionization Energy_mad,0.00018017019256566893
Eighth Ionization Energy_mean,0.0004711899053878328
Eighth Ionization Energy_mad,0.0011879353937718044
IsAlkali_mean,0.0
IsAlkali_mad,0.0
IsDBlock_mean,1.99658483597279e-05
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.021669839367378457
Mendeleev Number_mean,0.026857722966315615
Mendeleev Number_mad,0.006026498455634114
Number d-shell Unfilled Electrons_mean,0.0009078212353256876
Number d-shell Unfilled Electrons_mad,0.025286787059468657
Number d-shell Valance Electrons_mean,0.004130530935941741
Number d-shell Valance Electrons_mad,0.011927001662780616
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.00019274850269631924
Number f-shell Valance Electrons_mad,0.00012302992412774474
Number p-shell Unfilled Electrons_mean,0.0
Number p-shell Unfilled Electrons_mad,0.0
Number p-shell Valance Electrons_mean,0.0
Number p-shell Valance Electrons_mad,0.0
Number s-shell Unfilled Electrons_mean,0.0003719217665775396
Number s-shell Unfilled Electrons_mad,0.0
Number s-shell Valance Electrons_mean,0.0012236660434162135
Number s-shell Valance Electrons_mad,0.0005662273247399016
Number Unfilled Electrons_mean,2.357982970070172e-05
Number Unfilled Electrons_mad,4.755003549955658e-05
Number Valence Electrons_mean,0.019548901808512712
Number Valence Electrons_mad,0.040849739190403904
Polarizability_mean,0.00177685379337428
Polarizability_mad,2.288570004896035e-05
Periodic Table Row_mean,0.00016843774749653457
Periodic Table Row_mad,3.3016208683963485e-05
Zunger Pseudopotential (d)_mean,0.0035441103777870287
Zunger Pseudopotential (d)_mad,0.017557549406449355
Zunger Pseudopotential (p)_mean,0.0006396559634641391
Zunger Pseudopotential (p)_mad,5.4596906895516167e-05
Zunger Pseudopotential (pi)_mean,0.006184685806877144
Zunger Pseudopotential (pi)_mad,0.007207928116827484
Zunger Pseudopotential (s)_mean,5.0795964952201635e-06
Zunger Pseudopotential (s)_mad,0.0005200096567281071
Zunger Pseudopotential (sigma)_mean,0.006886056943580383
Zunger Pseudopotential (sigma)_mad,0.0030647204779304248
phi_mean,0.006771178343757419
phi_mad,0.005435889585409925
Conductivity_mean,0.0029707551322322385
Conductivity_mad,0.016027776501915926
