,Feature Importance
Mg Loading,0.0
K Loading,0.0
Ca Loading,0.0
Sc Loading,0.0011742476122159693
Cr Loading,0.00019686986655166619
Mn Loading,0.0
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0
Cu Loading,1.8892064329486702e-05
Zn Loading,2.8465958072058025e-05
Sr Loading,0.0
Y Loading,0.0010611120569663797
Mo Loading,0.0
Ru Loading,0.010433815009264658
Rh Loading,0.0018138512392602097
Pd Loading,0.0
In Loading,1.6069523656681566e-05
Hf Loading,0.00046483787771476893
W Loading,0.0
Re Loading,1.840958088516428e-05
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.0002618337068826632
reactor_number,0.013981001957476084
temperature,0.0
space_velocity,0.018433860930776248
ammonia_concentration,0.386181316025365
n_elements,0.0
Atomic Number_mean,0.0043621809332558045
Atomic Number_mad,0.0010120250901141784
Atomic Volume_wtavg,0.0070147082396994
Atomic Weight_wtavg,0.008080038980650659
Boiling Temperature_wtavg,0.004641650868586503
Periodic Table Column_mean,0.01749266126301234
Periodic Table Column_mad,0.0
Covalent Radius_wtavg,0.007873323088764846
Density_wtavg,0.013486032646870894
Dipole Polarizability_wtavg,0.007170335165608599
Electron Affinity_wtavg,0.02809941276015263
Electronegativity_mean,0.02028003926105372
Electronegativity_mad,0.0021500350516495095
Fusion Enthalpy_wtavg,0.0030625195146290122
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.0016145213195136057
GS Energy_mad,0.002485072189394603
Heat Capacity (Mass)_wtavg,0.011960103417531802
Heat Capacity (Molar)_wtavg,0.0028991121971232085
Heat Fusion_wtavg,0.006038580552297734
First Ionization Energy_mean,0.0027356288185980213
First Ionization Energy_mad,0.0029865018081955334
Second Ionization Energy_mean,0.015546609023347435
Second Ionization Energy_mad,0.018159049850763352
Third Ionization Energy_mean,0.0018032273553387562
Third Ionization Energy_mad,0.01133630659473045
Fourth Ionization Energy_mean,0.003046204356114912
Fourth Ionization Energy_mad,0.006705066309819722
Fifth Ionization Energy_mean,0.01987888295927488
Fifth Ionization Energy_mad,0.0002548413457317414
Sixth Ionization Energy_mean,0.006524671815082119
Sixth Ionization Energy_mad,0.0004130845720466353
Seventh Ionization Energy_mean,0.04061559036360677
Seventh Ionization Energy_mad,0.0010116106143002739
Eighth Ionization Energy_mean,0.05705238615424176
Eighth Ionization Energy_mad,0.004062367051616969
IsAlkali_mean,0.0
IsAlkali_mad,0.0
IsDBlock_mean,0.0
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.011460120125853748
Mendeleev Number_mean,0.003535411101564331
Mendeleev Number_mad,0.006719245078895259
Number d-shell Unfilled Electrons_mean,0.0011895563418921292
Number d-shell Unfilled Electrons_mad,0.008267655646026901
Number d-shell Valance Electrons_mean,0.039916695590096515
Number d-shell Valance Electrons_mad,0.002809110239503518
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0002996850382634792
Number f-shell Valance Electrons_mad,0.00012752325169490813
Number p-shell Unfilled Electrons_mean,0.0
Number p-shell Unfilled Electrons_mad,8.16235299488419e-06
Number p-shell Valance Electrons_mean,0.0
Number p-shell Valance Electrons_mad,0.0
Number s-shell Unfilled Electrons_mean,0.00022561118328050532
Number s-shell Unfilled Electrons_mad,4.485460912064875e-05
Number s-shell Valance Electrons_mean,0.00013083389828863636
Number s-shell Valance Electrons_mad,0.0
Number Unfilled Electrons_mean,0.009334526072247147
Number Unfilled Electrons_mad,0.007033184389093853
Number Valence Electrons_mean,0.0020193607093970355
Number Valence Electrons_mad,0.0005280327521236518
Polarizability_mean,0.019222147853307944
Polarizability_mad,0.009778738138245632
Periodic Table Row_mean,0.0
Periodic Table Row_mad,0.0011261923563928187
Zunger Pseudopotential (d)_mean,0.009535828235017951
Zunger Pseudopotential (d)_mad,0.0037691824892906295
Zunger Pseudopotential (p)_mean,0.007555704842926897
Zunger Pseudopotential (p)_mad,0.0006884938255857354
Zunger Pseudopotential (pi)_mean,0.012616895936693273
Zunger Pseudopotential (pi)_mad,0.0160646945723698
Zunger Pseudopotential (s)_mean,0.00259477499113059
Zunger Pseudopotential (s)_mad,0.006132975117448341
Zunger Pseudopotential (sigma)_mean,0.008025613570667549
Zunger Pseudopotential (sigma)_mad,0.0028817677539750477
phi_mean,0.009184278884821128
phi_mad,0.0028962715559042985
Conductivity_mean,0.009288651236201732
Conductivity_mad,0.009049255317547878
