,Feature Importance
Mg Loading,0.0001701577848651511
K Loading,0.0
Ca Loading,5.205171610806249e-05
Sc Loading,0.00029826686822063356
Cr Loading,9.255352619056831e-05
Mn Loading,3.090857750152931e-05
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.00033858875317638906
Cu Loading,0.0020645216230924844
Zn Loading,7.781697409002002e-05
Sr Loading,8.8084286379295e-07
Y Loading,4.447888153031865e-05
Mo Loading,0.008873782822741866
Ru Loading,0.006571265013630622
Rh Loading,0.006517835702163316
Pd Loading,0.0013890206784805165
In Loading,0.00926008348937782
Hf Loading,3.2293818854001774e-05
W Loading,0.00019266794041078317
Re Loading,0.00025338130309545103
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,3.256558041298579e-05
reactor_number,0.005486608579247772
temperature,0.5310408063085263
space_velocity,0.013132208952051565
ammonia_concentration,0.03267656205943495
n_elements,0.0
Atomic Number_mean,0.005069830480372094
Atomic Number_mad,0.0010775232276193857
Atomic Volume_wtavg,0.025570287808525095
Atomic Weight_wtavg,0.007959792925026014
Boiling Temperature_wtavg,0.0103556120337911
Periodic Table Column_mean,0.005182476023420912
Periodic Table Column_mad,0.00022778685623110309
Covalent Radius_wtavg,0.008343201924670116
Density_wtavg,0.008116668968338124
Dipole Polarizability_wtavg,0.009261758119033596
Electron Affinity_wtavg,0.018315685178208568
Electronegativity_mean,0.06195156412506174
Electronegativity_mad,0.00163041571432545
Fusion Enthalpy_wtavg,0.008152573406628916
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.0013842827258955565
GS Energy_mad,0.002011812373321403
Heat Capacity (Mass)_wtavg,0.008241996952477515
Heat Capacity (Molar)_wtavg,0.006512733485699595
Heat Fusion_wtavg,0.011458845891622615
First Ionization Energy_mean,0.0005624756202203189
First Ionization Energy_mad,0.0014985781121275982
Second Ionization Energy_mean,0.033905729472985244
Second Ionization Energy_mad,0.00308649284277427
Third Ionization Energy_mean,0.0030403428433903477
Third Ionization Energy_mad,0.00332595587020783
Fourth Ionization Energy_mean,0.001343810236791136
Fourth Ionization Energy_mad,0.00020276059699447682
Fifth Ionization Energy_mean,0.0049759616147383836
Fifth Ionization Energy_mad,0.0007586594600253781
Sixth Ionization Energy_mean,0.005227637234906468
Sixth Ionization Energy_mad,0.001009081165076615
Seventh Ionization Energy_mean,0.002080165779715759
Seventh Ionization Energy_mad,0.00011971616558956768
Eighth Ionization Energy_mean,0.0023808630172621917
Eighth Ionization Energy_mad,0.0012990050019839059
IsAlkali_mean,1.8634544658057339e-06
IsAlkali_mad,0.0
IsDBlock_mean,1.2682103980579933e-05
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.010903176614845144
Mendeleev Number_mean,0.004386747559553306
Mendeleev Number_mad,0.0029029415667022286
Number d-shell Unfilled Electrons_mean,0.0023491510295564795
Number d-shell Unfilled Electrons_mad,0.0023013564350787647
Number d-shell Valance Electrons_mean,0.010911043828036265
Number d-shell Valance Electrons_mad,0.0011321931182838093
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0004253938910864258
Number f-shell Valance Electrons_mad,0.00024063997746857986
Number p-shell Unfilled Electrons_mean,0.0
Number p-shell Unfilled Electrons_mad,0.0011324952701508909
Number p-shell Valance Electrons_mean,0.0010141284801526455
Number p-shell Valance Electrons_mad,0.0013798457689662392
Number s-shell Unfilled Electrons_mean,0.00011358562069640553
Number s-shell Unfilled Electrons_mad,1.748950394644807e-05
Number s-shell Valance Electrons_mean,0.0006778373210651517
Number s-shell Valance Electrons_mad,9.903671622983476e-05
Number Unfilled Electrons_mean,0.0023562687532810477
Number Unfilled Electrons_mad,0.00022442289590158572
Number Valence Electrons_mean,0.0023120324594606283
Number Valence Electrons_mad,0.00014627532603944226
Polarizability_mean,0.003895085122299219
Polarizability_mad,0.004989710808759473
Periodic Table Row_mean,0.00021559835065511132
Periodic Table Row_mad,0.0001685231298722625
Zunger Pseudopotential (d)_mean,0.0018748023399639802
Zunger Pseudopotential (d)_mad,0.0029521551954355494
Zunger Pseudopotential (p)_mean,0.009624485856357685
Zunger Pseudopotential (p)_mad,0.0019360674700850892
Zunger Pseudopotential (pi)_mean,0.006527197184224279
Zunger Pseudopotential (pi)_mad,0.0018786813159805942
Zunger Pseudopotential (s)_mean,0.0009926649992994883
Zunger Pseudopotential (s)_mad,0.0006126858639960056
Zunger Pseudopotential (sigma)_mean,0.012108041535473103
Zunger Pseudopotential (sigma)_mad,0.0064824593066945295
phi_mean,0.008580121004832165
phi_mad,0.0025062769011087705
Conductivity_mean,0.0011267612831696034
Conductivity_mad,0.004216683585720174
