,Feature Importance
Mg Loading,2.6357737294941102e-05
K Loading,0.0
Ca Loading,0.00022765645157507414
Sc Loading,0.0014581778372482778
Cr Loading,0.0
Mn Loading,8.408369751915971e-05
Fe Loading,0.0
Co Loading,0.0
Ni Loading,1.285191801798247e-05
Cu Loading,0.0
Zn Loading,0.0
Sr Loading,0.0031113121960769908
Y Loading,0.01731788964773141
Mo Loading,0.0006563366398790877
Ru Loading,0.03087884499291371
Rh Loading,0.011648179174656735
Pd Loading,0.00015006218084077472
In Loading,8.059774155461321e-05
Hf Loading,1.616487160504064e-06
W Loading,0.001518208205310239
Re Loading,0.0016337423150543995
Os Loading,0.0
Ir Loading,0.0006071502664944449
Pt Loading,0.0
Bi Loading,0.0
reactor_number,0.012492513235150654
temperature,0.0
space_velocity,0.009619506281599728
ammonia_concentration,0.1391630997613405
n_elements,0.0
Atomic Number_mean,0.0034668244865407416
Atomic Number_mad,0.0028611298297808664
Atomic Volume_wtavg,0.005148813174398634
Atomic Weight_wtavg,0.017249745024130906
Boiling Temperature_wtavg,0.015209917198175028
Periodic Table Column_mean,0.029470485070672382
Periodic Table Column_mad,0.0034918717389590386
Covalent Radius_wtavg,0.00816923390626904
Density_wtavg,0.018064118707895416
Dipole Polarizability_wtavg,0.005240646376988677
Electron Affinity_wtavg,0.01857516503199279
Electronegativity_mean,0.039636914903764336
Electronegativity_mad,0.006501936882738968
Fusion Enthalpy_wtavg,0.013300967815396567
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.004347366451459951
GS Energy_mad,0.0022557414656428024
Heat Capacity (Mass)_wtavg,0.014775721630460661
Heat Capacity (Molar)_wtavg,0.004528141976094838
Heat Fusion_wtavg,0.017005873863759617
First Ionization Energy_mean,0.009762207313019631
First Ionization Energy_mad,0.002168748575696696
Second Ionization Energy_mean,0.03855622301647141
Second Ionization Energy_mad,0.018673248750706146
Third Ionization Energy_mean,0.004033111293575026
Third Ionization Energy_mad,0.0016423855891111595
Fourth Ionization Energy_mean,0.0034945248858836418
Fourth Ionization Energy_mad,0.00876992054106143
Fifth Ionization Energy_mean,0.0033425689642999413
Fifth Ionization Energy_mad,0.0014819590460474605
Sixth Ionization Energy_mean,0.010800502388460276
Sixth Ionization Energy_mad,0.0022685610097381743
Seventh Ionization Energy_mean,0.004866774433151807
Seventh Ionization Energy_mad,0.005282065822984301
Eighth Ionization Energy_mean,0.022561873089905916
Eighth Ionization Energy_mad,0.005638171568501405
IsAlkali_mean,0.005918556613876624
IsAlkali_mad,0.0
IsDBlock_mean,0.00014367701339847828
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.013603484666216277
Mendeleev Number_mean,0.041096425230883554
Mendeleev Number_mad,0.0013339776557301805
Number d-shell Unfilled Electrons_mean,0.008942278693511241
Number d-shell Unfilled Electrons_mad,0.025045492269761542
Number d-shell Valance Electrons_mean,0.07614501328414174
Number d-shell Valance Electrons_mad,0.006935363161278505
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.001141983800405611
Number f-shell Valance Electrons_mad,0.0006380465834362753
Number p-shell Unfilled Electrons_mean,0.00012414715370688494
Number p-shell Unfilled Electrons_mad,8.745679238147406e-05
Number p-shell Valance Electrons_mean,1.1913685095232742e-05
Number p-shell Valance Electrons_mad,0.0
Number s-shell Unfilled Electrons_mean,0.0008381066001252144
Number s-shell Unfilled Electrons_mad,0.0002827613254401
Number s-shell Valance Electrons_mean,0.0011091849946426226
Number s-shell Valance Electrons_mad,0.0010751524939112197
Number Unfilled Electrons_mean,0.01090620228276337
Number Unfilled Electrons_mad,0.02574763179675712
Number Valence Electrons_mean,0.00838160605160192
Number Valence Electrons_mad,0.0007694869669058617
Polarizability_mean,0.01697232839982171
Polarizability_mad,0.03945807258743827
Periodic Table Row_mean,0.002993162739645498
Periodic Table Row_mad,0.004573188834695069
Zunger Pseudopotential (d)_mean,0.01065518892516814
Zunger Pseudopotential (d)_mad,0.0021156511250353797
Zunger Pseudopotential (p)_mean,0.00650884683523953
Zunger Pseudopotential (p)_mad,0.008241235970321498
Zunger Pseudopotential (pi)_mean,0.005875034777186375
Zunger Pseudopotential (pi)_mad,0.005355887338136936
Zunger Pseudopotential (s)_mean,0.0017048679999572753
Zunger Pseudopotential (s)_mad,0.004466989804806804
Zunger Pseudopotential (sigma)_mean,0.014865569844741215
Zunger Pseudopotential (sigma)_mad,0.02061363763582682
phi_mean,0.00884050252921334
phi_mad,0.004862670821850714
Conductivity_mean,0.005740769682620321
Conductivity_mad,0.002546796441169176
