,Feature Importance
Mg Loading,0.00018941345952105455
K Loading,0.0
Ca Loading,0.0006718628776215346
Sc Loading,0.000446371289454896
Cr Loading,0.0002201938017460795
Mn Loading,0.0001454020876695244
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.000183808565238645
Cu Loading,0.004130322937424711
Zn Loading,1.2161248727914591e-05
Sr Loading,5.544859524711057e-05
Y Loading,0.00022366798166341273
Mo Loading,0.01503419279430944
Ru Loading,0.023760079827906996
Rh Loading,0.014518198747234656
Pd Loading,0.003569963968704423
In Loading,0.013205464922411899
Hf Loading,0.0001270042979285636
W Loading,0.0011886047309774053
Re Loading,0.0009685983905012627
Os Loading,0.0
Ir Loading,0.0008697070549029683
Pt Loading,0.0
Bi Loading,2.870500757769948e-05
reactor_number,0.004763100784547035
temperature,0.5148844347741016
space_velocity,0.00865064057090249
ammonia_concentration,0.013162796907745421
n_elements,0.0
Atomic Number_mean,0.002101079682719738
Atomic Number_mad,0.0029399650060300208
Atomic Volume_wtavg,0.004210364153839542
Atomic Weight_wtavg,0.009178883386302503
Boiling Temperature_wtavg,0.007117612507393668
Periodic Table Column_mean,0.017376342774243995
Periodic Table Column_mad,0.001644445581811493
Covalent Radius_wtavg,0.0028366520755045603
Density_wtavg,0.00929639034045886
Dipole Polarizability_wtavg,0.0025531907118118997
Electron Affinity_wtavg,0.009065379059723658
Electronegativity_mean,0.038392952562335776
Electronegativity_mad,0.0026821459657445533
Fusion Enthalpy_wtavg,0.010240183188493497
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.003557419905120367
GS Energy_mad,0.004606591944386649
Heat Capacity (Mass)_wtavg,0.006513373873626984
Heat Capacity (Molar)_wtavg,0.00435468050612049
Heat Fusion_wtavg,0.008074501936086264
First Ionization Energy_mean,0.0016299681419719417
First Ionization Energy_mad,0.0008323894879228345
Second Ionization Energy_mean,0.020480058888420277
Second Ionization Energy_mad,0.006269037966777025
Third Ionization Energy_mean,0.005943510459962537
Third Ionization Energy_mad,0.0061337750777664705
Fourth Ionization Energy_mean,0.0005828882600340865
Fourth Ionization Energy_mad,0.0025477894466689765
Fifth Ionization Energy_mean,0.004785753498510735
Fifth Ionization Energy_mad,0.0019029067387588954
Sixth Ionization Energy_mean,0.002793755008104358
Sixth Ionization Energy_mad,0.0015890279727487904
Seventh Ionization Energy_mean,0.000724238980698544
Seventh Ionization Energy_mad,0.0013408866357169371
Eighth Ionization Energy_mean,0.0023920485973776325
Eighth Ionization Energy_mad,0.0010989071000825853
IsAlkali_mean,0.00036966176868867903
IsAlkali_mad,0.0
IsDBlock_mean,0.0006320756969157898
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.007621853201450889
Mendeleev Number_mean,0.004283486582591406
Mendeleev Number_mad,0.003401845437842334
Number d-shell Unfilled Electrons_mean,0.0009451998042541753
Number d-shell Unfilled Electrons_mad,0.0030108138406461536
Number d-shell Valance Electrons_mean,0.034335747809609456
Number d-shell Valance Electrons_mad,0.0017080327396217353
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0013432225389520766
Number f-shell Valance Electrons_mad,0.00029630935341999436
Number p-shell Unfilled Electrons_mean,0.008575267913699095
Number p-shell Unfilled Electrons_mad,0.010175978094262593
Number p-shell Valance Electrons_mean,0.0022600560693391424
Number p-shell Valance Electrons_mad,0.0005424765210257626
Number s-shell Unfilled Electrons_mean,0.0008969864438637776
Number s-shell Unfilled Electrons_mad,0.0002740636950095646
Number s-shell Valance Electrons_mean,0.0018256211386372219
Number s-shell Valance Electrons_mad,0.00032454739771987576
Number Unfilled Electrons_mean,0.001568595055793711
Number Unfilled Electrons_mad,0.0058810527913070385
Number Valence Electrons_mean,0.0029631255240725337
Number Valence Electrons_mad,0.0034687595532762587
Polarizability_mean,0.0056973923761738775
Polarizability_mad,0.007300141270170534
Periodic Table Row_mean,0.001454332514834737
Periodic Table Row_mad,0.0007744139386003022
Zunger Pseudopotential (d)_mean,0.0016609248343784659
Zunger Pseudopotential (d)_mad,0.0035097167144859612
Zunger Pseudopotential (p)_mean,0.006495563048385878
Zunger Pseudopotential (p)_mad,0.008912334455570858
Zunger Pseudopotential (pi)_mean,0.002996488705423426
Zunger Pseudopotential (pi)_mad,0.0035128387493782403
Zunger Pseudopotential (s)_mean,0.0006451133346433935
Zunger Pseudopotential (s)_mad,0.001005676171427372
Zunger Pseudopotential (sigma)_mean,0.005529924356480875
Zunger Pseudopotential (sigma)_mad,0.003214821994975355
phi_mean,0.013605103331293833
phi_mad,0.0025417707093133733
Conductivity_mean,0.00296189012355874
Conductivity_mad,0.0026775313515616512
