,Feature Importance
Mg Loading,0.0003176824812140817
K Loading,0.0
Ca Loading,0.0003642756501377755
Sc Loading,0.0010995608877761296
Cr Loading,0.001178800321432184
Mn Loading,0.0003854437176541215
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0005986375992185803
Cu Loading,0.005320161452725221
Zn Loading,0.0004845783296898133
Sr Loading,0.00017459614325290388
Y Loading,0.0006872734082009901
Mo Loading,0.015703757160440358
Ru Loading,0.018396096438519954
Rh Loading,0.007480494266604524
Pd Loading,0.009316085606874878
In Loading,0.012682767581456138
Hf Loading,0.0002751025453898659
W Loading,0.004031858501981109
Re Loading,0.001492520886090925
Os Loading,0.0
Ir Loading,0.0011213121841797506
Pt Loading,0.0
Bi Loading,0.0005283330600193781
reactor_number,0.007446814973585858
temperature,0.5225039214682857
space_velocity,0.010618371980143917
ammonia_concentration,0.015284808549403076
n_elements,0.0
Atomic Number_mean,0.002343413540601808
Atomic Number_mad,0.0016988449446012689
Atomic Volume_wtavg,0.00437807692041932
Atomic Weight_wtavg,0.007656680340657806
Boiling Temperature_wtavg,0.007344557629892718
Periodic Table Column_mean,0.0176044393335741
Periodic Table Column_mad,0.003464347228023859
Covalent Radius_wtavg,0.005050105772709957
Density_wtavg,0.010653251887555053
Dipole Polarizability_wtavg,0.003094097858836191
Electron Affinity_wtavg,0.007384190366859407
Electronegativity_mean,0.020900773972375875
Electronegativity_mad,0.004088394905547162
Fusion Enthalpy_wtavg,0.007827030754776731
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.0030841512082047636
GS Energy_mad,0.0036399810703641013
Heat Capacity (Mass)_wtavg,0.005863800546560527
Heat Capacity (Molar)_wtavg,0.0051386913514989176
Heat Fusion_wtavg,0.010281515033262283
First Ionization Energy_mean,0.001140232420918834
First Ionization Energy_mad,0.0017482599827291132
Second Ionization Energy_mean,0.013203051190892693
Second Ionization Energy_mad,0.003203525507591543
Third Ionization Energy_mean,0.0035770443397992267
Third Ionization Energy_mad,0.0057554974719885256
Fourth Ionization Energy_mean,0.0015133325639698294
Fourth Ionization Energy_mad,0.0020531431339263252
Fifth Ionization Energy_mean,0.005146112183230632
Fifth Ionization Energy_mad,0.0012414713527069581
Sixth Ionization Energy_mean,0.0046734691875832835
Sixth Ionization Energy_mad,0.0011492209196377985
Seventh Ionization Energy_mean,0.001509263646972182
Seventh Ionization Energy_mad,0.001430912882703471
Eighth Ionization Energy_mean,0.0038857280065707515
Eighth Ionization Energy_mad,0.0025325002319137872
IsAlkali_mean,0.0003750633660119396
IsAlkali_mad,0.0
IsDBlock_mean,0.0004735570930192207
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.009230700347892635
Mendeleev Number_mean,0.010688171824915898
Mendeleev Number_mad,0.0017548604758518807
Number d-shell Unfilled Electrons_mean,0.0026758110306678152
Number d-shell Unfilled Electrons_mad,0.005285301947927871
Number d-shell Valance Electrons_mean,0.020494587973454746
Number d-shell Valance Electrons_mad,0.0042234801009118856
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0008912284926883779
Number f-shell Valance Electrons_mad,0.0005253425172482321
Number p-shell Unfilled Electrons_mean,0.006632122015910788
Number p-shell Unfilled Electrons_mad,0.009792385390231978
Number p-shell Valance Electrons_mean,0.002729522165723059
Number p-shell Valance Electrons_mad,0.004045932291096303
Number s-shell Unfilled Electrons_mean,0.0010982759794308595
Number s-shell Unfilled Electrons_mad,0.0006740443843341136
Number s-shell Valance Electrons_mean,0.0011064655604091666
Number s-shell Valance Electrons_mad,0.0008910960783346367
Number Unfilled Electrons_mean,0.0021274721465361674
Number Unfilled Electrons_mad,0.004253382474667642
Number Valence Electrons_mean,0.004109339216104892
Number Valence Electrons_mad,0.005453724473870842
Polarizability_mean,0.009173771538678412
Polarizability_mad,0.009910481234379294
Periodic Table Row_mean,0.002269414700520344
Periodic Table Row_mad,0.0010277397037714658
Zunger Pseudopotential (d)_mean,0.00263070846568271
Zunger Pseudopotential (d)_mad,0.003432303309390785
Zunger Pseudopotential (p)_mean,0.002801031929291196
Zunger Pseudopotential (p)_mad,0.0038483460575069904
Zunger Pseudopotential (pi)_mean,0.004310839020928568
Zunger Pseudopotential (pi)_mad,0.003756490582523781
Zunger Pseudopotential (s)_mean,0.0029816498114126596
Zunger Pseudopotential (s)_mad,0.0032996611047679714
Zunger Pseudopotential (sigma)_mean,0.002552089968128744
Zunger Pseudopotential (sigma)_mad,0.00394837606806558
phi_mean,0.011588309310109155
phi_mad,0.0033922603851886343
Conductivity_mean,0.0029338711076422044
Conductivity_mad,0.003858423471036513
