,Feature Importance
Mg Loading,0.0005348774844254201
K Loading,0.0
Ca Loading,0.0006264188872906772
Sc Loading,0.0011092791523578292
Cr Loading,0.0005639651324066079
Mn Loading,0.00023385938930746506
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0007969446488513573
Cu Loading,0.004231493869994189
Zn Loading,9.891211217030888e-05
Sr Loading,0.00018993239953981478
Y Loading,0.001172637418977876
Mo Loading,0.009781468368512052
Ru Loading,0.026847056025362387
Rh Loading,0.010152282581814772
Pd Loading,0.002406985561114586
In Loading,0.0035518767428098456
Hf Loading,0.00024253648657742837
W Loading,0.0014987105560507836
Re Loading,0.002019455783765921
Os Loading,0.0
Ir Loading,0.0009484429787573308
Pt Loading,0.0
Bi Loading,0.00038621412721999074
reactor_number,0.007737298036519151
temperature,0.4169013237197246
space_velocity,0.010274701191610523
ammonia_concentration,0.01982580868521661
n_elements,0.0
Atomic Number_mean,0.0041792280885717655
Atomic Number_mad,0.0030892727600676404
Atomic Volume_wtavg,0.004151401907534177
Atomic Weight_wtavg,0.013151948455248686
Boiling Temperature_wtavg,0.009504607844387097
Periodic Table Column_mean,0.018444169688608285
Periodic Table Column_mad,0.0034767567765520515
Covalent Radius_wtavg,0.0039811238741200876
Density_wtavg,0.011227308060037803
Dipole Polarizability_wtavg,0.004176854598740663
Electron Affinity_wtavg,0.009799625886627613
Electronegativity_mean,0.03499719574823264
Electronegativity_mad,0.004692109725323774
Fusion Enthalpy_wtavg,0.011285921198270422
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.003926862887554344
GS Energy_mad,0.0041697088158924416
Heat Capacity (Mass)_wtavg,0.008065900748763117
Heat Capacity (Molar)_wtavg,0.005266082146441928
Heat Fusion_wtavg,0.012269314367231028
First Ionization Energy_mean,0.0024233413986840817
First Ionization Energy_mad,0.002188291025918314
Second Ionization Energy_mean,0.02569522990718036
Second Ionization Energy_mad,0.004918004781149483
Third Ionization Energy_mean,0.00696262218110338
Third Ionization Energy_mad,0.009553389765177741
Fourth Ionization Energy_mean,0.0027419473977972194
Fourth Ionization Energy_mad,0.0019861474760486013
Fifth Ionization Energy_mean,0.006945092687813696
Fifth Ionization Energy_mad,0.0033189896922601694
Sixth Ionization Energy_mean,0.002947505505565145
Sixth Ionization Energy_mad,0.0015152944486169367
Seventh Ionization Energy_mean,0.0018386880553663788
Seventh Ionization Energy_mad,0.0013683501875437017
Eighth Ionization Energy_mean,0.005010089091805891
Eighth Ionization Energy_mad,0.0034595185653576396
IsAlkali_mean,0.000875281291283456
IsAlkali_mad,0.0
IsDBlock_mean,0.000470487872769242
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.010802891154995078
Mendeleev Number_mean,0.013727073406931144
Mendeleev Number_mad,0.002091530411887888
Number d-shell Unfilled Electrons_mean,0.00247303054583942
Number d-shell Unfilled Electrons_mad,0.007348119830706264
Number d-shell Valance Electrons_mean,0.04086566935648691
Number d-shell Valance Electrons_mad,0.006635634949279706
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0008732280638317472
Number f-shell Valance Electrons_mad,0.0018085331995842198
Number p-shell Unfilled Electrons_mean,0.003413086400055951
Number p-shell Unfilled Electrons_mad,0.00377919580198163
Number p-shell Valance Electrons_mean,0.0020786106597650332
Number p-shell Valance Electrons_mad,0.0019419905380289137
Number s-shell Unfilled Electrons_mean,0.0016239560178310354
Number s-shell Unfilled Electrons_mad,0.0006903419220723041
Number s-shell Valance Electrons_mean,0.0012913755975497796
Number s-shell Valance Electrons_mad,0.0013537302826779369
Number Unfilled Electrons_mean,0.0020716246021018248
Number Unfilled Electrons_mad,0.006258490327607793
Number Valence Electrons_mean,0.0062324743196957326
Number Valence Electrons_mad,0.006144791690590383
Polarizability_mean,0.011314297597225315
Polarizability_mad,0.011242269548371136
Periodic Table Row_mean,0.003423516581535021
Periodic Table Row_mad,0.001704689108109717
Zunger Pseudopotential (d)_mean,0.0027987320624862405
Zunger Pseudopotential (d)_mad,0.005473073595349153
Zunger Pseudopotential (p)_mean,0.006301081036270213
Zunger Pseudopotential (p)_mad,0.0050356347233299495
Zunger Pseudopotential (pi)_mean,0.007600391614621388
Zunger Pseudopotential (pi)_mad,0.00494558123294793
Zunger Pseudopotential (s)_mean,0.0034809136425710346
Zunger Pseudopotential (s)_mad,0.004685030964918392
Zunger Pseudopotential (sigma)_mean,0.004525771110698265
Zunger Pseudopotential (sigma)_mad,0.0037162104885624576
phi_mean,0.012468812127207473
phi_mad,0.0030212482707527035
Conductivity_mean,0.003948378283793522
Conductivity_mad,0.004602842681724945
