,Feature Importance
Mg Loading,0.0
K Loading,0.0
Ca Loading,0.0
Sc Loading,0.00019152913889161356
Cr Loading,0.0
Mn Loading,0.00029207119284246555
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0065486199379725975
Cu Loading,0.025646519303035104
Zn Loading,0.000848843103289021
Sr Loading,0.0
Y Loading,0.0
Mo Loading,0.06445498057707445
Ru Loading,0.004604326327813188
Rh Loading,0.008854274361458922
Pd Loading,0.042049225024006216
In Loading,0.008746744197173419
Hf Loading,0.0
W Loading,0.0002723314707650162
Re Loading,0.0
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.003116139865027125
reactor_number,0.047458558258308046
temperature,0.0
space_velocity,0.098546581787909
ammonia_concentration,0.06543893323696179
n_elements,0.0
Atomic Number_mean,5.1571878574211954e-06
Atomic Number_mad,0.00012869747606939372
Atomic Volume_wtavg,0.06075022906813313
Atomic Weight_wtavg,0.018751564819590172
Boiling Temperature_wtavg,0.02242618978113131
Periodic Table Column_mean,0.006501802416228395
Periodic Table Column_mad,0.0070100902555740915
Covalent Radius_wtavg,0.03507638923230638
Density_wtavg,0.027052065193153875
Dipole Polarizability_wtavg,0.051269880478226
Electron Affinity_wtavg,0.01583372484566641
Electronegativity_mean,0.01249175617201584
Electronegativity_mad,0.0022864100643498575
Fusion Enthalpy_wtavg,0.020065296759684693
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.01816603365883974
GS Energy_mad,0.008545541545646244
Heat Capacity (Mass)_wtavg,0.04133630637711592
Heat Capacity (Molar)_wtavg,0.012066108945521611
Heat Fusion_wtavg,0.026670909652904407
First Ionization Energy_mean,0.005267007458815524
First Ionization Energy_mad,0.025105735412945918
Second Ionization Energy_mean,0.00487637086101281
Second Ionization Energy_mad,0.0018855887223823478
Third Ionization Energy_mean,0.00203871308008689
Third Ionization Energy_mad,0.00016494420505025936
Fourth Ionization Energy_mean,0.007285273889531321
Fourth Ionization Energy_mad,0.012600820848191236
Fifth Ionization Energy_mean,0.004047140425545105
Fifth Ionization Energy_mad,0.00036284762384431043
Sixth Ionization Energy_mean,0.01182563195176556
Sixth Ionization Energy_mad,0.0008788133998765672
Seventh Ionization Energy_mean,0.0
Seventh Ionization Energy_mad,0.0
Eighth Ionization Energy_mean,0.0039278571582118255
Eighth Ionization Energy_mad,0.0011900303128747573
IsAlkali_mean,0.0
IsAlkali_mad,0.0
IsDBlock_mean,0.0
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.02355391259068594
Mendeleev Number_mean,0.005788265741177738
Mendeleev Number_mad,0.003975099461039271
Number d-shell Unfilled Electrons_mean,0.000976979364238527
Number d-shell Unfilled Electrons_mad,0.0
Number d-shell Valance Electrons_mean,0.0002687821721254318
Number d-shell Valance Electrons_mad,0.0014338110784162378
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.000669435579614121
Number f-shell Valance Electrons_mad,0.0001144435231203908
Number p-shell Unfilled Electrons_mean,0.002478182284449317
Number p-shell Unfilled Electrons_mad,0.03575513577131209
Number p-shell Valance Electrons_mean,0.0
Number p-shell Valance Electrons_mad,0.0020516540712004457
Number s-shell Unfilled Electrons_mean,0.0
Number s-shell Unfilled Electrons_mad,0.0
Number s-shell Valance Electrons_mean,0.0
Number s-shell Valance Electrons_mad,0.0
Number Unfilled Electrons_mean,0.0
Number Unfilled Electrons_mad,0.0010494034157556736
Number Valence Electrons_mean,0.0015856587199620175
Number Valence Electrons_mad,0.0
Polarizability_mean,0.0007924161743229033
Polarizability_mad,4.389435836902777e-05
Periodic Table Row_mean,0.0
Periodic Table Row_mad,0.0
Zunger Pseudopotential (d)_mean,0.005994186510537269
Zunger Pseudopotential (d)_mad,0.003281631867696911
Zunger Pseudopotential (p)_mean,0.0017867278402233404
Zunger Pseudopotential (p)_mad,0.0020148201251230517
Zunger Pseudopotential (pi)_mean,0.01517213625284075
Zunger Pseudopotential (pi)_mad,0.025424413474284667
Zunger Pseudopotential (s)_mean,0.00040552866299832784
Zunger Pseudopotential (s)_mad,0.0009246742238713629
Zunger Pseudopotential (sigma)_mean,0.001995832264447825
Zunger Pseudopotential (sigma)_mad,0.0009440862825428598
phi_mean,0.0037629879984475644
phi_mad,0.010567694258349606
Conductivity_mean,0.0015151067125029156
Conductivity_mad,0.0007124921576671466
