,Feature Importance
Mg Loading,0.0
K Loading,0.0
Ca Loading,0.0
Sc Loading,0.0
Cr Loading,0.0003584521827474547
Mn Loading,0.0
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0
Cu Loading,0.009242566590877547
Zn Loading,0.0
Sr Loading,0.0
Y Loading,0.0
Mo Loading,0.010031826825596966
Ru Loading,0.025844144533703248
Rh Loading,0.003401759832985948
Pd Loading,0.0
In Loading,0.015705168852855958
Hf Loading,0.004692377027890259
W Loading,0.004244636162170558
Re Loading,0.0005173313294249021
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.0
reactor_number,0.052077756890910404
temperature,0.36617042266507077
space_velocity,0.07730802093518595
ammonia_concentration,0.03791570475894203
n_elements,0.0
Atomic Number_mean,0.0006660761194640687
Atomic Number_mad,0.0022879043882102473
Atomic Volume_wtavg,0.01762144409147056
Atomic Weight_wtavg,0.012136850873002028
Boiling Temperature_wtavg,0.018512905473674447
Periodic Table Column_mean,0.006045464337689417
Periodic Table Column_mad,0.0008997564179835436
Covalent Radius_wtavg,0.013496499569358873
Density_wtavg,0.012481535705502162
Dipole Polarizability_wtavg,0.0031145111097853157
Electron Affinity_wtavg,0.010579894671131254
Electronegativity_mean,0.026693280458330446
Electronegativity_mad,0.005535033516074451
Fusion Enthalpy_wtavg,0.02462510196890319
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.004669521780417649
GS Energy_mad,0.012944097349303303
Heat Capacity (Mass)_wtavg,0.008347495949271248
Heat Capacity (Molar)_wtavg,0.01598221903865535
Heat Fusion_wtavg,0.007118304424216775
First Ionization Energy_mean,0.0011822900668508204
First Ionization Energy_mad,0.0036030274536933533
Second Ionization Energy_mean,0.030469994239585678
Second Ionization Energy_mad,0.007016589681485326
Third Ionization Energy_mean,0.0
Third Ionization Energy_mad,0.0037268330132874707
Fourth Ionization Energy_mean,0.022515004893391866
Fourth Ionization Energy_mad,0.0
Fifth Ionization Energy_mean,0.007784385088137736
Fifth Ionization Energy_mad,0.0009546238959101746
Sixth Ionization Energy_mean,0.011521700269319136
Sixth Ionization Energy_mad,0.00221077021056775
Seventh Ionization Energy_mean,0.0009563799843928578
Seventh Ionization Energy_mad,0.0
Eighth Ionization Energy_mean,0.0025816175879840087
Eighth Ionization Energy_mad,0.002175542926843832
IsAlkali_mean,0.0
IsAlkali_mad,0.0
IsDBlock_mean,0.0
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.01830347975856135
Mendeleev Number_mean,0.0016095870877938223
Mendeleev Number_mad,0.00040584657106798453
Number d-shell Unfilled Electrons_mean,0.0006559518631690405
Number d-shell Unfilled Electrons_mad,0.004112799254662863
Number d-shell Valance Electrons_mean,0.0
Number d-shell Valance Electrons_mad,0.0
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0
Number f-shell Valance Electrons_mad,0.0
Number p-shell Unfilled Electrons_mean,0.0
Number p-shell Unfilled Electrons_mad,0.0
Number p-shell Valance Electrons_mean,0.0
Number p-shell Valance Electrons_mad,0.0
Number s-shell Unfilled Electrons_mean,0.002281974130062458
Number s-shell Unfilled Electrons_mad,0.0
Number s-shell Valance Electrons_mean,0.0
Number s-shell Valance Electrons_mad,0.0
Number Unfilled Electrons_mean,0.0
Number Unfilled Electrons_mad,0.0010547528070383241
Number Valence Electrons_mean,0.0
Number Valence Electrons_mad,0.0
Polarizability_mean,0.007058908627444338
Polarizability_mad,0.0027529080076114827
Periodic Table Row_mean,0.0
Periodic Table Row_mad,0.0
Zunger Pseudopotential (d)_mean,0.0
Zunger Pseudopotential (d)_mad,0.01180244619467221
Zunger Pseudopotential (p)_mean,0.0
Zunger Pseudopotential (p)_mad,0.0
Zunger Pseudopotential (pi)_mean,0.0028511865436399403
Zunger Pseudopotential (pi)_mad,0.004472316307155591
Zunger Pseudopotential (s)_mean,0.0
Zunger Pseudopotential (s)_mad,0.0
Zunger Pseudopotential (sigma)_mean,0.0018547540870796617
Zunger Pseudopotential (sigma)_mad,0.0015213801930003255
phi_mean,0.008921116977601607
phi_mad,0.01672253420437406
Conductivity_mean,0.000926826860038528
Conductivity_mad,0.004724405382769958
