,Feature Importance
Mg Loading,0.0
K Loading,0.0
Ca Loading,0.00014823165984572968
Sc Loading,0.0001759193986363228
Cr Loading,3.9183621996051656e-07
Mn Loading,0.0
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.00021508283293539932
Cu Loading,0.0
Zn Loading,0.0
Sr Loading,0.0013681010677924913
Y Loading,0.001214458182380494
Mo Loading,0.0
Ru Loading,0.008578300314124909
Rh Loading,0.00047099312503856886
Pd Loading,0.0
In Loading,0.0
Hf Loading,0.0
W Loading,9.062791363754142e-05
Re Loading,0.0
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.0
reactor_number,0.014551063151702286
temperature,0.0
space_velocity,0.018400824316326565
ammonia_concentration,0.3694293018904437
n_elements,0.0
Atomic Number_mean,0.002607120369617073
Atomic Number_mad,0.0014608455526117592
Atomic Volume_wtavg,0.004263533312006087
Atomic Weight_wtavg,0.011902814667263896
Boiling Temperature_wtavg,0.0076131599826912985
Periodic Table Column_mean,0.025044560550550255
Periodic Table Column_mad,0.00010678105978006976
Covalent Radius_wtavg,0.0070277185873967914
Density_wtavg,0.016135390330639824
Dipole Polarizability_wtavg,0.005992180828168041
Electron Affinity_wtavg,0.031007337818621875
Electronegativity_mean,0.016940471468969286
Electronegativity_mad,0.004160716943255801
Fusion Enthalpy_wtavg,0.006733895242648823
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.0019428211645480791
GS Energy_mad,0.006497640185860065
Heat Capacity (Mass)_wtavg,0.005326491527260606
Heat Capacity (Molar)_wtavg,0.006582038647551854
Heat Fusion_wtavg,0.008407746326818894
First Ionization Energy_mean,0.0014886632581237519
First Ionization Energy_mad,0.0036980398275194225
Second Ionization Energy_mean,0.013812682416857498
Second Ionization Energy_mad,0.014765739671979153
Third Ionization Energy_mean,0.012761961789290822
Third Ionization Energy_mad,0.009243297078456445
Fourth Ionization Energy_mean,0.006104396064704933
Fourth Ionization Energy_mad,0.0052845631126571665
Fifth Ionization Energy_mean,0.003918679551152283
Fifth Ionization Energy_mad,0.001074844507901936
Sixth Ionization Energy_mean,0.002114202515578577
Sixth Ionization Energy_mad,0.0009155292622332261
Seventh Ionization Energy_mean,0.028321006673405567
Seventh Ionization Energy_mad,0.001491355915721234
Eighth Ionization Energy_mean,0.05894499659475608
Eighth Ionization Energy_mad,0.002845204800683813
IsAlkali_mean,0.00029579189714183364
IsAlkali_mad,0.0
IsDBlock_mean,0.0
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.006462042180204233
Mendeleev Number_mean,0.012707352124113199
Mendeleev Number_mad,0.015213175464759462
Number d-shell Unfilled Electrons_mean,0.014210399359109862
Number d-shell Unfilled Electrons_mad,0.012382755529191216
Number d-shell Valance Electrons_mean,0.04615673180131898
Number d-shell Valance Electrons_mad,0.0009327227684999244
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,3.453974525040276e-05
Number f-shell Valance Electrons_mad,0.0
Number p-shell Unfilled Electrons_mean,1.2241913122980986e-05
Number p-shell Unfilled Electrons_mad,6.819575572918434e-06
Number p-shell Valance Electrons_mean,0.0
Number p-shell Valance Electrons_mad,5.29507655957349e-05
Number s-shell Unfilled Electrons_mean,9.86677846431347e-05
Number s-shell Unfilled Electrons_mad,2.7419364710384753e-05
Number s-shell Valance Electrons_mean,0.0003056181512325163
Number s-shell Valance Electrons_mad,0.00013903987802483397
Number Unfilled Electrons_mean,0.008664291552780758
Number Unfilled Electrons_mad,0.007221308816973613
Number Valence Electrons_mean,0.005831217955806044
Number Valence Electrons_mad,0.0003538809222327633
Polarizability_mean,0.003408606492001944
Polarizability_mad,0.00383556000563544
Periodic Table Row_mean,7.397122462577989e-05
Periodic Table Row_mad,0.001004778548290637
Zunger Pseudopotential (d)_mean,0.00541651514930418
Zunger Pseudopotential (d)_mad,0.002407038280940923
Zunger Pseudopotential (p)_mean,0.006727930752371768
Zunger Pseudopotential (p)_mad,0.0002464970673527115
Zunger Pseudopotential (pi)_mean,0.03058922379314054
Zunger Pseudopotential (pi)_mad,0.01594979545969037
Zunger Pseudopotential (s)_mean,0.006992012104149943
Zunger Pseudopotential (s)_mad,0.0017186295573189097
Zunger Pseudopotential (sigma)_mean,0.005183843696500834
Zunger Pseudopotential (sigma)_mad,0.0005391649691308191
phi_mean,0.016489247915794626
phi_mad,0.0014074791179151435
Conductivity_mean,0.008352699828188766
Conductivity_mad,0.007366315190995749
