,Feature Importance
Mg Loading,6.470704061341431e-05
K Loading,0.0
Ca Loading,4.087713087614427e-06
Sc Loading,9.833063873140712e-05
Cr Loading,0.00015755695706133748
Mn Loading,9.649823934909554e-05
Fe Loading,0.0
Co Loading,0.0
Ni Loading,8.947095436541975e-05
Cu Loading,0.0022333383833624855
Zn Loading,4.4063206952287855e-05
Sr Loading,9.717385134585163e-07
Y Loading,0.00016633461982388837
Mo Loading,0.003847995149089719
Ru Loading,0.007943534629488854
Rh Loading,0.004431267239919938
Pd Loading,0.0022821212484890785
In Loading,0.00962989587951623
Hf Loading,8.183894308393596e-05
W Loading,0.00019020576164163497
Re Loading,0.00040413493101176573
Os Loading,0.0
Ir Loading,9.371848911458278e-05
Pt Loading,0.0
Bi Loading,1.7927057231627196e-06
reactor_number,0.0065343026528157655
temperature,0.5123770007656975
space_velocity,0.011877241354383677
ammonia_concentration,0.030840858750600778
n_elements,0.0
Atomic Number_mean,0.008641374276587949
Atomic Number_mad,0.0007630913822396958
Atomic Volume_wtavg,0.02563505142908866
Atomic Weight_wtavg,0.01725885219122922
Boiling Temperature_wtavg,0.010480709931927892
Periodic Table Column_mean,0.00886011864702032
Periodic Table Column_mad,0.0012280457363020886
Covalent Radius_wtavg,0.007576171301670307
Density_wtavg,0.00804632602981296
Dipole Polarizability_wtavg,0.009720991928566243
Electron Affinity_wtavg,0.015154700594957216
Electronegativity_mean,0.06794566274742433
Electronegativity_mad,0.002370048713895074
Fusion Enthalpy_wtavg,0.013770760944629756
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.0016204081092795473
GS Energy_mad,0.0027357199268475806
Heat Capacity (Mass)_wtavg,0.008377504887216421
Heat Capacity (Molar)_wtavg,0.009995453573823213
Heat Fusion_wtavg,0.009710556498682644
First Ionization Energy_mean,0.0013701060461609918
First Ionization Energy_mad,0.002515514453273513
Second Ionization Energy_mean,0.027194755750361913
Second Ionization Energy_mad,0.00341827308430459
Third Ionization Energy_mean,0.0037654606350528154
Third Ionization Energy_mad,0.0034347339238689984
Fourth Ionization Energy_mean,0.0011636323038678707
Fourth Ionization Energy_mad,0.000517555640346912
Fifth Ionization Energy_mean,0.0037619810276416504
Fifth Ionization Energy_mad,0.0003645592357309195
Sixth Ionization Energy_mean,0.002566258067778898
Sixth Ionization Energy_mad,0.000685083484325549
Seventh Ionization Energy_mean,0.0026416845953606653
Seventh Ionization Energy_mad,0.00011420964058363425
Eighth Ionization Energy_mean,0.0036115580069067967
Eighth Ionization Energy_mad,0.0010070635321094024
IsAlkali_mean,6.515848305030384e-06
IsAlkali_mad,0.0
IsDBlock_mean,5.810998799738988e-05
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.01908790308837104
Mendeleev Number_mean,0.00552792331573004
Mendeleev Number_mad,0.0003812161921926309
Number d-shell Unfilled Electrons_mean,0.0010977893956072289
Number d-shell Unfilled Electrons_mad,0.004205176420333282
Number d-shell Valance Electrons_mean,0.013410955318636739
Number d-shell Valance Electrons_mad,0.0006622630418953266
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.00028451818487697076
Number f-shell Valance Electrons_mad,0.0003739528354610591
Number p-shell Unfilled Electrons_mean,0.0007701246881455048
Number p-shell Unfilled Electrons_mad,0.001540545964330326
Number p-shell Valance Electrons_mean,0.0015749581511481797
Number p-shell Valance Electrons_mad,0.0
Number s-shell Unfilled Electrons_mean,0.00019612816920256348
Number s-shell Unfilled Electrons_mad,2.167409912831229e-06
Number s-shell Valance Electrons_mean,0.0004329274398187411
Number s-shell Valance Electrons_mad,1.0225186354312854e-05
Number Unfilled Electrons_mean,0.0013028157076352283
Number Unfilled Electrons_mad,0.0015682581796772513
Number Valence Electrons_mean,0.00504583790098379
Number Valence Electrons_mad,0.003713542335953979
Polarizability_mean,0.0003393003550820272
Polarizability_mad,0.0018161737558184108
Periodic Table Row_mean,0.00018381153224092565
Periodic Table Row_mad,0.0002283741107387356
Zunger Pseudopotential (d)_mean,0.003358137011303941
Zunger Pseudopotential (d)_mad,0.002473456033467516
Zunger Pseudopotential (p)_mean,0.007701966325055849
Zunger Pseudopotential (p)_mad,0.0022867497276628825
Zunger Pseudopotential (pi)_mean,0.008395744237550157
Zunger Pseudopotential (pi)_mad,0.0015037390301561393
Zunger Pseudopotential (s)_mean,0.0012980920785732955
Zunger Pseudopotential (s)_mad,0.00037216814138482033
Zunger Pseudopotential (sigma)_mean,0.004238898576956587
Zunger Pseudopotential (sigma)_mad,0.006184938301064919
phi_mean,0.009270802772116563
phi_mad,0.002077361060796435
Conductivity_mean,0.0016575450286619511
Conductivity_mad,0.0038436408874861884
