,Feature Importance
Mg Loading,1.1280276460275491e-08
K Loading,0.0
Ca Loading,0.00010080176030873748
Sc Loading,9.512525973696362e-05
Cr Loading,0.00015584214367756266
Mn Loading,0.0002904108297353923
Fe Loading,0.0
Co Loading,0.0
Ni Loading,8.624000990231554e-06
Cu Loading,0.0013981704357661526
Zn Loading,9.770458748774777e-06
Sr Loading,4.51975390526249e-07
Y Loading,0.00019594027170531227
Mo Loading,0.0035881857867708956
Ru Loading,0.012714774755942449
Rh Loading,0.005785208591097785
Pd Loading,0.0001449132208583441
In Loading,0.004711250940790713
Hf Loading,4.923323365363988e-06
W Loading,0.0009231099533561296
Re Loading,8.646826582280637e-05
Os Loading,0.0
Ir Loading,0.00011683576816927109
Pt Loading,0.0
Bi Loading,8.27321154902919e-05
reactor_number,0.007691477152069938
temperature,0.43254330103873534
space_velocity,0.014520261954814722
ammonia_concentration,0.040444117791628514
n_elements,0.0
Atomic Number_mean,0.0032985783117078426
Atomic Number_mad,0.0009222891542633544
Atomic Volume_wtavg,0.029791968244231564
Atomic Weight_wtavg,0.014396751386478602
Boiling Temperature_wtavg,0.011364578991051207
Periodic Table Column_mean,0.008070435489047158
Periodic Table Column_mad,0.004500951514593936
Covalent Radius_wtavg,0.009126153242222879
Density_wtavg,0.012489827534701103
Dipole Polarizability_wtavg,0.013998927471340896
Electron Affinity_wtavg,0.0170271324758786
Electronegativity_mean,0.08743652678478929
Electronegativity_mad,0.0033618946163006037
Fusion Enthalpy_wtavg,0.010684804333234352
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.0011967779584487334
GS Energy_mad,0.004037886722754478
Heat Capacity (Mass)_wtavg,0.008863209776249808
Heat Capacity (Molar)_wtavg,0.003830069903070253
Heat Fusion_wtavg,0.008463868948952825
First Ionization Energy_mean,0.0003472943560211127
First Ionization Energy_mad,0.0011641990868229476
Second Ionization Energy_mean,0.048444547899534084
Second Ionization Energy_mad,0.005244745708779994
Third Ionization Energy_mean,0.00199133834570377
Third Ionization Energy_mad,0.00835037573283921
Fourth Ionization Energy_mean,0.0017608587280737256
Fourth Ionization Energy_mad,0.001231469507230378
Fifth Ionization Energy_mean,0.004869236763754393
Fifth Ionization Energy_mad,0.0013406784240028963
Sixth Ionization Energy_mean,0.007305854560141561
Sixth Ionization Energy_mad,0.00020507549553665756
Seventh Ionization Energy_mean,0.0027199815308086334
Seventh Ionization Energy_mad,0.00015347531082046968
Eighth Ionization Energy_mean,0.0025621264499006997
Eighth Ionization Energy_mad,0.0014086630024789134
IsAlkali_mean,2.6655629418125156e-06
IsAlkali_mad,0.0
IsDBlock_mean,2.965889482045734e-05
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.01673765849426354
Mendeleev Number_mean,0.0005528006593980593
Mendeleev Number_mad,0.0010448014106090703
Number d-shell Unfilled Electrons_mean,0.004893806657828026
Number d-shell Unfilled Electrons_mad,0.007425119196638185
Number d-shell Valance Electrons_mean,0.021523389920074708
Number d-shell Valance Electrons_mad,0.002596982321450543
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0001262629607346884
Number f-shell Valance Electrons_mad,0.00016632670124859736
Number p-shell Unfilled Electrons_mean,0.00011699018880684501
Number p-shell Unfilled Electrons_mad,1.962174991417945e-06
Number p-shell Valance Electrons_mean,6.010568880075499e-05
Number p-shell Valance Electrons_mad,0.00015025806372741886
Number s-shell Unfilled Electrons_mean,1.8020867118093796e-05
Number s-shell Unfilled Electrons_mad,1.136388346936469e-06
Number s-shell Valance Electrons_mean,0.00026325696381257447
Number s-shell Valance Electrons_mad,5.251364035230921e-05
Number Unfilled Electrons_mean,0.001531207716292332
Number Unfilled Electrons_mad,0.0017679699784907505
Number Valence Electrons_mean,0.0015354959494926403
Number Valence Electrons_mad,0.0032159448612295717
Polarizability_mean,0.0037202698534242527
Polarizability_mad,0.001984791074535764
Periodic Table Row_mean,0.00018181033672720907
Periodic Table Row_mad,0.00011772136759053316
Zunger Pseudopotential (d)_mean,0.004135531421462901
Zunger Pseudopotential (d)_mad,0.004039707993973816
Zunger Pseudopotential (p)_mean,0.008827553504740782
Zunger Pseudopotential (p)_mad,0.002253085013376237
Zunger Pseudopotential (pi)_mean,0.00442266917948957
Zunger Pseudopotential (pi)_mad,0.0020032496009097555
Zunger Pseudopotential (s)_mean,0.0018961050044456105
Zunger Pseudopotential (s)_mad,0.0005027604526468255
Zunger Pseudopotential (sigma)_mean,0.006344191200230041
Zunger Pseudopotential (sigma)_mad,0.0047316146127802
phi_mean,0.009842017306118833
phi_mad,0.004386211264041503
Conductivity_mean,0.001566855525311073
Conductivity_mad,0.007654257189710145
