,Predicted Conversion,Measured Conversion
67_450_0,0.8383641786183085,0.9874856347201096
66_250_0,0.15166057331259747,0.20377694978593847
67_300_0,0.3361575649070062,0.512376181107476
78_400_0,0.46537566890478277,0.4558780213526778
67_400_0,0.7803739806981129,0.9915560710213698
73_400_0,0.8636912184189357,1.0
73_300_0,0.8847040512719946,0.8423630161645494
73_450_0,0.8721983472740122,0.9942532585186497
69_300_0,0.259976803340562,0.054859118205534116
83_350_0,0.2124324281356996,0.9390123453841518
67_350_0,0.5211065862852982,0.8196449673889966
75_350_0,0.538440246554408,0.9530922411770472
69_450_0,0.7649602319687037,1.0
76_300_0,0.2780602719491023,0.2514936492364485
65_300_0,0.2619838821970832,0.8134738524018451
65_350_0,0.325170489217202,0.9940412353519896
78_350_0,0.2623444268824855,0.168697438436943
76_400_0,0.7608585673390809,0.5416765744430103
77_250_0,0.21288769832341625,0.16867450349553653
68_400_0,0.7257006626757796,0.9504524825915591
69_250_0,0.16976123911849006,0.08462297988013084
74_450_0,0.8285737097687289,1.0
69_400_0,0.7146689091681071,0.988380498403829
77_300_0,0.24445868126576412,0.04936463794109434
73_350_0,0.9731372911940076,0.9970481268292124
83_400_0,0.810333528815427,0.9848895552908
78_250_0,0.1599925859587061,0.0
75_450_0,0.6478927875353706,1.0
82_300_0,0.20179912278692758,0.39152727500792783
75_400_0,0.5777282930650839,0.9927286735101684
68_450_0,0.7781911269191332,0.963471608205364
73_250_0,0.3843005298247975,0.4710072195886609
74_300_0,0.5410089709769372,0.6886020921300535
77_350_0,0.3320378922875929,0.36022129054025664
68_300_0,0.2844405006653333,0.19739711524783285
75_250_0,0.21781189056011308,0.04950121583024065
77_450_0,0.688800717306864,0.906906839933098
78_450_0,0.5511573963435187,0.7980528696142676
76_350_0,0.42699729865697106,0.34312425649808737
76_450_0,0.7842265081763975,0.8668179346303692
76_250_0,0.22463195537869932,0.17522414925857832
83_450_0,0.8542198270140844,0.996400335842682
65_400_0,0.9100626194876039,0.9909595222016541
69_350_0,0.4120435042629292,0.4989454515781198
74_250_0,0.24748282241564742,0.3792263797117768
65_450_0,0.9339619466623691,0.9845466529551978
66_300_0,0.22537586319150493,0.5863479800776563
67_250_0,0.19633905703100832,0.13989290311948158
65_250_0,0.19463218280345707,0.43321450411611934
82_400_0,0.5113277272381651,0.980123111633628
68_350_0,0.4139463997038711,0.5508829780428409
75_300_0,0.359249900043134,0.7065898397618652
77_400_0,0.6629936570890949,0.6324787654450131
68_250_0,0.16517405363669124,0.09098822512592368
74_400_0,0.8198914865493713,1.0
83_250_0,0.12419899274300245,0.10094428580358343
78_300_0,0.1921437712162778,0.15121255925316576
82_350_0,0.29205313485591267,0.980309151680227
74_350_0,0.7308718901396518,1.0
83_300_0,0.16294240501151136,0.2971614432058214
82_250_0,0.14791644570166468,0.16197945150678295
82_450_0,0.6285439516621809,0.9507971457754856
66_350_0,0.2812742199221504,1.0
66_400_0,0.5542802223470237,1.0
66_450_0,0.6720601397350275,1.0
