,Predicted Conversion,Measured Conversion
65_450_0,0.929165821692003,0.9845466529551978
65_300_0,0.2920687193574163,0.8134738524018451
67_300_0,0.31794528032975417,0.512376181107476
78_300_0,0.1915752686755773,0.15121255925316576
75_350_0,0.6022562647044856,0.9530922411770472
83_400_0,0.8062722034329606,0.9848895552908
74_350_0,0.7891992071611473,1.0
65_400_0,0.9150261952267522,0.9909595222016541
69_450_0,0.7801495518225703,1.0
69_300_0,0.2355011467621592,0.054859118205534116
65_250_0,0.21371464524915923,0.43321450411611934
69_400_0,0.7257390592147704,0.988380498403829
83_350_0,0.21360029754694118,0.9390123453841518
74_450_0,0.8875516380688002,1.0
77_300_0,0.22494440496373566,0.04936463794109434
82_400_0,0.5446334332840863,0.980123111633628
65_350_0,0.39341773840282435,0.9940412353519896
78_250_0,0.1584365088026539,0.0
73_350_0,0.9688757667522551,0.9970481268292124
66_300_0,0.233421045292252,0.5863479800776563
74_250_0,0.2637199087710176,0.3792263797117768
67_350_0,0.47862888465775155,0.8196449673889966
76_400_0,0.7124420717927512,0.5416765744430103
73_250_0,0.3871721862235993,0.4710072195886609
75_400_0,0.6184050716266032,0.9927286735101684
76_350_0,0.4383916748864563,0.34312425649808737
67_400_0,0.8196412499270216,0.9915560710213698
77_450_0,0.6390625306184637,0.906906839933098
74_300_0,0.5339562059007622,0.6886020921300535
77_250_0,0.18520336003795923,0.16867450349553653
73_300_0,0.8813976582562724,0.8423630161645494
75_450_0,0.702889419713951,1.0
66_350_0,0.32802251964901985,1.0
82_450_0,0.657063606970792,0.9507971457754856
75_250_0,0.23504310094450823,0.04950121583024065
83_300_0,0.1752604673027168,0.2971614432058214
66_400_0,0.5838413113988898,1.0
74_400_0,0.8796909160770567,1.0
76_250_0,0.20151327969775237,0.17522414925857832
77_400_0,0.6264918129555779,0.6324787654450131
68_300_0,0.27426652388603395,0.19739711524783285
68_250_0,0.1843851128253612,0.09098822512592368
68_400_0,0.7414390893660103,0.9504524825915591
82_350_0,0.3249615740519385,0.980309151680227
67_250_0,0.19618417983892691,0.13989290311948158
66_450_0,0.6978367306789921,1.0
66_250_0,0.15592666973311425,0.20377694978593847
76_300_0,0.2734666781686576,0.2514936492364485
69_350_0,0.3696332251263987,0.4989454515781198
78_350_0,0.2868832867992623,0.168697438436943
73_450_0,0.9187416666873642,0.9942532585186497
76_450_0,0.730001315467065,0.8668179346303692
73_400_0,0.9071759539105128,1.0
68_450_0,0.7986890426515818,0.963471608205364
83_250_0,0.13221499645509405,0.10094428580358343
67_450_0,0.884097791037252,0.9874856347201096
78_400_0,0.4393615572999607,0.4558780213526778
82_250_0,0.15352962181391158,0.16197945150678295
69_250_0,0.16267834271471293,0.08462297988013084
68_350_0,0.40442768192535505,0.5508829780428409
75_300_0,0.3842092552522103,0.7065898397618652
82_300_0,0.23451111523350135,0.39152727500792783
83_450_0,0.8458826623106251,0.996400335842682
77_350_0,0.3269357307584879,0.36022129054025664
78_450_0,0.5307287380405247,0.7980528696142676
