,Feature Importance
Mg Loading,0.00303317119071796
K Loading,0.0
Ca Loading,0.0
Sc Loading,0.0016045283709759078
Cr Loading,0.00024903835531436824
Mn Loading,0.001043016875815526
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0022499445622879417
Cu Loading,0.0011946379224796978
Zn Loading,0.0
Sr Loading,0.0004520490978308498
Y Loading,0.00030808741933452426
Mo Loading,0.0009647334291723236
Ru Loading,0.018097013334919154
Rh Loading,0.010912991976649054
Pd Loading,0.001002059965825368
In Loading,0.0003324482946292637
Hf Loading,0.0
W Loading,0.0
Re Loading,0.004367253795235151
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.0002982055411708644
reactor_number,0.01605310752869067
temperature,0.0
space_velocity,0.03665618376253051
ammonia_concentration,0.06189649184090242
n_elements,3.3881414594694686e-05
Atomic Number_mean,0.008198481268377394
Atomic Number_mad,0.0020096362882187357
Atomic Number_med,0.003420345446739215
Atomic Number_min,1.3650303757172961e-06
Atomic Number_max,7.418511391942852e-05
Atomic Number_rng,0.0023018072081201876
Atomic Volume_wtavg,0.01911601554818716
Atomic Weight_wtavg,0.030006400527772467
Boiling Temperature_wtavg,0.02716155802972897
Periodic Table Column_mean,0.0007952543547485655
Periodic Table Column_mad,0.00013270751507301807
Periodic Table Column_med,0.0001016641677860653
Periodic Table Column_min,0.000690184522610942
Periodic Table Column_max,0.0003030022937106905
Periodic Table Column_rng,8.648035526271882e-05
Covalent Radius_wtavg,0.01536732713456382
Density_wtavg,0.022817104979171953
Dipole Polarizability_wtavg,0.02614200079770034
Electron Affinity_wtavg,0.01694604638798623
Electronegativity_mean,0.0015800898956453793
Electronegativity_mad,0.0024720808346717616
Electronegativity_med,0.01973099466497594
Electronegativity_min,0.0026408570620171114
Electronegativity_max,2.2386202932681895e-05
Electronegativity_rng,0.00354166003698206
Fusion Enthalpy_wtavg,0.015442173004131714
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Bandgap_med,0.0
GS Bandgap_min,0.0
GS Bandgap_max,0.0
GS Bandgap_rng,0.0
GS Energy_mean,0.0011097176184527158
GS Energy_mad,0.000967986913709615
GS Energy_med,0.0049319997419846
GS Energy_min,0.0005431471058548429
GS Energy_max,0.0016722533021867663
GS Energy_rng,0.0005793913716759013
Heat Capacity (Mass)_wtavg,0.01725971895238711
Heat Capacity (Molar)_wtavg,0.00808445192934931
Heat Fusion_wtavg,0.009990705997420125
First Ionization Energy_mean,0.00158373745107979
First Ionization Energy_mad,0.005358581640624476
First Ionization Energy_med,0.00048650299813431883
First Ionization Energy_min,0.0018193960573143959
First Ionization Energy_max,1.4783197388514954e-05
First Ionization Energy_rng,0.0004773161577199596
Second Ionization Energy_mean,0.0003631388225921496
Second Ionization Energy_mad,0.00305346864525095
Second Ionization Energy_med,0.0003784831200721749
Second Ionization Energy_min,1.2996676060837896e-05
Second Ionization Energy_max,0.0
Second Ionization Energy_rng,0.300009749580326
Third Ionization Energy_mean,0.00751323486627419
