,Feature Importance
Mg Loading,0.00010607074919789268
K Loading,2.7289024768556478e-05
Ca Loading,0.00029738115401268644
Sc Loading,0.0006579991668154948
Cr Loading,0.0001844602705681962
Mn Loading,0.0
Fe Loading,0.00012741864562427482
Co Loading,2.9831346977988414e-05
Ni Loading,0.001068420253347469
Cu Loading,0.0031975333691471363
Zn Loading,7.639249761214827e-05
Sr Loading,0.00011052786685929272
Y Loading,0.00020381913446538454
Mo Loading,0.007632486888459706
Ru Loading,0.010062096321434668
Rh Loading,0.0015047012849463874
Pd Loading,0.005651726384503285
In Loading,0.010753930721443991
Hf Loading,0.00030460840256898763
W Loading,0.004610253658270713
Re Loading,0.0005417815196360229
Os Loading,0.0
Ir Loading,0.0012245430645832361
Pt Loading,0.0
Bi Loading,0.00013204603275012992
reactor_number,0.012718494184785538
temperature,0.5074039049108673
space_velocity,0.02977821651758315
ammonia_concentration,0.03933079823334682
n_elements,3.243285541080056e-06
Atomic Number_mean,0.0003830412575365276
Atomic Number_mad,0.0020271639957844113
Atomic Number_med,0.0006241361753413756
Atomic Number_min,0.002478858331364393
Atomic Number_max,0.00019185456409968077
Atomic Number_rng,0.0018725134422907458
Atomic Volume_wtavg,0.02307818690120884
Atomic Weight_wtavg,0.012750836092614383
Boiling Temperature_wtavg,0.010658783930309881
Periodic Table Column_mean,0.0003919037812202934
Periodic Table Column_mad,0.00019485312793416577
Periodic Table Column_med,0.0003013619896234937
Periodic Table Column_min,0.00023308156158094781
Periodic Table Column_max,0.00010690364939908904
Periodic Table Column_rng,0.0003154372208874242
Covalent Radius_wtavg,0.011091482315092995
Density_wtavg,0.005773259106568815
Dipole Polarizability_wtavg,0.004746827127704863
Electron Affinity_wtavg,0.009828863292332039
Electronegativity_mean,0.004083587344867143
Electronegativity_mad,0.0045441116882435255
Electronegativity_med,0.002328977641125211
Electronegativity_min,0.0023003302781732155
Electronegativity_max,2.770609116845708e-05
Electronegativity_rng,0.0020263230425774537
Fusion Enthalpy_wtavg,0.008415541216691518
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
