,Feature Importance
Mg Loading,3.385055150333107e-05
K Loading,5.1916138146052664e-05
Ca Loading,0.00017626703188017856
Sc Loading,0.00015637269383759212
Cr Loading,6.670395422984048e-05
Mn Loading,8.341436419040511e-05
Fe Loading,1.9059607937184983e-05
Co Loading,1.2926264844059631e-05
Ni Loading,6.093037916476233e-05
Cu Loading,0.0016485266600286767
Zn Loading,2.8667270535621213e-05
Sr Loading,0.0001250992169983411
Y Loading,5.0158855635358e-05
Mo Loading,0.013565898048166429
Ru Loading,0.018262979010384373
Rh Loading,0.0015100149232752083
Pd Loading,4.1615233193169466e-05
In Loading,0.008315274989613639
Hf Loading,2.5783950564936338e-05
W Loading,0.001963779303061673
Re Loading,2.275716648527125e-06
Os Loading,1.5987083989262795e-08
Ir Loading,0.0001454844303266958
Pt Loading,0.0
Bi Loading,9.11653741245333e-06
reactor_number,0.005409336460537884
temperature,0.5330884593348911
space_velocity,0.006508730513559852
ammonia_concentration,0.02582253108580163
n_elements,5.556754288699432e-06
Atomic Number_mean,0.002104767317404154
Atomic Number_mad,0.0018725877628913866
Atomic Number_med,0.0021573363911022844
Atomic Number_min,0.0011251417182511555
Atomic Number_max,6.125540786373073e-05
Atomic Number_rng,0.0017481286022955978
Atomic Volume_wtavg,0.006747002263557345
Atomic Weight_wtavg,0.006428514278831583
Boiling Temperature_wtavg,0.014808297193019926
Periodic Table Column_mean,0.00014163583233515854
Periodic Table Column_mad,0.0004271341705266524
Periodic Table Column_med,0.00015932515795342213
Periodic Table Column_min,0.008281916117539038
Periodic Table Column_max,9.943539593424024e-06
Periodic Table Column_rng,0.00024205423447065186
Covalent Radius_wtavg,0.004160505057377843
Density_wtavg,0.004298663447765721
Dipole Polarizability_wtavg,0.007207205171919802
Electron Affinity_wtavg,0.008999549233218768
Electronegativity_mean,0.0034665848975267677
Electronegativity_mad,0.003118664661165257
Electronegativity_med,0.008228568077016269
Electronegativity_min,8.036129554405098e-05
Electronegativity_max,7.700016854981889e-05
Electronegativity_rng,0.0022170702453050127
Fusion Enthalpy_wtavg,0.0068516406923424256
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Bandgap_med,0.0
GS Bandgap_min,0.0
GS Bandgap_max,0.0
GS Bandgap_rng,0.0
GS Energy_mean,0.006658477870144071
GS Energy_mad,0.004534816072936303
GS Energy_med,0.0036731232887348246
GS Energy_min,8.574171282528406e-05
GS Energy_max,0.00261392203610047
GS Energy_rng,0.00039567443040254953
Heat Capacity (Mass)_wtavg,0.00313079974486242
Heat Capacity (Molar)_wtavg,0.003982324163702174
Heat Fusion_wtavg,0.00675316235969362
First Ionization Energy_mean,0.00015183394637236972
First Ionization Energy_mad,0.00044543512380564704
First Ionization Energy_med,0.0006825730591851681
First Ionization Energy_min,0.0014694059588830348
First Ionization Energy_max,7.0429238774440215e-06
First Ionization Energy_rng,0.0006183543921910533
Second Ionization Energy_mean,0.012965815716354457
Second Ionization Energy_mad,0.0014015590971145101
Second Ionization Energy_med,0.016557785083386442
Second Ionization Energy_min,0.0002693819279441791
Second Ionization Energy_max,0.00014793484385581258
Second Ionization Energy_rng,0.07434337405881676
Third Ionization Energy_mean,0.0008418584399608107
Third Ionization Energy_mad,0.00038232147043276954
Third Ionization Energy_med,0.0008048675348608121
Third Ionization Energy_min,3.120497998906451e-05
Third Ionization Energy_max,0.00035000326069997137
Third Ionization Energy_rng,0.0012099441895980269
Fourth Ionization Energy_mean,0.00045425029910894547
Fourth Ionization Energy_mad,0.0002933092572306369
Fourth Ionization Energy_med,0.004069500988159506
Fourth Ionization Energy_min,0.0021741300845893267
Fourth Ionization Energy_max,0.0003877262678331418
Fourth Ionization Energy_rng,0.00027856163332423385
Fifth Ionization Energy_mean,0.006120933713760025
Fifth Ionization Energy_mad,0.00014035635346864664
Fifth Ionization Energy_med,0.002061989180342328
Fifth Ionization Energy_min,0.0013860399776177113
Fifth Ionization Energy_max,0.006407502161030219
Fifth Ionization Energy_rng,0.0002064087625805429
Sixth Ionization Energy_mean,0.0007461803272176951
Sixth Ionization Energy_mad,0.0001578372181474719
Sixth Ionization Energy_med,0.002355785140407267
Sixth Ionization Energy_min,0.00032828411845641154
Sixth Ionization Energy_max,0.0023608262140002918
Sixth Ionization Energy_rng,0.00033667105966230545
Seventh Ionization Energy_mean,0.0005130604153635217
Seventh Ionization Energy_mad,0.0004984181212913124
Seventh Ionization Energy_med,0.00013243202788981194
Seventh Ionization Energy_min,0.00021549041068005744
Seventh Ionization Energy_max,0.003225825181340597
Seventh Ionization Energy_rng,0.00011687561297025142
Eighth Ionization Energy_mean,0.00019052967221393316
Eighth Ionization Energy_mad,0.0003765348453158044
Eighth Ionization Energy_med,0.0006750128917834209
Eighth Ionization Energy_min,0.000361759039215373
Eighth Ionization Energy_max,5.189108765033846e-05
Eighth Ionization Energy_rng,0.0002146204719754477
IsAlkali_mean,5.738306128858784e-05
IsAlkali_mad,3.043673162415759e-05
IsAlkali_med,7.76898648193568e-06
IsAlkali_min,1.8537190862872936e-05
IsAlkali_max,2.1169027107634126e-08
IsAlkali_rng,1.831801963964939e-07
IsDBlock_mean,2.3044540326002282e-05
IsDBlock_mad,6.178974991511532e-05
IsDBlock_med,8.457673291871092e-05
IsDBlock_min,6.016566803518949e-08
IsDBlock_max,6.526067951609045e-06
IsDBlock_rng,2.7798171580560548e-05
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsFBlock_med,0.0
IsFBlock_min,0.0
IsFBlock_max,0.0
IsFBlock_rng,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetal_med,0.0
IsMetal_min,0.0
IsMetal_max,0.0
IsMetal_rng,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsMetalloid_med,0.0
IsMetalloid_min,0.0
IsMetalloid_max,0.0
IsMetalloid_rng,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
IsNonmetal_med,0.0
IsNonmetal_min,0.0
IsNonmetal_max,0.0
IsNonmetal_rng,0.0
Melting Temperature_wtavg,0.018421062095665026
Mendeleev Number_mean,0.0003236761324633911
Mendeleev Number_mad,0.0003737344154447136
Mendeleev Number_med,0.00012538387027245468
Mendeleev Number_min,0.00022000893633239405
Mendeleev Number_max,2.5076592996160146e-05
Mendeleev Number_rng,9.306869187885972e-05
Number d-shell Unfilled Electrons_mean,0.00023490297737098107
Number d-shell Unfilled Electrons_mad,0.0005914546826776303
