,Feature Importance
Mg Loading,0.00035072762865870274
K Loading,0.0
Ca Loading,0.00043256201023377655
Sc Loading,0.0005143837062468331
Cr Loading,0.0
Mn Loading,8.740992693820579e-05
Fe Loading,5.8320393116687244e-05
Co Loading,0.0
Ni Loading,0.00044550378818445605
Cu Loading,0.004143514708099844
Zn Loading,0.0
Sr Loading,0.0003593560457110449
Y Loading,0.0
Mo Loading,0.008751523114489656
Ru Loading,0.009286436358184592
Rh Loading,0.002635917926122452
Pd Loading,0.007860523802514782
In Loading,0.011519213914271487
Hf Loading,0.0002490969317495232
W Loading,0.0036345254849314366
Re Loading,0.0
Os Loading,0.0
Ir Loading,0.0024640981693365167
Pt Loading,0.0
Bi Loading,0.0006836774604827799
reactor_number,0.008223769598755351
temperature,0.5332663487452665
space_velocity,0.020658376002409204
ammonia_concentration,0.0420041385644879
n_Cl_atoms,0.000495035123075586
n_elements,0.0007485351632106902
Atomic Number_mean,0.003027505502698743
Atomic Number_mad,0.004063264689571366
Atomic Volume_wtavg,0.016259105110269633
Atomic Weight_wtavg,0.007883195184213371
Boiling Temperature_wtavg,0.005107828879117775
Periodic Table Column_mean,0.011802263571355436
Periodic Table Column_mad,0.002636958744812194
Covalent Radius_wtavg,0.012579517610365819
Density_wtavg,0.010147339817991721
Dipole Polarizability_wtavg,0.008219458493727657
Electron Affinity_wtavg,0.008367750685917436
Electronegativity_mean,0.03069666317861322
Electronegativity_mad,0.00732781303570442
Fusion Enthalpy_wtavg,0.010914316562394517
GS Bandgap_mean,0.0
GS Bandgap_mad,0.0
GS Energy_mean,0.003256231638848561
GS Energy_mad,0.004376236186268997
Heat Capacity (Mass)_wtavg,0.004231985675833136
Heat Capacity (Molar)_wtavg,0.004611835200329776
Heat Fusion_wtavg,0.007773901976463986
First Ionization Energy_mean,0.0018670620947724293
First Ionization Energy_mad,0.0024581918737518935
Second Ionization Energy_mean,0.013202681052985164
Second Ionization Energy_mad,0.013405810688027694
Third Ionization Energy_mean,0.0014552372798763244
Third Ionization Energy_mad,0.009981591881492122
Fourth Ionization Energy_mean,0.002272939471036455
Fourth Ionization Energy_mad,0.0009759158111278962
Fifth Ionization Energy_mean,0.0012334727930295082
Fifth Ionization Energy_mad,0.0006452008017486832
Sixth Ionization Energy_mean,0.00036687023396667155
Sixth Ionization Energy_mad,0.0003093735699705375
Seventh Ionization Energy_mean,0.0016610510561279068
Seventh Ionization Energy_mad,0.0005565627458971936
Eighth Ionization Energy_mean,0.0003348308748748704
Eighth Ionization Energy_mad,0.002338978899308585
IsAlkali_mean,8.223230304907993e-05
IsAlkali_mad,0.0
IsDBlock_mean,0.0
IsDBlock_mad,0.00025657236867861465
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.008090539196369796
Mendeleev Number_mean,0.003608759778989088
Mendeleev Number_mad,0.002724070057417189
Number d-shell Unfilled Electrons_mean,0.0008802983735781999
Number d-shell Unfilled Electrons_mad,0.002680758186202797
Number d-shell Valance Electrons_mean,0.012180279480403327
Number d-shell Valance Electrons_mad,0.001294060422097308
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0
Number f-shell Valance Electrons_mad,0.0
Number p-shell Unfilled Electrons_mean,0.001521061874618968
Number p-shell Unfilled Electrons_mad,0.0028386594040709324
Number p-shell Valance Electrons_mean,0.0
Number p-shell Valance Electrons_mad,0.001040667396727456
Number s-shell Unfilled Electrons_mean,0.00022449187144052426
Number s-shell Unfilled Electrons_mad,0.0002330951753251982
Number s-shell Valance Electrons_mean,0.0008762141620197463
Number s-shell Valance Electrons_mad,0.00028435083826052463
Number Unfilled Electrons_mean,0.0016436335306865635
Number Unfilled Electrons_mad,0.001391446083877135
Number Valence Electrons_mean,0.003758771588751298
Number Valence Electrons_mad,0.0059904204663170455
Polarizability_mean,0.012878575336225535
Polarizability_mad,0.0025640895817007087
Periodic Table Row_mean,0.0005394036565136103
Periodic Table Row_mad,0.0015304575009416734
Zunger Pseudopotential (d)_mean,0.0031182802200179953
Zunger Pseudopotential (d)_mad,0.006239434911789687
Zunger Pseudopotential (p)_mean,0.0059734629089025736
Zunger Pseudopotential (p)_mad,0.0007753164707199561
Zunger Pseudopotential (pi)_mean,0.006025264221986241
Zunger Pseudopotential (pi)_mad,0.005492498038051967
Zunger Pseudopotential (s)_mean,0.002200246075816096
Zunger Pseudopotential (s)_mad,0.0004544931386405675
Zunger Pseudopotential (sigma)_mean,0.008583413219385308
Zunger Pseudopotential (sigma)_mad,0.0003150462159169365
phi_mean,0.007773206876969712
phi_mad,0.0022957752246629782
Conductivity_mean,0.0035615222303056132
Conductivity_mad,0.0028571941736022627
