,Feature Importance
Mg Loading,0.00536073373698751
K Loading,0.0
Ca Loading,3.415213757680517e-05
Sc Loading,0.0003642972891432258
Cr Loading,0.0065211123511122685
Mn Loading,0.00029935927362085174
Ni Loading,0.001323603789872281
Cu Loading,0.0003086077372114205
Y Loading,0.0009200238109698306
Ru Loading,0.09944162433178415
Rh Loading,0.0
In Loading,8.828795412960768e-06
Hf Loading,2.525401049179826e-05
W Loading,0.000550722161994933
Ir Loading,0.0
Pt Loading,0.0
reactor_number,0.00804169147952315
temperature,0.0
space_velocity,0.025671135506308417
ammonia_concentration,0.3529231232443443
n_elements,0.0
Atomic Number_Element0,0.0
Atomic Number_Element1,0.00020480427158022267
Atomic Number_Element2,0.0
AtomicVolume_Element0,0.0
AtomicVolume_Element1,0.23213856302632038
AtomicVolume_Element2,0.0
AtomicWeight_Element0,0.0
AtomicWeight_Element1,0.0008384126443969741
AtomicWeight_Element2,0.0
BoilingT_Element0,0.0
BoilingT_Element1,0.0008619337229778333
BoilingT_Element2,0.0
Column_Element0,0.0
Column_Element1,0.022003627758959053
Column_Element2,0.0
CovalentRadius_Element0,0.0
CovalentRadius_Element1,0.03015461685465457
CovalentRadius_Element2,0.0
Density_Element0,0.0
Density_Element1,0.022475322178779712
Density_Element2,0.0
DipolePolarizability_Element0,0.0
DipolePolarizability_Element1,0.006448559691654896
DipolePolarizability_Element2,0.0
ElectronAffinity_Element0,0.0
ElectronAffinity_Element1,0.003371652824042552
ElectronAffinity_Element2,0.0
Electronegativity_Element0,0.0
Electronegativity_Element1,0.012701629497046502
Electronegativity_Element2,0.0
FusionEnthalpy_Element0,0.0
FusionEnthalpy_Element1,0.014479519581730015
FusionEnthalpy_Element2,0.0
GSbandgap_Element0,0.0
GSbandgap_Element1,0.0
GSbandgap_Element2,0.0
GSenergy_pa_Element0,0.0
GSenergy_pa_Element1,0.0015213035268976374
GSenergy_pa_Element2,0.0
HeatCapacityMass_Element0,0.0
HeatCapacityMass_Element1,0.0010652137211421232
HeatCapacityMass_Element2,0.0
HeatCapacityMolar_Element0,0.0
HeatCapacityMolar_Element1,0.0009188795911853856
HeatCapacityMolar_Element2,0.0
HeatFusion_Element0,0.0
HeatFusion_Element1,0.014411642317358697
HeatFusion_Element2,0.0
IonizationEnergies_1_Element0,0.0
IonizationEnergies_1_Element1,0.000689990681997978
IonizationEnergies_1_Element2,0.0
IonizationEnergies_2_Element0,0.0
IonizationEnergies_2_Element1,0.013547453811874272
IonizationEnergies_2_Element2,0.0
IonizationEnergies_3_Element0,0.0
IonizationEnergies_3_Element1,0.001126466411778894
IonizationEnergies_3_Element2,0.0
IonizationEnergies_4_Element1,0.00024406341707543792
IonizationEnergies_4_Element2,0.0
IonizationEnergies_5_Element1,0.0012605848541948636
IonizationEnergies_5_Element2,0.0
IonizationEnergies_6_Element1,0.016859943800172684
IonizationEnergies_6_Element2,0.0
IonizationEnergies_7_Element1,0.0028514501935962984
IonizationEnergies_7_Element2,0.0
IonizationEnergies_8_Element1,0.013227840253765532
IonizationEnergies_8_Element2,0.0
IsAlkali_Element0,0.0
IsAlkali_Element1,0.0002488063739221563
IsAlkali_Element2,0.0
IsDBlock_Element0,0.0
IsDBlock_Element1,3.143939830890177e-07
IsDBlock_Element2,0.0
IsFBlock_Element0,0.0
IsFBlock_Element1,0.0
IsFBlock_Element2,0.0
IsMetal_Element0,0.0
IsMetal_Element1,0.0
IsMetal_Element2,0.0
IsMetalloid_Element0,0.0
IsMetalloid_Element1,0.0
IsMetalloid_Element2,0.0
IsNonmetal_Element0,0.0
IsNonmetal_Element1,0.0
IsNonmetal_Element2,0.0
MeltingT_Element0,0.0
MeltingT_Element1,0.01224476876329545
MeltingT_Element2,0.0
MendeleevNumber_Element0,0.0
MendeleevNumber_Element1,0.00043146917177518953
MendeleevNumber_Element2,0.0
NdUnfilled_Element0,0.0
NdUnfilled_Element1,0.0008062515151363159
NdUnfilled_Element2,0.0
NdValence_Element0,0.0
NdValence_Element1,0.043946505274254866
NdValence_Element2,0.0
NfUnfilled_Element0,0.0
NfUnfilled_Element1,0.0
NfUnfilled_Element2,0.0
NfValence_Element0,0.0
NfValence_Element1,0.00033399646584456895
NfValence_Element2,0.0
NpUnfilled_Element0,0.0
NpUnfilled_Element1,3.6401828900108012e-06
NpUnfilled_Element2,0.0
NpValence_Element0,0.0
NpValence_Element1,9.896133799184261e-07
NpValence_Element2,0.0
NsUnfilled_Element0,0.0
NsUnfilled_Element1,8.121715054411338e-06
NsUnfilled_Element2,0.0
NsValence_Element0,0.0
NsValence_Element1,0.0002344469542072136
NsValence_Element2,0.0
Number_Element0,0.0
Number_Element1,0.00011460921335269237
Number_Element2,0.0
NUnfilled_Element0,0.0
NUnfilled_Element1,0.0011193862499435752
NUnfilled_Element2,0.0
NValence_Element0,0.0
NValence_Element1,0.0009379974051881811
NValence_Element2,0.0
Polarizability_Element0,0.0
Polarizability_Element1,0.010491251147177368
Polarizability_Element2,0.0
Row_Element0,0.0
Row_Element1,4.417767059096977e-05
Row_Element2,0.0
ZungerPP-r_d_Element0,0.0
ZungerPP-r_d_Element1,0.008953670044805125
ZungerPP-r_d_Element2,0.0
ZungerPP-r_p_Element0,0.0
ZungerPP-r_p_Element1,0.0006373545464498595
ZungerPP-r_p_Element2,0.0
ZungerPP-r_pi_Element0,0.0
ZungerPP-r_pi_Element1,0.001659843898333269
ZungerPP-r_pi_Element2,0.0
ZungerPP-r_s_Element0,0.0
ZungerPP-r_s_Element1,0.00016975082663196568
ZungerPP-r_s_Element2,0.0
ZungerPP-r_sigma_Element0,0.0
ZungerPP-r_sigma_Element1,0.0024149042842474735
ZungerPP-r_sigma_Element2,0.0
