,Feature Importance
Mg Loading,0.0
K Loading,0.0
Ca Loading,0.0
Sc Loading,0.0016411485962143824
Cr Loading,0.0012329971762364705
Mn Loading,0.000988853821292167
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0004823580189357614
Cu Loading,0.0038110367265028495
Zn Loading,0.0
Sr Loading,0.0
Y Loading,0.0
Mo Loading,0.0006388737806845711
Ru Loading,0.005086567030298331
Rh Loading,0.0019088523287193993
Pd Loading,9.472763959316493e-05
In Loading,0.0
Hf Loading,0.00019650043895480496
W Loading,0.0
Re Loading,0.00020330697586562577
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.0011928318090601241
temperature,0.7007650874756091
space_velocity,0.017000983230759832
ammonia_concentration,0.014754464440979657
n_elements,0.0
Atomic Number_mean,0.0023340984833692545
Atomic Number_mad,0.001983350780993087
Atomic Volume_wtavg,0.011124168050849637
Atomic Weight_wtavg,0.008745357534349235
Boiling Temperature_wtavg,0.0032626903369068726
Periodic Table Column_mean,0.020505977620896575
Periodic Table Column_mad,0.0029553116117689497
Covalent Radius_wtavg,0.0065502065023180876
Density_wtavg,0.0033007808933921516
Dipole Polarizability_wtavg,0.0055379227265394725
Electron Affinity_wtavg,0.009608857065040052
Electronegativity_wtavg,0.0040233488582098334
Fusion Enthalpy_wtavg,0.004737745886523317
GS Bandgap_wtavg,0.0
GS Energy_wtavg,0.005245333013371969
Heat Capacity (Mass)_wtavg,0.007105714883062402
Heat Capacity (Molar)_wtavg,0.004429416251304178
Heat Fusion_wtavg,0.004421368066709308
First Ionization Energy_wtavg,0.004293615944173602
Second Ionization Energy_wtavg,0.009227061332204268
Third Ionization Energy_wtavg,0.0037591354915379733
Fourth Ionization Energy_wtavg,0.004484839679677128
Fifth Ionization Energy_wtavg,0.002544925297726507
Sixth Ionization Energy_wtavg,0.0018055536836267768
Seventh Ionization Energy_wtavg,0.003459192618096155
Eighth Ionization Energy_wtavg,0.00431642473434875
IsAlkali_mean,0.00011029942974219103
IsAlkali_mad,0.0
IsDBlock_mean,0.0005029204255380189
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.003341780849084177
Mendeleev Number_mean,0.004863684546959538
Mendeleev Number_mad,0.003170268481838839
Number d-shell Unfilled Electrons_mean,0.0017045732100438317
Number d-shell Unfilled Electrons_mad,0.0031779585492717243
Number d-shell Valance Electrons_mean,0.027140555845296666
Number d-shell Valance Electrons_mad,4.9691008379721697e-05
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0
Number f-shell Valance Electrons_mad,0.0002698711396433452
Number p-shell Unfilled Electrons_mean,0.0011597325663989192
Number p-shell Unfilled Electrons_mad,0.002040846653110026
Number p-shell Valance Electrons_mean,0.0012071846111870238
Number p-shell Valance Electrons_mad,0.0033056017761438337
Number s-shell Unfilled Electrons_mean,0.0005205793861514977
Number s-shell Unfilled Electrons_mad,6.80510075636432e-05
Number s-shell Valance Electrons_mean,0.0009118964645367064
Number s-shell Valance Electrons_mad,0.00013939859780616597
Number Unfilled Electrons_mean,0.0007825160175654665
Number Unfilled Electrons_mad,0.003453410138233417
Number Valence Electrons_mean,0.0014055020917837146
Number Valence Electrons_mad,0.0028358793500165087
Polarizability_wtavg,0.005895215653346521
Periodic Table Row_mean,0.0007783693783728493
Periodic Table Row_mad,0.0005114100174422599
Zunger Pseudopotential (d)_mean,0.0023275080651948775
Zunger Pseudopotential (d)_mad,0.001367884821673157
Zunger Pseudopotential (p)_mean,0.0008789509475624932
Zunger Pseudopotential (p)_mad,0.001334431146338321
Zunger Pseudopotential (pi)_mean,0.003381124824379348
Zunger Pseudopotential (pi)_mad,0.002451658896591414
Zunger Pseudopotential (s)_mean,0.0007437436941904791
Zunger Pseudopotential (s)_mad,0.00042468675724771377
Zunger Pseudopotential (sigma)_mean,0.0011362037386666742
Zunger Pseudopotential (sigma)_mad,0.0009502689738559738
phi_mean,0.011600540878511029
phi_mad,0.002927161532742816
Conductivity_wtavg,0.011367651690887404
