,Feature Importance
Mg Loading,0.0
K Loading,0.0
Ca Loading,0.0
Sc Loading,0.0013662284842770106
Cr Loading,0.0006512060786779575
Mn Loading,0.00045919982617539685
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.00013413458417166363
Cu Loading,0.0009306317311761805
Zn Loading,0.0
Sr Loading,0.00012377643824899385
Y Loading,0.0
Mo Loading,0.00018297184259279058
Ru Loading,0.00627600365485536
Rh Loading,0.0018737078981362098
Pd Loading,0.00018601069175559775
In Loading,5.851827825784474e-05
Hf Loading,9.593032652048988e-05
W Loading,0.0
Re Loading,0.00010901572824621172
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.001314299614751659
temperature,0.7180930900007442
space_velocity,0.020719338178346033
ammonia_concentration,0.017806205722404343
n_elements,0.0
Atomic Number_mean,0.005818899672170431
Atomic Number_mad,0.0019987074051884867
Atomic Volume_wtavg,0.0036252006638700118
Atomic Weight_wtavg,0.00822149475014628
Boiling Temperature_wtavg,0.006396315583195676
Periodic Table Column_mean,0.018800740811642083
Periodic Table Column_mad,0.0005212979403181766
Covalent Radius_wtavg,0.003725856971418286
Density_wtavg,0.0058232836175970285
Dipole Polarizability_wtavg,0.0037629672022644156
Electron Affinity_wtavg,0.007209776391540559
Electronegativity_wtavg,0.004318708146361504
Fusion Enthalpy_wtavg,0.0042532348499359374
GS Bandgap_wtavg,0.0
GS Energy_wtavg,0.002771186919774916
Heat Capacity (Mass)_wtavg,0.004684237124198268
Heat Capacity (Molar)_wtavg,0.005283271217594401
Heat Fusion_wtavg,0.00395360933774775
First Ionization Energy_wtavg,0.004229001348705407
Second Ionization Energy_wtavg,0.003937274822823253
Third Ionization Energy_wtavg,0.004746881153355099
Fourth Ionization Energy_wtavg,0.004933742839178872
Fifth Ionization Energy_wtavg,0.0013839068311149998
Sixth Ionization Energy_wtavg,0.001302640240509073
Seventh Ionization Energy_wtavg,0.004834865375609945
Eighth Ionization Energy_wtavg,0.002124449725329226
IsAlkali_mean,0.0004017846007934128
IsAlkali_mad,0.0
IsDBlock_mean,0.0003066322212516991
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.00651502680529048
Mendeleev Number_mean,0.00328800140182957
Mendeleev Number_mad,0.005415419153936901
Number d-shell Unfilled Electrons_mean,0.004067344028289531
Number d-shell Unfilled Electrons_mad,0.009951965947541387
Number d-shell Valance Electrons_mean,0.020207626363764403
Number d-shell Valance Electrons_mad,0.0011599386027349255
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0
Number f-shell Valance Electrons_mad,0.0
Number p-shell Unfilled Electrons_mean,0.0006188961326321721
Number p-shell Unfilled Electrons_mad,7.890219065361063e-05
Number p-shell Valance Electrons_mean,0.0015911536958136748
Number p-shell Valance Electrons_mad,0.0016079738072253152
Number s-shell Unfilled Electrons_mean,0.0
Number s-shell Unfilled Electrons_mad,0.0
Number s-shell Valance Electrons_mean,0.00019513448339369434
Number s-shell Valance Electrons_mad,4.207816206832662e-05
Number Unfilled Electrons_mean,0.0015132416440385749
Number Unfilled Electrons_mad,0.0002113020493397239
Number Valence Electrons_mean,0.0024272840522805905
Number Valence Electrons_mad,0.001933649694225312
Polarizability_wtavg,0.004063495930994832
Periodic Table Row_mean,0.0004202804464722938
Periodic Table Row_mad,0.0005089869004796528
Zunger Pseudopotential (d)_mean,0.0034310312144283286
Zunger Pseudopotential (d)_mad,0.003525116503862161
Zunger Pseudopotential (p)_mean,0.0009479886609982382
Zunger Pseudopotential (p)_mad,0.0012024426780352648
Zunger Pseudopotential (pi)_mean,0.0031537681355176027
Zunger Pseudopotential (pi)_mad,0.008444356789259451
Zunger Pseudopotential (s)_mean,0.0011777365142507823
Zunger Pseudopotential (s)_mad,0.0003263222851220501
Zunger Pseudopotential (sigma)_mean,0.000959099430593544
Zunger Pseudopotential (sigma)_mad,0.0005792050195377826
phi_mean,0.015223445277655519
phi_mad,0.0009690153007720304
Conductivity_wtavg,0.004492533853989068
