,Predicted Conversion,Measured Conversion,ID,Name,temperature
86_350_0,0.7528637968449998,0.028624902999999997,86,Ru(2)Mo(2)K(12),350.0
38_300_1,0.4332323530549999,0.46879234700000005,38,Ru(2)Mn(2)K(12),300.0
87_400_0,0.9190964294450006,0.38051821,87,Ru(1)Mo(3)K(12),400.0
90_450_0,0.903855834659999,0.810247383,90,Ru(1)Ir(3)K(12),450.0
87_450_0,0.9537511500199998,0.713678968,87,Ru(1)Mo(3)K(12),450.0
86_450_0,0.9398094146699996,0.415465433,86,Ru(2)Mo(2)K(12),450.0
93_450_0,0.8701430590699989,0.95525792,93,Ru(1)Re(3)K(12),450.0
93_350_0,0.6246055870149998,0.279635856,93,Ru(1)Re(3)K(12),350.0
90_400_0,0.8247189209099998,0.332421601,90,Ru(1)Ir(3)K(12),400.0
86_300_0,0.5056710366950002,0.007846155,86,Ru(2)Mo(2)K(12),300.0
93_300_0,0.43355661725500005,0.115003504,93,Ru(1)Re(3)K(12),300.0
38_400_1,0.9209108633600002,0.984657303,38,Ru(2)Mn(2)K(12),400.0
90_300_0,0.4801675313650003,0.16996720699999998,90,Ru(1)Ir(3)K(12),300.0
38_350_1,0.7261567219650001,0.9722799940000001,38,Ru(2)Mn(2)K(12),350.0
90_350_0,0.7038527451249997,0.168319722,90,Ru(1)Ir(3)K(12),350.0
38_250_1,0.23734730503499996,0.228009703,38,Ru(2)Mn(2)K(12),250.0
93_400_0,0.7745472534149996,0.7104351259999999,93,Ru(1)Re(3)K(12),400.0
90_250_0,0.27751389173,0.165535261,90,Ru(1)Ir(3)K(12),250.0
85_350_0,0.7793024254200002,0.36727144,85,Ru(3)Mo(1)K(12),350.0
85_250_0,0.28251978028500013,0.10671627300000001,85,Ru(3)Mo(1)K(12),250.0
86_400_0,0.9199768830050007,0.171749485,86,Ru(2)Mo(2)K(12),400.0
87_300_0,0.4794196162550001,0.16582702300000002,87,Ru(1)Mo(3)K(12),300.0
38_450_1,0.9548707991400002,0.9996868640000001,38,Ru(2)Mn(2)K(12),450.0
85_450_0,0.8954678928999997,1.0,85,Ru(3)Mo(1)K(12),450.0
87_350_0,0.7106751005249994,0.217764088,87,Ru(1)Mo(3)K(12),350.0
86_250_0,0.26228970168499993,0.0,86,Ru(2)Mo(2)K(12),250.0
85_300_0,0.5748428106250004,0.207592836,85,Ru(3)Mo(1)K(12),300.0
87_250_0,0.2504888465099999,0.15054885699999998,87,Ru(1)Mo(3)K(12),250.0
93_250_0,0.24714982651500006,0.042815457,93,Ru(1)Re(3)K(12),250.0
85_400_0,0.8685187921900009,0.893820993,85,Ru(3)Mo(1)K(12),400.0
