,Predicted Conversion,Measured Conversion,ID,Name,temperature
76_350_0,0.6382100514676279,0.343124256,76,Ru(3)Bi(1)K(12),350.0
82_400_0,0.6597213173287689,0.980123112,82,Ru(3)Pd(1)K(12),400.0
66_300_0,0.19452087454083616,0.58634798,66,Ru(1)Rh(3)K(12),300.0
67_450_0,0.9604780821079758,0.987485635,67,Ru(3)Zn(1)K(12),450.0
74_450_0,0.91505830927215,1.0,74,Ru(2)Sr(2)K(12),450.0
77_400_0,0.6308624461228897,0.632478765,77,Ru(2)Bi(2)K(12),400.0
75_350_0,0.703585031703239,0.9530922409999999,75,Ru(1)Sr(3)K(12),350.0
67_350_0,0.7404916628748364,0.819644967,67,Ru(3)Zn(1)K(12),350.0
82_300_0,0.2083846996684892,0.391527275,82,Ru(3)Pd(1)K(12),300.0
83_400_0,0.7207913290726822,0.984889555,83,Ru(2)Pd(2)K(12),400.0
74_350_0,0.8505025047478775,1.0,74,Ru(2)Sr(2)K(12),350.0
73_400_0,0.9429425265713526,1.0,73,Ru(3)Sr(1)K(12),400.0
65_350_0,0.6104513692487649,0.994041235,65,Ru(2)Rh(2)K(12),350.0
65_400_0,0.7920083552064463,0.990959522,65,Ru(2)Rh(2)K(12),400.0
74_400_0,0.90099675468631,1.0,74,Ru(2)Sr(2)K(12),400.0
83_300_0,0.3283724069047845,0.297161443,83,Ru(2)Pd(2)K(12),300.0
73_350_0,0.8779255107937713,0.997048127,73,Ru(3)Sr(1)K(12),350.0
65_250_0,0.22769994175802188,0.433214504,65,Ru(2)Rh(2)K(12),250.0
65_300_0,0.36699971928172564,0.813473852,65,Ru(2)Rh(2)K(12),300.0
73_250_0,0.30679557390268525,0.47100722,73,Ru(3)Sr(1)K(12),250.0
69_350_0,0.5257401710069844,0.498945452,69,Ru(1)Zn(3)K(12),350.0
66_250_0,0.08781449621391307,0.20377695,66,Ru(1)Rh(3)K(12),250.0
67_300_0,0.5016298322343238,0.512376181,67,Ru(3)Zn(1)K(12),300.0
69_450_0,0.7789996965338367,1.0,69,Ru(1)Zn(3)K(12),450.0
73_450_0,0.9570040811571935,0.9942532590000001,73,Ru(3)Sr(1)K(12),450.0
69_400_0,0.7456228443040628,0.9883804979999999,69,Ru(1)Zn(3)K(12),400.0
83_250_0,0.1519865718723507,0.100944286,83,Ru(2)Pd(2)K(12),250.0
82_450_0,0.7353784889331797,0.950797146,82,Ru(3)Pd(1)K(12),450.0
83_450_0,0.75790063047834,0.9964003359999999,83,Ru(2)Pd(2)K(12),450.0
76_400_0,0.7538974239915261,0.541676574,76,Ru(3)Bi(1)K(12),400.0
66_400_0,0.6100092744025705,1.0,66,Ru(1)Rh(3)K(12),400.0
77_300_0,0.4041468895453149,0.049364637999999995,77,Ru(2)Bi(2)K(12),300.0
73_300_0,0.6687279217908322,0.842363016,73,Ru(3)Sr(1)K(12),300.0
75_300_0,0.5006737783645879,0.70658984,75,Ru(1)Sr(3)K(12),300.0
76_450_0,0.7942983124639207,0.866817935,76,Ru(3)Bi(1)K(12),450.0
76_250_0,0.3590878993611984,0.175224149,76,Ru(3)Bi(1)K(12),250.0
77_450_0,0.6540785877548968,0.90690684,77,Ru(2)Bi(2)K(12),450.0
75_450_0,0.841628012450287,1.0,75,Ru(1)Sr(3)K(12),450.0
67_250_0,0.2982642940718111,0.139892903,67,Ru(3)Zn(1)K(12),250.0
66_350_0,0.4039561665174487,1.0,66,Ru(1)Rh(3)K(12),350.0
77_350_0,0.4886676343954158,0.360221291,77,Ru(2)Bi(2)K(12),350.0
82_350_0,0.46408395573790934,0.980309152,82,Ru(3)Pd(1)K(12),350.0
74_300_0,0.6325245704621177,0.688602092,74,Ru(2)Sr(2)K(12),300.0
74_250_0,0.3257145112095548,0.37922638,74,Ru(2)Sr(2)K(12),250.0
75_250_0,0.24880637737926267,0.049501215999999994,75,Ru(1)Sr(3)K(12),250.0
75_400_0,0.803688652602447,0.9927286740000001,75,Ru(1)Sr(3)K(12),400.0
83_350_0,0.5424111065812981,0.939012345,83,Ru(2)Pd(2)K(12),350.0
69_250_0,0.19148283614456543,0.08462298,69,Ru(1)Zn(3)K(12),250.0
69_300_0,0.31206751301203517,0.054859118,69,Ru(1)Zn(3)K(12),300.0
65_450_0,0.819963069565937,0.984546653,65,Ru(2)Rh(2)K(12),450.0
82_250_0,0.04719183174048357,0.161979452,82,Ru(3)Pd(1)K(12),250.0
67_400_0,0.9313074144787151,0.991556071,67,Ru(3)Zn(1)K(12),400.0
76_300_0,0.5184576332246285,0.251493649,76,Ru(3)Bi(1)K(12),300.0
77_250_0,0.272421395520334,0.168674503,77,Ru(2)Bi(2)K(12),250.0
66_450_0,0.6765118589608139,1.0,66,Ru(1)Rh(3)K(12),450.0
