,Feature Importance
Mg Loading,0.0
K Loading,0.0
Ca Loading,0.0006265156195123911
Sc Loading,0.0010573965446165423
Cr Loading,7.563611683966573e-05
Mn Loading,0.0003692047507235586
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0006228076873147025
Cu Loading,0.006286018280486059
Zn Loading,0.0
Sr Loading,0.00010692939501792708
Y Loading,0.0
Mo Loading,0.029025056111288316
Ru Loading,0.0060544975134499525
Rh Loading,0.002792530575232577
Pd Loading,0.0
In Loading,0.03766957153938514
Hf Loading,0.0
W Loading,0.00040308567467673415
Re Loading,0.00023894733565406966
Os Loading,0.0
Ir Loading,0.00013194345047367595
Pt Loading,0.0
Bi Loading,0.001264234196237673
temperature,0.583535494437234
space_velocity,0.01660120148862758
ammonia_concentration,0.009934089311984669
n_elements,0.0
Atomic Number_mean,0.004277803619357998
Atomic Number_mad,0.0029521785287340103
Atomic Volume_wtavg,0.009708658296742645
Atomic Weight_wtavg,0.012560005163733717
Boiling Temperature_wtavg,0.007659700383337003
Periodic Table Column_mean,0.018251893473286415
Periodic Table Column_mad,0.0114120566278728
Covalent Radius_wtavg,0.0036571187272183316
Density_wtavg,0.0031964229523618447
Dipole Polarizability_wtavg,0.0030045697347639666
Electron Affinity_wtavg,0.016310574183841717
Electronegativity_wtavg,0.006395231282348215
Fusion Enthalpy_wtavg,0.008747226177086549
GS Bandgap_wtavg,0.0
GS Energy_wtavg,0.009416460273783825
Heat Capacity (Mass)_wtavg,0.009551706065845905
Heat Capacity (Molar)_wtavg,0.005822696014688375
Heat Fusion_wtavg,0.005105438639463854
First Ionization Energy_wtavg,0.003997200645095448
Second Ionization Energy_wtavg,0.008725482845444959
Third Ionization Energy_wtavg,0.008406656872333268
Fourth Ionization Energy_wtavg,0.004270526949913866
Fifth Ionization Energy_wtavg,0.003642884158780839
Sixth Ionization Energy_wtavg,0.0008017200575208112
Seventh Ionization Energy_wtavg,0.0057172524195843255
Eighth Ionization Energy_wtavg,0.0067248229849210485
IsAlkali_mean,0.0
IsAlkali_mad,0.0
IsDBlock_mean,0.0003325110952047946
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.019604967553103946
Mendeleev Number_mean,0.0038270076385930503
Mendeleev Number_mad,0.0025372855080594246
Number d-shell Unfilled Electrons_mean,0.0007263778946054807
Number d-shell Unfilled Electrons_mad,0.001508129652137794
Number d-shell Valance Electrons_mean,0.018101853409838484
Number d-shell Valance Electrons_mad,0.0011213281996707947
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0
Number f-shell Valance Electrons_mad,0.0
Number p-shell Unfilled Electrons_mean,0.0003225361182290456
Number p-shell Unfilled Electrons_mad,0.005331191295424592
Number p-shell Valance Electrons_mean,0.0
Number p-shell Valance Electrons_mad,0.00040757716350583935
Number s-shell Unfilled Electrons_mean,0.0
Number s-shell Unfilled Electrons_mad,0.0007359519396578026
Number s-shell Valance Electrons_mean,0.0005287518667451295
Number s-shell Valance Electrons_mad,0.0005843264369242436
Number Unfilled Electrons_mean,0.0008805041729320892
Number Unfilled Electrons_mad,0.0014737451412158483
Number Valence Electrons_mean,0.0026535780405451525
Number Valence Electrons_mad,0.0026279500488690334
Polarizability_wtavg,0.007643444100375699
Periodic Table Row_mean,0.00023837150684360826
Periodic Table Row_mad,0.00011353705189947656
Zunger Pseudopotential (d)_mean,0.0016228558154185249
Zunger Pseudopotential (d)_mad,0.004619415390260498
Zunger Pseudopotential (p)_mean,0.0007782492151013384
Zunger Pseudopotential (p)_mad,0.0007049045194505026
Zunger Pseudopotential (pi)_mean,0.008461916755268289
Zunger Pseudopotential (pi)_mad,0.003081514089633539
Zunger Pseudopotential (s)_mean,0.0007503842385265818
Zunger Pseudopotential (s)_mad,0.0008607662552044841
Zunger Pseudopotential (sigma)_mean,0.004192411121396356
Zunger Pseudopotential (sigma)_mad,0.0023850630025874808
phi_mean,0.015034435467763034
phi_mad,0.0017442177313432578
Conductivity_wtavg,0.007351493456847766
