,Feature Importance
Mg Loading,0.00021900465523725155
K Loading,0.0
Ca Loading,0.0
Sc Loading,0.0011813518711729486
Cr Loading,0.0025859343813206064
Mn Loading,0.0023371705494358488
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0011691628911250735
Cu Loading,0.0038833266371107577
Zn Loading,4.36032737528418e-05
Sr Loading,4.543605199405378e-06
Y Loading,0.0
Mo Loading,0.009307475259309767
Ru Loading,0.019937403494958882
Rh Loading,0.0
Pd Loading,0.0
In Loading,0.0
Hf Loading,0.0
W Loading,0.006306697382643103
Re Loading,0.0004046328287407688
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.0010364964008468928
temperature,0.0
space_velocity,0.026939784016912664
ammonia_concentration,0.02016348419044475
n_Cl_atoms,0.013994417093589421
n_elements,0.0
Atomic Number_mean,0.0300305075255686
Atomic Number_mad,0.012634894980958575
Atomic Volume_wtavg,0.028929382858077245
Atomic Weight_wtavg,0.024671670914651993
Boiling Temperature_wtavg,0.015382674962977174
Periodic Table Column_mean,0.014943958255933946
Periodic Table Column_mad,0.06082516494287825
Covalent Radius_wtavg,0.00822471179866282
Density_wtavg,0.014219115344036241
Dipole Polarizability_wtavg,0.009971761442335351
Electron Affinity_wtavg,0.023005969214910903
Electronegativity_wtavg,0.001278795276597504
Fusion Enthalpy_wtavg,0.00815846147009444
GS Bandgap_wtavg,0.0
GS Energy_wtavg,0.019152151189278238
Heat Capacity (Mass)_wtavg,0.002500298595991593
Heat Capacity (Molar)_wtavg,0.09799900452595399
Heat Fusion_wtavg,0.03357973593196821
First Ionization Energy_wtavg,0.023450600264266618
Second Ionization Energy_wtavg,0.01606769049234439
Third Ionization Energy_wtavg,0.012154810959035976
Fourth Ionization Energy_wtavg,0.006736375132622109
Fifth Ionization Energy_wtavg,0.0033214277845502495
Sixth Ionization Energy_wtavg,0.005258638142794902
Seventh Ionization Energy_wtavg,0.028333201109082613
Eighth Ionization Energy_wtavg,0.01047095261415802
IsAlkali_mean,0.0017083591783677702
IsAlkali_mad,0.0
IsDBlock_mean,0.0
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.034102286698664566
Mendeleev Number_mean,0.0052127546344287535
Mendeleev Number_mad,0.0010681068500985743
Number d-shell Unfilled Electrons_mean,2.167764613745275e-05
Number d-shell Unfilled Electrons_mad,0.008549178803985607
Number d-shell Valance Electrons_mean,0.03593852031048773
Number d-shell Valance Electrons_mad,0.0029028262128252802
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0007437856468623139
Number f-shell Valance Electrons_mad,1.4036994076631645e-05
Number p-shell Unfilled Electrons_mean,0.015282013828678989
Number p-shell Unfilled Electrons_mad,0.004924326860767524
Number p-shell Valance Electrons_mean,0.0012275635235738734
Number p-shell Valance Electrons_mad,0.004693133238260631
Number s-shell Unfilled Electrons_mean,8.980836845615459e-05
Number s-shell Unfilled Electrons_mad,5.493389733298825e-06
Number s-shell Valance Electrons_mean,8.342345224300256e-05
Number s-shell Valance Electrons_mad,0.00038006815175899486
Number Unfilled Electrons_mean,0.004039855429157184
Number Unfilled Electrons_mad,0.001162267406464316
Number Valence Electrons_mean,0.024954694000118408
Number Valence Electrons_mad,0.08404464881453341
Polarizability_wtavg,0.004612907442960559
Periodic Table Row_mean,0.005588955954346617
Periodic Table Row_mad,0.00021501260845171877
Zunger Pseudopotential (d)_mean,0.00799967934496875
Zunger Pseudopotential (d)_mad,0.0138462783328459
Zunger Pseudopotential (p)_mean,0.00436919451648992
Zunger Pseudopotential (p)_mad,0.0015132052043018895
Zunger Pseudopotential (pi)_mean,0.012606359618394099
Zunger Pseudopotential (pi)_mad,0.023850187608657637
Zunger Pseudopotential (s)_mean,0.007978141182202926
Zunger Pseudopotential (s)_mad,0.0027576770729000645
Zunger Pseudopotential (sigma)_mean,0.004745724152092107
Zunger Pseudopotential (sigma)_mad,0.0014587191552995827
phi_mean,0.017124986870809402
phi_mad,0.009927632821273059
Conductivity_wtavg,0.029440064412794353
