,Feature Importance
Mg Loading,0.00032902709655873574
K Loading,0.0
Ca Loading,0.0
Sc Loading,0.0013561405007084552
Cr Loading,0.0016718872758557527
Mn Loading,0.0006578389770107545
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0004011829715424134
Cu Loading,0.006016571606347759
Zn Loading,0.000460763011371725
Sr Loading,0.0
Y Loading,0.000682386190637703
Mo Loading,0.024598912443699147
Ru Loading,0.007367289755484584
Rh Loading,0.0030619906022005174
Pd Loading,0.0
In Loading,0.026469740298986157
Hf Loading,0.0
W Loading,0.0007851010208555354
Re Loading,0.000104371234410931
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.0013107328166540937
temperature,0.5696019810368209
space_velocity,0.022399394401559806
ammonia_concentration,0.01587554447663516
n_Cl_atoms,0.009333521379706505
n_elements,0.0
Atomic Number_mean,0.003436747634808115
Atomic Number_mad,0.0008313052124661087
Atomic Volume_wtavg,0.008979153457618638
Atomic Weight_wtavg,0.008719921677935975
Boiling Temperature_wtavg,0.008365703124114575
Periodic Table Column_mean,0.016403853471197622
Periodic Table Column_mad,0.005479531434942227
Covalent Radius_wtavg,0.004673114773926048
Density_wtavg,0.008212156642499122
Dipole Polarizability_wtavg,0.006320844115207616
Electron Affinity_wtavg,0.008876132848038506
Electronegativity_wtavg,0.00668092120284274
Fusion Enthalpy_wtavg,0.00608827783420527
GS Bandgap_wtavg,0.0
GS Energy_wtavg,0.008442630096321603
Heat Capacity (Mass)_wtavg,0.014243401564909606
Heat Capacity (Molar)_wtavg,0.005092000496766843
Heat Fusion_wtavg,0.011156339921244238
First Ionization Energy_wtavg,0.005486236501260781
Second Ionization Energy_wtavg,0.013174226494734091
Third Ionization Energy_wtavg,0.003936329422750901
Fourth Ionization Energy_wtavg,0.0027446277933760904
Fifth Ionization Energy_wtavg,0.004789196739340231
Sixth Ionization Energy_wtavg,0.0020635800764846023
Seventh Ionization Energy_wtavg,0.003684473389121447
Eighth Ionization Energy_wtavg,0.004701179087593682
IsAlkali_mean,0.0001107008320222278
IsAlkali_mad,0.0
IsDBlock_mean,0.0
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.02658014634889506
Mendeleev Number_mean,0.006215923716047654
Mendeleev Number_mad,0.003546450450564336
Number d-shell Unfilled Electrons_mean,0.00014548624786871433
Number d-shell Unfilled Electrons_mad,0.005813061036808423
Number d-shell Valance Electrons_mean,0.028431119550920637
Number d-shell Valance Electrons_mad,0.00040307391032794496
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0
Number f-shell Valance Electrons_mad,0.00028676399722891765
Number p-shell Unfilled Electrons_mean,0.005806084618005164
Number p-shell Unfilled Electrons_mad,0.003992054890253866
Number p-shell Valance Electrons_mean,0.0019595582839348666
Number p-shell Valance Electrons_mad,0.0
Number s-shell Unfilled Electrons_mean,0.0017218060927122413
Number s-shell Unfilled Electrons_mad,0.00019857404063676324
Number s-shell Valance Electrons_mean,0.00039354684503345975
Number s-shell Valance Electrons_mad,0.0
Number Unfilled Electrons_mean,0.003504961602367357
Number Unfilled Electrons_mad,0.0003753184181086191
Number Valence Electrons_mean,0.004070485705945534
Number Valence Electrons_mad,0.0006932918646075349
Polarizability_wtavg,0.004049000015320512
Periodic Table Row_mean,0.0
Periodic Table Row_mad,0.0004234339467658469
Zunger Pseudopotential (d)_mean,0.0024857143829031163
Zunger Pseudopotential (d)_mad,0.001613278580119942
Zunger Pseudopotential (p)_mean,0.00695839075222656
Zunger Pseudopotential (p)_mad,0.0003439359942526211
Zunger Pseudopotential (pi)_mean,0.004783653990117575
Zunger Pseudopotential (pi)_mad,0.003575758196221706
Zunger Pseudopotential (s)_mean,0.001282333700535945
Zunger Pseudopotential (s)_mad,0.001089995667595667
Zunger Pseudopotential (sigma)_mean,0.0006694188706221001
Zunger Pseudopotential (sigma)_mad,0.0011239209220977266
phi_mean,0.003660475166717934
phi_mad,0.0013241528625345248
Conductivity_wtavg,0.007301866388925563
