,Feature Importance
Mg Loading,0.0024341432784520138
K Loading,0.0
Ca Loading,3.529070268269517e-05
Sc Loading,0.0037192609543438377
Cr Loading,0.0
Mn Loading,0.007229148450888928
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0014586509283655502
Cu Loading,0.004928259887049588
Zn Loading,0.0
Sr Loading,0.0
Y Loading,0.0006076581455461328
Mo Loading,0.16328549795932187
Ru Loading,0.0003722986133068418
Rh Loading,0.0
Pd Loading,0.00014927271111134834
In Loading,0.06071711360140894
Hf Loading,0.0
W Loading,0.01598028099861259
Re Loading,0.0021529242625306657
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.0
temperature,0.0
space_velocity,0.08934912879645392
ammonia_concentration,0.028628109532486453
n_Cl_atoms,0.0014939474858280317
n_elements,0.0
Atomic Number_mean,0.012710608969732966
Atomic Number_mad,0.010278875781750867
Atomic Volume_wtavg,0.003222849079464783
Atomic Weight_wtavg,0.0024333889110302693
Boiling Temperature_wtavg,0.002447201407852637
Periodic Table Column_mean,0.011220230660015764
Periodic Table Column_mad,0.006733227281316353
Covalent Radius_wtavg,0.0031672092835815045
Density_wtavg,0.004113474853667873
Dipole Polarizability_wtavg,0.006282540492843961
Electron Affinity_wtavg,0.049812456157331104
Electronegativity_wtavg,0.009751152196414065
Fusion Enthalpy_wtavg,0.040942763483486945
GS Bandgap_wtavg,0.0
GS Energy_wtavg,0.035026782064463274
Heat Capacity (Mass)_wtavg,0.017679748188472028
Heat Capacity (Molar)_wtavg,0.01435521135459672
Heat Fusion_wtavg,0.031766427744543996
First Ionization Energy_wtavg,0.0015350209932617235
Second Ionization Energy_wtavg,0.029344514255211087
Third Ionization Energy_wtavg,0.004590640617960507
Fourth Ionization Energy_wtavg,0.009464962223553109
Fifth Ionization Energy_wtavg,0.006692858025624677
Sixth Ionization Energy_wtavg,0.001612802689431012
Seventh Ionization Energy_wtavg,0.0021354128769214007
Eighth Ionization Energy_wtavg,0.0008889666553771567
IsAlkali_mean,0.0
IsAlkali_mad,0.0
IsDBlock_mean,0.0
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.04134753754703425
Mendeleev Number_mean,0.003610921393495673
Mendeleev Number_mad,0.002472868400955925
Number d-shell Unfilled Electrons_mean,0.00033992717161078235
Number d-shell Unfilled Electrons_mad,0.0010048491495070555
Number d-shell Valance Electrons_mean,0.0
Number d-shell Valance Electrons_mad,0.012536230353553491
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0
Number f-shell Valance Electrons_mad,0.0009816183993766488
Number p-shell Unfilled Electrons_mean,0.03663071084621752
Number p-shell Unfilled Electrons_mad,0.05374608216546053
Number p-shell Valance Electrons_mean,0.0058339258391223
Number p-shell Valance Electrons_mad,0.0
Number s-shell Unfilled Electrons_mean,0.0025474849008303877
Number s-shell Unfilled Electrons_mad,0.0
Number s-shell Valance Electrons_mean,0.0002876103640703246
Number s-shell Valance Electrons_mad,0.0007114205574825158
Number Unfilled Electrons_mean,0.0016133740535891586
Number Unfilled Electrons_mad,0.004075600607204276
Number Valence Electrons_mean,0.0142862856118948
Number Valence Electrons_mad,0.006919041626385047
Polarizability_wtavg,0.0017672655585017516
Periodic Table Row_mean,0.0007277673521313674
Periodic Table Row_mad,6.95842044136442e-05
Zunger Pseudopotential (d)_mean,0.0018006792871879949
Zunger Pseudopotential (d)_mad,0.001877264345737153
Zunger Pseudopotential (p)_mean,0.002741051355364415
Zunger Pseudopotential (p)_mad,0.0
Zunger Pseudopotential (pi)_mean,0.00401267566391237
Zunger Pseudopotential (pi)_mad,0.0019849397725896856
Zunger Pseudopotential (s)_mean,0.0007536831257640059
Zunger Pseudopotential (s)_mad,0.0007564020251933163
Zunger Pseudopotential (sigma)_mean,9.527066658655994e-05
Zunger Pseudopotential (sigma)_mad,0.0014850639996831895
phi_mean,0.00023468141519748095
phi_mad,0.06629089951898194
Conductivity_wtavg,0.025706970164669326
