,Feature Importance
Mg Loading,0.0006094488416347998
K Loading,0.0
Ca Loading,0.0003203533699579235
Sc Loading,0.0009913485330533415
Cr Loading,0.0
Mn Loading,0.00018143681286401928
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0005137167976236409
Cu Loading,0.0020848448763789574
Zn Loading,0.0
Sr Loading,0.0
Y Loading,0.0
Mo Loading,0.025721432558876794
Ru Loading,0.007266868048867629
Rh Loading,0.0012470386896128933
Pd Loading,0.0
In Loading,0.02748863226590897
Hf Loading,0.0
W Loading,0.001715815366832536
Re Loading,0.00028269765874530206
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.0007732383468170405
temperature,0.5714273591120894
space_velocity,0.01788899620313793
ammonia_concentration,0.018128175602348938
n_Cl_atoms,0.005676530283589692
n_elements,0.0
Atomic Number_mean,0.003098356492057855
Atomic Number_mad,0.0019457119963323798
Atomic Volume_wtavg,0.007979998946293322
Atomic Weight_wtavg,0.008873169964550816
Boiling Temperature_wtavg,0.004553510646287165
Periodic Table Column_mean,0.011407101980619769
Periodic Table Column_mad,0.007447561094005433
Covalent Radius_wtavg,0.004601448990151245
Density_wtavg,0.004610982403773272
Dipole Polarizability_wtavg,0.005358642786370181
Electron Affinity_wtavg,0.018219787403526377
Electronegativity_wtavg,0.006878238565684164
Fusion Enthalpy_wtavg,0.01078120159516388
GS Bandgap_wtavg,0.0
GS Energy_wtavg,0.007929020232070056
Heat Capacity (Mass)_wtavg,0.012518130468367845
Heat Capacity (Molar)_wtavg,0.006772181117074867
Heat Fusion_wtavg,0.012112358078315386
First Ionization Energy_wtavg,0.006143353042843555
Second Ionization Energy_wtavg,0.019565149969615024
Third Ionization Energy_wtavg,0.00651972708528974
Fourth Ionization Energy_wtavg,0.0033923996299965787
Fifth Ionization Energy_wtavg,0.002854086454972631
Sixth Ionization Energy_wtavg,0.0018933543519398484
Seventh Ionization Energy_wtavg,0.007556372533378724
Eighth Ionization Energy_wtavg,0.007254565296064922
IsAlkali_mean,0.0
IsAlkali_mad,0.0
IsDBlock_mean,0.0
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.014575249773318234
Mendeleev Number_mean,0.005198823596559641
Mendeleev Number_mad,0.0010083901457001144
Number d-shell Unfilled Electrons_mean,0.00022619053292305665
Number d-shell Unfilled Electrons_mad,0.003973861342287315
Number d-shell Valance Electrons_mean,0.022373278050173497
Number d-shell Valance Electrons_mad,0.00040030973781721103
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0
Number f-shell Valance Electrons_mad,0.0001497548312337924
Number p-shell Unfilled Electrons_mean,0.0
Number p-shell Unfilled Electrons_mad,0.009316627317830097
Number p-shell Valance Electrons_mean,0.0010621297882668107
Number p-shell Valance Electrons_mad,0.0017686480404580658
Number s-shell Unfilled Electrons_mean,7.43636580834859e-05
Number s-shell Unfilled Electrons_mad,0.0
Number s-shell Valance Electrons_mean,0.0001976143811340442
Number s-shell Valance Electrons_mad,0.0011459406247708664
Number Unfilled Electrons_mean,0.000957173641107437
Number Unfilled Electrons_mad,0.0001771817413801993
Number Valence Electrons_mean,0.00156839361380967
Number Valence Electrons_mad,0.0006049676430945865
Polarizability_wtavg,0.003332848667774504
Periodic Table Row_mean,0.00010705702962994862
Periodic Table Row_mad,0.0003611587835357689
Zunger Pseudopotential (d)_mean,0.005143881621859929
Zunger Pseudopotential (d)_mad,0.0025883351297251228
Zunger Pseudopotential (p)_mean,0.0005010480198089491
Zunger Pseudopotential (p)_mad,0.004367712524052906
Zunger Pseudopotential (pi)_mean,0.010886998727199344
Zunger Pseudopotential (pi)_mad,0.0022222878758018367
Zunger Pseudopotential (s)_mean,0.0015372312829747754
Zunger Pseudopotential (s)_mad,0.00023298440349707981
Zunger Pseudopotential (sigma)_mean,0.0033658019115118403
Zunger Pseudopotential (sigma)_mad,0.0007933318378798279
phi_mean,0.01605023473162732
phi_mad,0.003106404127716813
Conductivity_wtavg,0.008039440372371018
