,Feature Importance
Mg Loading,7.440054582544222e-05
K Loading,0.0
Ca Loading,0.0006138225235072232
Sc Loading,0.001818088249638928
Cr Loading,0.00010267009643284496
Mn Loading,0.0008042953392031838
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0
Cu Loading,0.001995694997259871
Zn Loading,8.054617526870603e-05
Sr Loading,0.00035201662668781777
Y Loading,0.00036176890311227105
Mo Loading,0.028061627714869843
Ru Loading,0.005283538592097023
Rh Loading,0.003850427024941279
Pd Loading,0.0
In Loading,0.02932581169432589
Hf Loading,0.0
W Loading,0.00021439986921738236
Re Loading,0.0
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,7.415641197694887e-05
temperature,0.6296386517391366
space_velocity,0.01865143362399457
ammonia_concentration,0.01501211050024096
n_Cl_atoms,0.0008357646059663752
n_elements,0.0
Atomic Number_mean,0.005003479743565079
Atomic Number_mad,0.002536459389343085
Atomic Volume_wtavg,0.008089480313131009
Atomic Weight_wtavg,0.008850328873978765
Boiling Temperature_wtavg,0.008805759670760147
Periodic Table Column_mean,0.013187907884361236
Periodic Table Column_mad,0.0005218311395363829
Covalent Radius_wtavg,0.002435889103381398
Density_wtavg,0.004457583755631181
Dipole Polarizability_wtavg,0.0037918877809076435
Electron Affinity_wtavg,0.012478949512388749
Electronegativity_wtavg,0.006290672104883791
Fusion Enthalpy_wtavg,0.003421396463490963
GS Bandgap_wtavg,0.0
GS Energy_wtavg,0.012007324543283557
Heat Capacity (Mass)_wtavg,0.01354577207112762
Heat Capacity (Molar)_wtavg,0.0035894533353977263
Heat Fusion_wtavg,0.005599753640647478
First Ionization Energy_wtavg,0.005363445010806953
Second Ionization Energy_wtavg,0.004407552744175605
Third Ionization Energy_wtavg,0.006141728096237042
Fourth Ionization Energy_wtavg,0.004564360944500696
Fifth Ionization Energy_wtavg,0.0037657810980720676
Sixth Ionization Energy_wtavg,0.0030780531754796697
Seventh Ionization Energy_wtavg,0.001828903304124309
Eighth Ionization Energy_wtavg,0.0014831931807637617
IsAlkali_mean,0.0
IsAlkali_mad,0.0
IsDBlock_mean,0.0002619374561066942
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.007785356571611739
Mendeleev Number_mean,0.001135938572752382
Mendeleev Number_mad,0.0036972865993393166
Number d-shell Unfilled Electrons_mean,0.002667034498101404
Number d-shell Unfilled Electrons_mad,0.0038119327190744407
Number d-shell Valance Electrons_mean,0.02057614500305673
Number d-shell Valance Electrons_mad,0.0008353548733809988
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,7.136184661990788e-05
Number f-shell Valance Electrons_mad,0.000450947969238622
Number p-shell Unfilled Electrons_mean,0.00016239025188242675
Number p-shell Unfilled Electrons_mad,0.008142554652222782
Number p-shell Valance Electrons_mean,0.004374624713781691
Number p-shell Valance Electrons_mad,0.0007723752300685333
Number s-shell Unfilled Electrons_mean,6.178593791046767e-05
Number s-shell Unfilled Electrons_mad,5.8312745892036605e-05
Number s-shell Valance Electrons_mean,0.0002959208221573924
Number s-shell Valance Electrons_mad,0.00022945978577622932
Number Unfilled Electrons_mean,0.0003604572739766992
Number Unfilled Electrons_mad,0.0010429857598236658
Number Valence Electrons_mean,0.0019980089218512485
Number Valence Electrons_mad,0.0017443664272908345
Polarizability_wtavg,0.003838095293905689
Periodic Table Row_mean,0.0002659837953063338
Periodic Table Row_mad,0.00015540593540145847
Zunger Pseudopotential (d)_mean,0.0014251242571924052
Zunger Pseudopotential (d)_mad,0.004993953508983535
Zunger Pseudopotential (p)_mean,0.0009205113162067977
Zunger Pseudopotential (p)_mad,0.001442768376622486
Zunger Pseudopotential (pi)_mean,0.002176104203369423
Zunger Pseudopotential (pi)_mad,0.001165015366276355
Zunger Pseudopotential (s)_mean,0.0007519187616704629
Zunger Pseudopotential (s)_mad,0.0012865790133180777
Zunger Pseudopotential (sigma)_mean,0.002943104171649939
Zunger Pseudopotential (sigma)_mad,0.001909821639668667
phi_mean,0.0200782845560031
phi_mad,0.0036713222181938023
Conductivity_wtavg,0.010041296840635953
