,Predicted Conversion,Measured Conversion,ID,Name,temperature
65_350_0,0.8762352832600001,0.994041235,65,Ru(2)Rh(2)K(12),350.0
65_300_0,0.27073188766000006,0.813473852,65,Ru(2)Rh(2)K(12),300.0
73_400_0,0.9776139788799999,1.0,73,Ru(3)Sr(1)K(12),400.0
74_400_0,0.9518756533199999,1.0,74,Ru(2)Sr(2)K(12),400.0
76_450_0,0.84845727418,0.866817935,76,Ru(3)Bi(1)K(12),450.0
76_400_0,0.81766723228,0.541676574,76,Ru(3)Bi(1)K(12),400.0
75_400_0,0.9317883076600001,0.9927286740000001,75,Ru(1)Sr(3)K(12),400.0
65_250_0,0.20427561354000004,0.433214504,65,Ru(2)Rh(2)K(12),250.0
73_250_0,0.3309290723,0.47100722,73,Ru(3)Sr(1)K(12),250.0
77_300_0,0.25036992888,0.049364637999999995,77,Ru(2)Bi(2)K(12),300.0
83_300_0,0.23619214330000002,0.297161443,83,Ru(2)Pd(2)K(12),300.0
76_350_0,0.66327783866,0.343124256,76,Ru(3)Bi(1)K(12),350.0
74_450_0,0.9674397202399999,1.0,74,Ru(2)Sr(2)K(12),450.0
75_300_0,0.42510047368000003,0.70658984,75,Ru(1)Sr(3)K(12),300.0
69_300_0,0.2423947801200001,0.054859118,69,Ru(1)Zn(3)K(12),300.0
83_350_0,0.5256299570399999,0.939012345,83,Ru(2)Pd(2)K(12),350.0
76_250_0,0.24421619750000004,0.175224149,76,Ru(3)Bi(1)K(12),250.0
67_250_0,0.24092670138,0.139892903,67,Ru(3)Zn(1)K(12),250.0
77_400_0,0.8412995256599999,0.632478765,77,Ru(2)Bi(2)K(12),400.0
66_300_0,0.21225577078000005,0.58634798,66,Ru(1)Rh(3)K(12),300.0
67_350_0,0.5589356271799999,0.819644967,67,Ru(3)Zn(1)K(12),350.0
67_300_0,0.333853051,0.512376181,67,Ru(3)Zn(1)K(12),300.0
83_250_0,0.1551356812,0.100944286,83,Ru(2)Pd(2)K(12),250.0
67_400_0,0.6761789519600001,0.991556071,67,Ru(3)Zn(1)K(12),400.0
74_350_0,0.8716676560400001,1.0,74,Ru(2)Sr(2)K(12),350.0
76_300_0,0.31623102880000004,0.251493649,76,Ru(3)Bi(1)K(12),300.0
66_450_0,0.8927359562200001,1.0,66,Ru(1)Rh(3)K(12),450.0
67_450_0,0.8584403940000002,0.987485635,67,Ru(3)Zn(1)K(12),450.0
66_250_0,0.15051622425999997,0.20377695,66,Ru(1)Rh(3)K(12),250.0
83_450_0,0.8707556456799999,0.9964003359999999,83,Ru(2)Pd(2)K(12),450.0
82_300_0,0.2714175417,0.391527275,82,Ru(3)Pd(1)K(12),300.0
75_350_0,0.74916290128,0.9530922409999999,75,Ru(1)Sr(3)K(12),350.0
69_350_0,0.5142783466599999,0.498945452,69,Ru(1)Zn(3)K(12),350.0
82_250_0,0.18067680456,0.161979452,82,Ru(3)Pd(1)K(12),250.0
82_350_0,0.60406799828,0.980309152,82,Ru(3)Pd(1)K(12),350.0
75_250_0,0.25451977622000005,0.049501215999999994,75,Ru(1)Sr(3)K(12),250.0
65_400_0,0.9513380958600002,0.990959522,65,Ru(2)Rh(2)K(12),400.0
73_450_0,0.9944821858799999,0.9942532590000001,73,Ru(3)Sr(1)K(12),450.0
82_400_0,0.7954643628200002,0.980123112,82,Ru(3)Pd(1)K(12),400.0
66_350_0,0.6966643570800001,1.0,66,Ru(1)Rh(3)K(12),350.0
69_400_0,0.6670499696400001,0.9883804979999999,69,Ru(1)Zn(3)K(12),400.0
73_300_0,0.58225381392,0.842363016,73,Ru(3)Sr(1)K(12),300.0
69_250_0,0.2016283973,0.08462298,69,Ru(1)Zn(3)K(12),250.0
77_250_0,0.2079910557,0.168674503,77,Ru(2)Bi(2)K(12),250.0
77_350_0,0.70408714806,0.360221291,77,Ru(2)Bi(2)K(12),350.0
65_450_0,0.9498314117000003,0.984546653,65,Ru(2)Rh(2)K(12),450.0
77_450_0,0.8623210470199999,0.90690684,77,Ru(2)Bi(2)K(12),450.0
82_450_0,0.9215054264800001,0.950797146,82,Ru(3)Pd(1)K(12),450.0
74_250_0,0.24339291984000003,0.37922638,74,Ru(2)Sr(2)K(12),250.0
75_450_0,0.9517458594800001,1.0,75,Ru(1)Sr(3)K(12),450.0
66_400_0,0.8243939721400001,1.0,66,Ru(1)Rh(3)K(12),400.0
73_350_0,0.9599146045000002,0.997048127,73,Ru(3)Sr(1)K(12),350.0
74_300_0,0.53953933634,0.688602092,74,Ru(2)Sr(2)K(12),300.0
83_400_0,0.65864622264,0.984889555,83,Ru(2)Pd(2)K(12),400.0
69_450_0,0.80022895218,1.0,69,Ru(1)Zn(3)K(12),450.0
