,Feature Importance
Mg Loading,0.1233378448947372
K Loading,0.0
Ca Loading,0.033827366971115935
Sc Loading,0.02005145717514715
Cr Loading,0.0013978305500471494
Mn Loading,0.00015350233503184344
Ni Loading,0.0009877851404997901
Cu Loading,0.002068105181613644
Y Loading,0.0005152439641923005
Ru Loading,0.0824388792121097
Rh Loading,0.0
In Loading,0.0002669351440300267
Hf Loading,0.0009400319519866887
W Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
- Loading,0.0
-- Loading,0.0
reactor_number,0.008735452389935432
temperature,0.0
space_velocity,0.02558823598929424
ammonia_concentration,0.01486259737529176
n_elements,0.0
Atomic Number_0,0.0
Atomic Number_1,0.0034893411179080713
Atomic Number_2,0.0
AtomicVolume_0,0.0
AtomicVolume_1,0.00022054983898367946
AtomicVolume_2,0.0
AtomicWeight_0,0.0
AtomicWeight_1,0.0028704564225051706
AtomicWeight_2,0.0
BoilingT_0,0.0
BoilingT_1,0.0005615789881894832
BoilingT_2,0.0
Column_0,0.0
Column_1,0.08661507769521716
Column_2,0.0
CovalentRadius_0,0.0
CovalentRadius_1,0.00018533450270215537
CovalentRadius_2,0.0
Density_0,0.0
Density_1,0.0008652375475809845
Density_2,0.0
DipolePolarizability_0,0.0
DipolePolarizability_1,0.0003834304652055336
DipolePolarizability_2,0.0
ElectronAffinity_0,0.0
ElectronAffinity_1,0.0007593194974504041
ElectronAffinity_2,0.0
Electronegativity_0,0.0
Electronegativity_1,0.1333224419842625
Electronegativity_2,0.0
FusionEnthalpy_0,0.0
FusionEnthalpy_1,0.0010573085764162967
FusionEnthalpy_2,0.0
GSbandgap_0,0.0
GSbandgap_1,0.0
GSbandgap_2,0.0
GSenergy_pa_0,0.0
GSenergy_pa_1,0.003918856461487503
GSenergy_pa_2,0.0
HeatCapacityMass_0,0.0
HeatCapacityMass_1,0.002865135548325638
HeatCapacityMass_2,0.0
HeatCapacityMolar_0,0.0
HeatCapacityMolar_1,0.0019280807264341119
HeatCapacityMolar_2,0.0
HeatFusion_0,0.0
HeatFusion_1,0.0012441246774303099
HeatFusion_2,0.0
IonizationEnergies_1_0,0.0
IonizationEnergies_1_1,0.0005531235850908651
IonizationEnergies_1_2,0.0
IonizationEnergies_2_0,0.0
IonizationEnergies_2_1,0.08764241399090551
IonizationEnergies_2_2,0.0
IonizationEnergies_3_0,0.0
IonizationEnergies_3_1,0.0014602207202930287
IonizationEnergies_3_2,0.0
IonizationEnergies_4_0,0.0
IonizationEnergies_4_1,0.0020256613270000306
IonizationEnergies_4_2,0.0
IonizationEnergies_5_0,0.0
IonizationEnergies_5_1,0.0046009356895972044
IonizationEnergies_5_2,0.0
IonizationEnergies_6_0,0.0
IonizationEnergies_6_1,0.002087290014822639
IonizationEnergies_6_2,0.0
IonizationEnergies_7_0,0.0
IonizationEnergies_7_1,0.00107776912994844
IonizationEnergies_7_2,0.0
IonizationEnergies_8_0,0.0
IonizationEnergies_8_1,0.002232723355450618
IonizationEnergies_8_2,0.0
IsAlkali_0,0.0
IsAlkali_1,0.00013455205390429487
IsAlkali_2,0.0
IsDBlock_0,0.0
IsDBlock_1,7.931286281656229e-05
IsDBlock_2,0.0
IsFBlock_0,0.0
IsFBlock_1,0.0
IsFBlock_2,0.0
IsMetal_0,0.0
IsMetal_1,0.0
IsMetal_2,0.0
IsMetalloid_0,0.0
IsMetalloid_1,0.0
IsMetalloid_2,0.0
IsNonmetal_0,0.0
IsNonmetal_1,0.0
IsNonmetal_2,0.0
MeltingT_0,0.0
MeltingT_1,0.0033256936178781447
MeltingT_2,0.0
MendeleevNumber_0,0.0
MendeleevNumber_1,0.0035653488279802237
MendeleevNumber_2,0.0
NdUnfilled_0,0.0
NdUnfilled_1,0.012616067527664851
NdUnfilled_2,0.0
NdValence_0,0.0
NdValence_1,0.124824614204203
NdValence_2,0.0
NfUnfilled_0,0.0
NfUnfilled_1,0.0
NfUnfilled_2,0.0
NfValence_0,0.0
NfValence_1,3.4597283925219664e-06
NfValence_2,0.0
NpUnfilled_0,0.0
NpUnfilled_1,0.0
NpUnfilled_2,0.0
NpValence_0,0.0
NpValence_1,6.970392642285537e-05
NpValence_2,0.0
NsUnfilled_0,0.0
NsUnfilled_1,0.0014998769936993316
NsUnfilled_2,0.0
NsValence_0,0.0
NsValence_1,1.2706951784667776e-05
NsValence_2,0.0
Number_0,0.0
Number_1,0.0014781725563218836
Number_2,0.0
NUnfilled_0,0.0
NUnfilled_1,0.001903959392053068
NUnfilled_2,0.0
NValence_0,0.0
NValence_1,0.00072900285475549
NValence_2,0.0
Polarizability_0,0.0
Polarizability_1,0.0007129414060474011
Polarizability_2,0.0
Row_0,0.0
Row_1,0.0014134413710540875
Row_2,0.0
ZungerPP-r_d_0,0.0
ZungerPP-r_d_1,0.003793686608799313
ZungerPP-r_d_2,0.0
ZungerPP-r_p_0,0.0
ZungerPP-r_p_1,0.000653429801886626
ZungerPP-r_p_2,0.0
ZungerPP-r_pi_0,0.0
ZungerPP-r_pi_1,0.0032821157958416846
ZungerPP-r_pi_2,0.0
ZungerPP-r_s_0,0.0
ZungerPP-r_s_1,0.004573883918749678
ZungerPP-r_s_2,0.0
ZungerPP-r_sigma_0,0.0
ZungerPP-r_sigma_1,0.00044597467778540974
ZungerPP-r_sigma_2,0.0
phi_0,0.0
phi_1,0.1759300538680227
phi_2,0.0
Conductivity_0,0.0
Conductivity_1,0.0018143209156960916
Conductivity_2,0.0
