,Feature Importance
Mg Loading,0.017877421706048675
K Loading,0.0
Ca Loading,0.005364157672966051
Sc Loading,0.002162118334519887
Cr Loading,0.002890970961078166
Mn Loading,0.0007885093621570235
Ni Loading,0.0033949529719919315
Cu Loading,0.0008810019123753942
Y Loading,0.000147307790504389
Ru Loading,0.05365490096323516
Rh Loading,0.0
In Loading,0.007110094999262451
Hf Loading,0.00011550174437491352
W Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
- Loading,0.0
-- Loading,0.0
reactor_number,0.009649099689701323
temperature,0.5663707542792724
space_velocity,0.013916926824722741
ammonia_concentration,0.026509844485115085
n_elements,0.0
Atomic Number_0,0.0
Atomic Number_1,0.0005070894990940832
Atomic Number_2,0.0
AtomicVolume_0,0.0
AtomicVolume_1,0.003259829106235548
AtomicVolume_2,0.0
AtomicWeight_0,0.0
AtomicWeight_1,0.0004902595955278512
AtomicWeight_2,0.0
BoilingT_0,0.0
BoilingT_1,0.0011296603684490384
BoilingT_2,0.0
Column_0,0.0
Column_1,0.053105705010629604
Column_2,0.0
CovalentRadius_0,0.0
CovalentRadius_1,0.003955649358118961
CovalentRadius_2,0.0
Density_0,0.0
Density_1,0.00038337616874161367
Density_2,0.0
DipolePolarizability_0,0.0
DipolePolarizability_1,0.0008026972160909159
DipolePolarizability_2,0.0
ElectronAffinity_0,0.0
ElectronAffinity_1,0.0005458620879834602
ElectronAffinity_2,0.0
Electronegativity_0,0.0
Electronegativity_1,0.025409656096473734
Electronegativity_2,0.0
FusionEnthalpy_0,0.0
FusionEnthalpy_1,0.000508022628454746
FusionEnthalpy_2,0.0
GSbandgap_0,0.0
GSbandgap_1,0.0
GSbandgap_2,0.0
GSenergy_pa_0,0.0
GSenergy_pa_1,0.0005170970076945766
GSenergy_pa_2,0.0
HeatCapacityMass_0,0.0
HeatCapacityMass_1,0.0008421256776132101
HeatCapacityMass_2,0.0
HeatCapacityMolar_0,0.0
HeatCapacityMolar_1,0.00018082640878488277
HeatCapacityMolar_2,0.0
HeatFusion_0,0.0
HeatFusion_1,0.00040562804788173417
HeatFusion_2,0.0
IonizationEnergies_1_0,0.0
IonizationEnergies_1_1,0.0006187738552392119
IonizationEnergies_1_2,0.0
IonizationEnergies_2_0,0.0
IonizationEnergies_2_1,0.071577252126588
IonizationEnergies_2_2,0.0
IonizationEnergies_3_0,0.0
IonizationEnergies_3_1,0.007647805767683504
IonizationEnergies_3_2,0.0
IonizationEnergies_4_0,0.0
IonizationEnergies_4_1,0.0027923172839830978
IonizationEnergies_4_2,0.0
IonizationEnergies_5_0,0.0
IonizationEnergies_5_1,0.0007878739170708631
IonizationEnergies_5_2,0.0
IonizationEnergies_6_0,0.0
IonizationEnergies_6_1,0.0009124151973579454
IonizationEnergies_6_2,0.0
IonizationEnergies_7_0,0.0
IonizationEnergies_7_1,0.001324120341866016
IonizationEnergies_7_2,0.0
IonizationEnergies_8_0,0.0
IonizationEnergies_8_1,0.0012122814388190782
IonizationEnergies_8_2,0.0
IsAlkali_0,0.0
IsAlkali_1,0.00016557694600082085
IsAlkali_2,0.0
IsDBlock_0,0.0
IsDBlock_1,0.0003564300718253595
IsDBlock_2,0.0
IsFBlock_0,0.0
IsFBlock_1,0.0
IsFBlock_2,0.0
IsMetal_0,0.0
IsMetal_1,0.0
IsMetal_2,0.0
IsMetalloid_0,0.0
IsMetalloid_1,0.0
IsMetalloid_2,0.0
IsNonmetal_0,0.0
IsNonmetal_1,0.0
IsNonmetal_2,0.0
MeltingT_0,0.0
MeltingT_1,0.0009470213879930388
MeltingT_2,0.0
MendeleevNumber_0,0.0
MendeleevNumber_1,0.0014905846734328643
MendeleevNumber_2,0.0
NdUnfilled_0,0.0
NdUnfilled_1,0.003519525293302677
NdUnfilled_2,0.0
NdValence_0,0.0
NdValence_1,0.07697985610376164
NdValence_2,0.0
NfUnfilled_0,0.0
NfUnfilled_1,0.0
NfUnfilled_2,0.0
NfValence_0,0.0
NfValence_1,9.392298012214906e-06
NfValence_2,0.0
NpUnfilled_0,0.0
NpUnfilled_1,0.00024174727517141493
NpUnfilled_2,0.0
NpValence_0,0.0
NpValence_1,0.00010372443897898856
NpValence_2,0.0
NsUnfilled_0,0.0
NsUnfilled_1,9.530725277126102e-05
NsUnfilled_2,0.0
NsValence_0,0.0
NsValence_1,0.0002750972616126092
NsValence_2,0.0
Number_0,0.0
Number_1,0.0014143375374186102
Number_2,0.0
NUnfilled_0,0.0
NUnfilled_1,0.0030416342964042437
NUnfilled_2,0.0
NValence_0,0.0
NValence_1,0.0003367001200110661
NValence_2,0.0
Polarizability_0,0.0
Polarizability_1,0.0006993523789582946
Polarizability_2,0.0
Row_0,0.0
Row_1,0.00010818572304279546
Row_2,0.0
ZungerPP-r_d_0,0.0
ZungerPP-r_d_1,0.0011906528258623778
ZungerPP-r_d_2,0.0
ZungerPP-r_p_0,0.0
ZungerPP-r_p_1,0.0028555003148890462
ZungerPP-r_p_2,0.0
ZungerPP-r_pi_0,0.0
ZungerPP-r_pi_1,0.0004587291577741028
ZungerPP-r_pi_2,0.0
ZungerPP-r_s_0,0.0
ZungerPP-r_s_1,0.000244353415323559
ZungerPP-r_s_2,0.0
ZungerPP-r_sigma_0,0.0
ZungerPP-r_sigma_1,0.0004582648547325498
ZungerPP-r_sigma_2,0.0
phi_0,0.0
phi_1,0.014522687912058749
phi_2,0.0
Conductivity_0,0.0
Conductivity_1,0.0007354505569543978
Conductivity_2,0.0
