,Feature Importance
Mg Loading,3.0979113957749e-05
K Loading,0.0
Ca Loading,4.870662488139454e-06
Sc Loading,1.519580403392466e-05
Cr Loading,1.5004165175975867e-05
Mn Loading,0.0004186592232819545
Ni Loading,0.0021506593668546045
Cu Loading,0.05852294580511915
Y Loading,3.1792618675981993e-06
Ru Loading,0.0009264335459399159
Rh Loading,0.0
In Loading,0.897206525803735
Hf Loading,8.53576317980531e-06
W Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
- Loading,0.0
-- Loading,0.0
reactor_number,0.003572195563614001
temperature,0.0
space_velocity,0.016801024165502908
ammonia_concentration,0.003956330617701492
n_elements,0.0
Atomic Number_0,0.0
Atomic Number_1,4.768389558195434e-05
Atomic Number_2,0.0
AtomicVolume_0,0.0
AtomicVolume_1,0.0023473571609067267
AtomicVolume_2,0.0
AtomicWeight_0,0.0
AtomicWeight_1,7.287083612810179e-05
AtomicWeight_2,0.0
BoilingT_0,0.0
BoilingT_1,3.950670705038086e-05
BoilingT_2,0.0
Column_0,0.0
Column_1,0.0004895936075655315
Column_2,0.0
CovalentRadius_0,0.0
CovalentRadius_1,0.0015868597587611589
CovalentRadius_2,0.0
Density_0,0.0
Density_1,3.298644099802728e-05
Density_2,0.0
DipolePolarizability_0,0.0
DipolePolarizability_1,0.0005059293108884159
DipolePolarizability_2,0.0
ElectronAffinity_0,0.0
ElectronAffinity_1,3.134520567130042e-05
ElectronAffinity_2,0.0
Electronegativity_0,0.0
Electronegativity_1,0.00219294818821075
Electronegativity_2,0.0
FusionEnthalpy_0,0.0
FusionEnthalpy_1,6.035841416827233e-05
FusionEnthalpy_2,0.0
GSbandgap_0,0.0
GSbandgap_1,0.0
GSbandgap_2,0.0
GSenergy_pa_0,0.0
GSenergy_pa_1,5.124132542030928e-05
GSenergy_pa_2,0.0
HeatCapacityMass_0,0.0
HeatCapacityMass_1,5.2068797266799024e-05
HeatCapacityMass_2,0.0
HeatCapacityMolar_0,0.0
HeatCapacityMolar_1,0.004147144410333324
HeatCapacityMolar_2,0.0
HeatFusion_0,0.0
HeatFusion_1,4.955481400218336e-05
HeatFusion_2,0.0
IonizationEnergies_1_0,0.0
IonizationEnergies_1_1,4.8048931246775593e-05
IonizationEnergies_1_2,0.0
IonizationEnergies_2_0,0.0
IonizationEnergies_2_1,6.274919453226027e-05
IonizationEnergies_2_2,0.0
IonizationEnergies_3_0,0.0
IonizationEnergies_3_1,3.53460419857242e-05
