,Feature Importance
Mg Loading,0.022118569476050644
K Loading,0.0
Ca Loading,0.008902044148698317
Sc Loading,0.005939067529875278
Cr Loading,0.0029113017611636922
Mn Loading,0.00016530853395947762
Ni Loading,0.0022858425242691777
Cu Loading,0.0006848475048883294
Y Loading,0.00015670963321944887
Ru Loading,0.06772818636293128
Rh Loading,0.0
In Loading,0.0003093455625513904
Hf Loading,3.250053440696429e-05
W Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
- Loading,0.0
-- Loading,0.0
reactor_number,0.004230752445198768
temperature,0.5640417744805394
space_velocity,0.0056040266835395945
ammonia_concentration,0.019978720184081075
n_elements,0.0
Atomic Number_0,0.0
Atomic Number_1,0.00028118042148756817
Atomic Number_2,0.0
AtomicVolume_0,0.0
AtomicVolume_1,0.00046755115956679063
AtomicVolume_2,0.0
AtomicWeight_0,0.0
AtomicWeight_1,0.00044712770109777404
AtomicWeight_2,0.0
BoilingT_0,0.0
BoilingT_1,0.0005715339377939613
BoilingT_2,0.0
Column_0,0.0
Column_1,0.10671737342486602
Column_2,0.0
CovalentRadius_0,0.0
CovalentRadius_1,0.0005253677735800134
CovalentRadius_2,0.0
Density_0,0.0
Density_1,0.00044677148144017705
Density_2,0.0
DipolePolarizability_0,0.0
DipolePolarizability_1,0.0008015703684945571
DipolePolarizability_2,0.0
ElectronAffinity_0,0.0
ElectronAffinity_1,0.0008144899300627582
ElectronAffinity_2,0.0
Electronegativity_0,0.0
Electronegativity_1,0.005321655997006207
Electronegativity_2,0.0
FusionEnthalpy_0,0.0
FusionEnthalpy_1,0.0004584666965610069
FusionEnthalpy_2,0.0
GSbandgap_0,0.0
GSbandgap_1,0.0
GSbandgap_2,0.0
GSenergy_pa_0,0.0
GSenergy_pa_1,0.0005180052079575095
GSenergy_pa_2,0.0
HeatCapacityMass_0,0.0
HeatCapacityMass_1,0.0006629773278187621
HeatCapacityMass_2,0.0
HeatCapacityMolar_0,0.0
HeatCapacityMolar_1,0.00036100108706558674
HeatCapacityMolar_2,0.0
HeatFusion_0,0.0
HeatFusion_1,0.00034494080827499
HeatFusion_2,0.0
IonizationEnergies_1_0,0.0
IonizationEnergies_1_1,0.0005593343902485958
IonizationEnergies_1_2,0.0
IonizationEnergies_2_0,0.0
IonizationEnergies_2_1,0.034895601408873926
IonizationEnergies_2_2,0.0
IonizationEnergies_3_0,0.0
IonizationEnergies_3_1,0.003805624716888439
IonizationEnergies_3_2,0.0
IonizationEnergies_4_0,0.0
IonizationEnergies_4_1,0.0005711021600369369
IonizationEnergies_4_2,0.0
IonizationEnergies_5_0,0.0
IonizationEnergies_5_1,0.0006739709533754468
IonizationEnergies_5_2,0.0
IonizationEnergies_6_0,0.0
IonizationEnergies_6_1,0.0005089541853385447
IonizationEnergies_6_2,0.0
IonizationEnergies_7_0,0.0
IonizationEnergies_7_1,0.0004555005146727187
IonizationEnergies_7_2,0.0
IonizationEnergies_8_0,0.0
IonizationEnergies_8_1,0.0005314034193965801
IonizationEnergies_8_2,0.0
IsAlkali_0,0.0
IsAlkali_1,0.00015603143117439084
IsAlkali_2,0.0
IsDBlock_0,0.0
IsDBlock_1,0.00027863167324473166
IsDBlock_2,0.0
IsFBlock_0,0.0
IsFBlock_1,0.0
IsFBlock_2,0.0
IsMetal_0,0.0
IsMetal_1,0.0
IsMetal_2,0.0
IsMetalloid_0,0.0
IsMetalloid_1,0.0
IsMetalloid_2,0.0
IsNonmetal_0,0.0
IsNonmetal_1,0.0
IsNonmetal_2,0.0
MeltingT_0,0.0
MeltingT_1,0.0005511835708351169
MeltingT_2,0.0
MendeleevNumber_0,0.0
MendeleevNumber_1,0.0004580097167677012
MendeleevNumber_2,0.0
NdUnfilled_0,0.0
NdUnfilled_1,0.002945333536055287
NdUnfilled_2,0.0
NdValence_0,0.0
NdValence_1,0.10687095050371322
NdValence_2,0.0
NfUnfilled_0,0.0
NfUnfilled_1,0.0
NfUnfilled_2,0.0
NfValence_0,0.0
NfValence_1,2.3499833571699377e-05
NfValence_2,0.0
NpUnfilled_0,0.0
NpUnfilled_1,0.00026289603998414695
NpUnfilled_2,0.0
NpValence_0,0.0
NpValence_1,0.00026860222712308775
NpValence_2,0.0
NsUnfilled_0,0.0
NsUnfilled_1,0.00022449348485098912
NsUnfilled_2,0.0
NsValence_0,0.0
NsValence_1,0.0002878030915249203
NsValence_2,0.0
Number_0,0.0
Number_1,0.00042903546130735514
Number_2,0.0
NUnfilled_0,0.0
NUnfilled_1,0.006016033673132021
NUnfilled_2,0.0
NValence_0,0.0
NValence_1,0.0004878649434163677
NValence_2,0.0
Polarizability_0,0.0
Polarizability_1,0.000635392593458984
Polarizability_2,0.0
Row_0,0.0
Row_1,0.0002768372733036822
Row_2,0.0
ZungerPP-r_d_0,0.0
ZungerPP-r_d_1,0.0003871495839702085
ZungerPP-r_d_2,0.0
ZungerPP-r_p_0,0.0
ZungerPP-r_p_1,0.00048000488667357616
ZungerPP-r_p_2,0.0
ZungerPP-r_pi_0,0.0
ZungerPP-r_pi_1,0.0002677076563836787
ZungerPP-r_pi_2,0.0
ZungerPP-r_s_0,0.0
ZungerPP-r_s_1,0.0006261569417575632
ZungerPP-r_s_2,0.0
ZungerPP-r_sigma_0,0.0
ZungerPP-r_sigma_1,0.0008095053829930378
ZungerPP-r_sigma_2,0.0
phi_0,0.0
phi_1,0.009684520259864023
phi_2,0.0
Conductivity_0,0.0
Conductivity_1,0.0017418537976160913
Conductivity_2,0.0
