,Feature Importance
Mg Loading,0.015570296595405538
K Loading,0.0
Ca Loading,0.0007349778445534499
Sc Loading,0.002947146470605894
Cr Loading,0.001073689159851865
Mn Loading,0.0005893234187847204
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0037804437734766903
Cu Loading,0.0030429068505676937
Zn Loading,0.0
Y Loading,0.0008841206005127262
Mo Loading,0.0
Ru Loading,0.041320092501260446
Rh Loading,0.0
In Loading,0.015270230733343803
Hf Loading,8.705192971312423e-05
W Loading,0.0
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
- Loading,0.0
-- Loading,0.0
reactor_number,0.01620802920848862
temperature,0.5531380780711218
space_velocity,0.010867618532080538
ammonia_concentration,0.028273615726646276
n_elements,0.0
Atomic Number_0,0.0
Atomic Number_1,0.0006788962445176153
Atomic Number_2,0.0
AtomicVolume_0,0.0
AtomicVolume_1,0.0027672799390826334
AtomicVolume_2,0.0
AtomicWeight_0,0.0
AtomicWeight_1,0.0011454909281672341
AtomicWeight_2,0.0
BoilingT_0,0.0
BoilingT_1,0.0014481320323497218
BoilingT_2,0.0
Column_0,0.0
Column_1,0.050951703704121915
Column_2,0.0
CovalentRadius_0,0.0
CovalentRadius_1,0.0054920681917609866
CovalentRadius_2,0.0
Density_0,0.0
Density_1,0.00033478379318662907
Density_2,0.0
DipolePolarizability_0,0.0
DipolePolarizability_1,0.0009194957467032149
DipolePolarizability_2,0.0
ElectronAffinity_0,0.0
ElectronAffinity_1,0.000753191438526352
ElectronAffinity_2,0.0
Electronegativity_0,0.0
Electronegativity_1,0.0180951728513874
Electronegativity_2,0.0
FusionEnthalpy_0,0.0
FusionEnthalpy_1,0.0008025144316781748
FusionEnthalpy_2,0.0
GSbandgap_0,0.0
GSbandgap_1,0.0
GSbandgap_2,0.0
GSenergy_pa_0,0.0
GSenergy_pa_1,0.000773890198544643
GSenergy_pa_2,0.0
HeatCapacityMass_0,0.0
HeatCapacityMass_1,0.0012299692764715774
HeatCapacityMass_2,0.0
HeatCapacityMolar_0,0.0
HeatCapacityMolar_1,0.0005876493977199668
HeatCapacityMolar_2,0.0
HeatFusion_0,0.0
HeatFusion_1,0.0008121205662860293
HeatFusion_2,0.0
IonizationEnergies_1_0,0.0
IonizationEnergies_1_1,0.00027150203726660643
IonizationEnergies_1_2,0.0
IonizationEnergies_2_0,0.0
IonizationEnergies_2_1,0.10518455817169191
IonizationEnergies_2_2,0.0
IonizationEnergies_3_0,0.0
IonizationEnergies_3_1,0.011482056281797515
IonizationEnergies_3_2,0.0
IonizationEnergies_4_0,0.0
IonizationEnergies_4_1,0.0006568422947535212
IonizationEnergies_4_2,0.0
