,Feature Importance
Atomic Number_0,0.0
Atomic Number_1,0.0012081452628216452
Atomic Number_2,0.0
AtomicVolume_0,0.0
AtomicVolume_1,0.001980074290645112
AtomicVolume_2,0.0
AtomicWeight_0,0.0
AtomicWeight_1,0.0014740935799343778
AtomicWeight_2,0.0
BoilingT_0,0.0
BoilingT_1,0.0006012591881789839
BoilingT_2,0.0
Ca Loading,0.0018395640900972171
Co Loading,0.0
Column_0,0.0
Column_1,0.06139724508652331
Column_2,0.0
Conductivity_0,0.0
Conductivity_1,0.0012488181669155387
Conductivity_2,0.0
CovalentRadius_0,0.0
CovalentRadius_1,0.006556332949745164
CovalentRadius_2,0.0
Cr Loading,0.0006177615760802954
Cu Loading,0.0019513632232452513
Density_0,0.0
Density_1,0.00028444837720912415
Density_2,0.0
DipolePolarizability_0,0.0
DipolePolarizability_1,0.0023052311346661715
DipolePolarizability_2,0.0
ElectronAffinity_0,0.0
ElectronAffinity_1,0.0007672669202183829
ElectronAffinity_2,0.0
Electronegativity_0,0.0
Electronegativity_1,0.016557641059307543
Electronegativity_2,0.0
Fe Loading,0.0
FusionEnthalpy_0,0.0
FusionEnthalpy_1,0.0008487639615873976
FusionEnthalpy_2,0.0
GSbandgap_0,0.0
GSbandgap_1,0.0
GSbandgap_2,0.0
GSenergy_pa_0,0.0
GSenergy_pa_1,0.001732020383551674
GSenergy_pa_2,0.0
HeatCapacityMass_0,0.0
HeatCapacityMass_1,0.0007822294363723448
HeatCapacityMass_2,0.0
HeatCapacityMolar_0,0.0
HeatCapacityMolar_1,0.0005020159394410035
HeatCapacityMolar_2,0.0
HeatFusion_0,0.0
HeatFusion_1,0.0006482634626428256
HeatFusion_2,0.0
Hf Loading,0.0001384868842606238
In Loading,0.01488338603567601
IonizationEnergies_1_0,0.0
IonizationEnergies_1_1,0.00031436347463949547
IonizationEnergies_1_2,0.0
IonizationEnergies_2_0,0.0
IonizationEnergies_2_1,0.07474640977839035
IonizationEnergies_2_2,0.0
IonizationEnergies_3_0,0.0
IonizationEnergies_3_1,0.010020564821352974
IonizationEnergies_3_2,0.0
IonizationEnergies_4_0,0.0
IonizationEnergies_4_1,0.0010263266349232942
IonizationEnergies_4_2,0.0
IonizationEnergies_5_0,0.0
IonizationEnergies_5_1,0.0007224617589152235
IonizationEnergies_5_2,0.0
IonizationEnergies_6_0,0.0
IonizationEnergies_6_1,0.0008826616113979295
IonizationEnergies_6_2,0.0
IonizationEnergies_7_0,0.0
IonizationEnergies_7_1,0.000550368064532186
IonizationEnergies_7_2,0.0
IonizationEnergies_8_0,0.0
IonizationEnergies_8_1,0.0016519813223908521
IonizationEnergies_8_2,0.0
Ir Loading,0.0
IsAlkali_0,0.0
IsAlkali_1,0.00018019163443145017
IsAlkali_2,0.0
IsDBlock_0,0.0
IsDBlock_1,0.00011345657662019288
IsDBlock_2,0.0
IsFBlock_0,0.0
IsFBlock_1,0.0
IsFBlock_2,0.0
IsMetal_0,0.0
IsMetal_1,0.0
IsMetal_2,0.0
IsMetalloid_0,0.0
IsMetalloid_1,0.0
IsMetalloid_2,0.0
IsNonmetal_0,0.0
IsNonmetal_1,0.0
IsNonmetal_2,0.0
K Loading,0.0
MeltingT_0,0.0
MeltingT_1,0.0007414782154148341
MeltingT_2,0.0
MendeleevNumber_0,0.0
MendeleevNumber_1,0.0008578460790522911
MendeleevNumber_2,0.0
Mg Loading,0.013480796107906645
Mn Loading,0.00041393761818700963
Mo Loading,0.0
NUnfilled_0,0.0
NUnfilled_1,0.01345834590303719
NUnfilled_2,0.0
NValence_0,0.0
NValence_1,0.000995449275761719
NValence_2,0.0
NdUnfilled_0,0.0
NdUnfilled_1,0.007814175815902548
NdUnfilled_2,0.0
NdValence_0,0.0
NdValence_1,0.06718385892502485
NdValence_2,0.0
NfUnfilled_0,0.0
NfUnfilled_1,0.0
NfUnfilled_2,0.0
NfValence_0,0.0
NfValence_1,5.8519516680977584e-05
NfValence_2,0.0
Ni Loading,0.0026737909568235103
NpUnfilled_0,0.0
NpUnfilled_1,3.769546402297241e-05
NpUnfilled_2,0.0
NpValence_0,0.0
NpValence_1,2.2389014249084492e-05
NpValence_2,0.0
NsUnfilled_0,0.0
NsUnfilled_1,0.00018956869301371332
NsUnfilled_2,0.0
NsValence_0,0.0
NsValence_1,0.00015114082470852645
NsValence_2,0.0
Number_0,0.0
Number_1,0.0003258158160911603
Number_2,0.0
Os Loading,0.0
Polarizability_0,0.0
Polarizability_1,0.0008502806785688186
Polarizability_2,0.0
Pt Loading,0.0
Rh Loading,0.0
Row_0,0.0
Row_1,8.514681203719526e-05
Row_2,0.0
Ru Loading,0.0443779455449027
Sc Loading,0.003216264913500446
W Loading,0.0
Y Loading,0.001936335550011969
Zn Loading,0.0
ZungerPP-r_d_0,0.0
ZungerPP-r_d_1,0.003416798624000219
ZungerPP-r_d_2,0.0
ZungerPP-r_p_0,0.0
ZungerPP-r_p_1,0.0005433196639902636
ZungerPP-r_p_2,0.0
ZungerPP-r_pi_0,0.0
ZungerPP-r_pi_1,0.0003375547260822673
ZungerPP-r_pi_2,0.0
ZungerPP-r_s_0,0.0
ZungerPP-r_s_1,0.0005284578820086193
ZungerPP-r_s_2,0.0
ZungerPP-r_sigma_0,0.0
ZungerPP-r_sigma_1,0.0008345468312776801
ZungerPP-r_sigma_2,0.0
ammonia_concentration,0.02722987284602107
n_elements,0.0
phi_0,0.0
phi_1,0.016627776393142005
phi_2,0.0
reactor_number,0.015820018163520064
space_velocity,0.012551459624618738
temperature,0.554706216833727
