,Feature Importance
Mg Loading,0.004721223927609001
K Loading,5.222108900371042e-05
Ca Loading,0.0009249089051307412
Sc Loading,0.0006899482779101079
Cr Loading,0.0013279786281211578
Mn Loading,0.0006237678356812041
Fe Loading,0.00031152913094380707
Co Loading,0.000784410357958812
Ni Loading,0.0019187645167545108
Cu Loading,0.004281064023538622
Zn Loading,4.80371031884145e-06
Y Loading,0.000573192317942539
Mo Loading,0.0001077621525458258
Ru Loading,0.08245728746418658
Rh Loading,1.956994792055473e-05
In Loading,0.004656664442554576
Hf Loading,0.0006058136924572996
W Loading,0.0
Os Loading,4.951991541308848e-06
Ir Loading,6.94083074379027e-07
Pt Loading,2.1562006086151855e-06
- Loading,0.00023970649301759616
-- Loading,0.006178844501303502
reactor_number,0.013021398015515112
temperature,0.476750881572716
space_velocity,0.013109907112737162
ammonia_concentration,0.06457587958362672
n_elements,1.4322620190834955e-05
Atomic Number_0,1.3657401876942521e-05
Atomic Number_1,0.00013853993498574602
Atomic Number_2,0.00021668917701755038
AtomicVolume_0,2.5016686078802598e-06
AtomicVolume_1,0.022389000425769433
AtomicVolume_2,0.0002661640569163996
AtomicWeight_0,0.0014458816536499731
AtomicWeight_1,0.001007136403228038
AtomicWeight_2,6.144946672913539e-05
BoilingT_0,1.1428709808578878e-06
BoilingT_1,0.0008235179819356312
BoilingT_2,2.4880392998577438e-06
Column_0,4.882280252229109e-06
Column_1,0.012180324342692332
Column_2,2.8802744131492617e-05
CovalentRadius_0,0.0019814450421594514
CovalentRadius_1,0.004767041739080069
CovalentRadius_2,0.0006828717732097714
Density_0,4.0392498301397705e-06
Density_1,0.0011774948933071265
Density_2,0.0015809375472595289
DipolePolarizability_0,5.735525284712219e-07
DipolePolarizability_1,0.005657113654087764
DipolePolarizability_2,1.6387130511186525e-06
ElectronAffinity_0,0.004008084312710887
ElectronAffinity_1,0.0010963072168127643
ElectronAffinity_2,0.0015278116292156015
Electronegativity_0,1.0252401173698403e-05
Electronegativity_1,0.009519410769055008
Electronegativity_2,0.000268103196628383
