,Feature Importance
Atomic Number_0,0.0
Atomic Number_1,0.0004196885319881276
Atomic Number_2,0.0
AtomicVolume_0,0.0
AtomicVolume_1,0.0026039774882566304
AtomicVolume_2,0.0
AtomicWeight_0,0.0
AtomicWeight_1,0.0005734399254473131
AtomicWeight_2,0.0
BoilingT_0,0.0
BoilingT_1,0.002195439915877014
BoilingT_2,0.0
Ca Loading,0.0023327448609918866
Co Loading,0.0
Column_0,0.0
Column_1,0.035492198517950053
Column_2,0.0
Conductivity_0,0.0
Conductivity_1,0.0005552410990151926
Conductivity_2,0.0
CovalentRadius_0,0.0
CovalentRadius_1,0.003205635621248186
CovalentRadius_2,0.0
Cr Loading,0.0008425918036584831
Cu Loading,0.0031797265263012933
Density_0,0.0
Density_1,0.0007833159646148858
Density_2,0.0
DipolePolarizability_0,0.0
DipolePolarizability_1,0.0003361605173271326
DipolePolarizability_2,0.0
ElectronAffinity_0,0.0
ElectronAffinity_1,0.000808906337703291
ElectronAffinity_2,0.0
Electronegativity_0,0.0
Electronegativity_1,0.02062977041360002
Electronegativity_2,0.0
Fe Loading,0.0
FusionEnthalpy_0,0.0
FusionEnthalpy_1,0.0005899662013522592
FusionEnthalpy_2,0.0
GSbandgap_0,0.0
GSbandgap_1,0.0
GSbandgap_2,0.0
GSenergy_pa_0,0.0
GSenergy_pa_1,0.0008906274107689045
GSenergy_pa_2,0.0
HeatCapacityMass_0,0.0
HeatCapacityMass_1,0.0006371729389987382
HeatCapacityMass_2,0.0
HeatCapacityMolar_0,0.0
HeatCapacityMolar_1,0.00042123344909990036
HeatCapacityMolar_2,0.0
HeatFusion_0,0.0
HeatFusion_1,0.0011975576397578501
HeatFusion_2,0.0
Hf Loading,3.1108598834996375e-05
In Loading,0.0145330028009071
IonizationEnergies_1_0,0.0
IonizationEnergies_1_1,0.00037161113850939513
IonizationEnergies_1_2,0.0
IonizationEnergies_2_0,0.0
IonizationEnergies_2_1,0.09155455858029155
IonizationEnergies_2_2,0.0
IonizationEnergies_3_0,0.0
IonizationEnergies_3_1,0.014244362161619596
IonizationEnergies_3_2,0.0
IonizationEnergies_4_0,0.0
IonizationEnergies_4_1,0.0004689807890415045
IonizationEnergies_4_2,0.0
IonizationEnergies_5_0,0.0
IonizationEnergies_5_1,0.0018033830380114488
IonizationEnergies_5_2,0.0
IonizationEnergies_6_0,0.0
IonizationEnergies_6_1,0.0013132426749426522
IonizationEnergies_6_2,0.0
IonizationEnergies_7_0,0.0
IonizationEnergies_7_1,0.0008056917392309262
IonizationEnergies_7_2,0.0
IonizationEnergies_8_0,0.0
IonizationEnergies_8_1,0.002094155449128196
IonizationEnergies_8_2,0.0
Ir Loading,0.0
IsAlkali_0,0.0
IsAlkali_1,0.000560756560966985
IsAlkali_2,0.0
IsDBlock_0,0.0
IsDBlock_1,0.0001873643940074074
IsDBlock_2,0.0
IsFBlock_0,0.0
IsFBlock_1,0.0
IsFBlock_2,0.0
IsMetal_0,0.0
IsMetal_1,0.0
IsMetal_2,0.0
IsMetalloid_0,0.0
IsMetalloid_1,0.0
IsMetalloid_2,0.0
IsNonmetal_0,0.0
IsNonmetal_1,0.0
IsNonmetal_2,0.0
K Loading,0.0
MeltingT_0,0.0
MeltingT_1,0.0007011576940689776
MeltingT_2,0.0
MendeleevNumber_0,0.0
MendeleevNumber_1,0.0004915445849830426
MendeleevNumber_2,0.0
Mg Loading,0.01583282587790093
Mn Loading,0.0007421715344188335
Mo Loading,0.0
NUnfilled_0,0.0
NUnfilled_1,0.007679571351071188
NUnfilled_2,0.0
NValence_0,0.0
NValence_1,0.0010283973059232701
NValence_2,0.0
NdUnfilled_0,0.0
NdUnfilled_1,0.012288563210828638
NdUnfilled_2,0.0
NdValence_0,0.0
NdValence_1,0.06662539671979348
NdValence_2,0.0
NfUnfilled_0,0.0
NfUnfilled_1,0.0
NfUnfilled_2,0.0
NfValence_0,0.0
NfValence_1,3.269273253882461e-05
NfValence_2,0.0
Ni Loading,0.0046249441289180435
NpUnfilled_0,0.0
NpUnfilled_1,2.978355918074849e-05
NpUnfilled_2,0.0
NpValence_0,0.0
NpValence_1,4.31227830869148e-05
NpValence_2,0.0
NsUnfilled_0,0.0
NsUnfilled_1,0.00018478938288462435
NsUnfilled_2,0.0
NsValence_0,0.0
NsValence_1,0.0003069472746296982
NsValence_2,0.0
Number_0,0.0
Number_1,0.0012719631399106138
Number_2,0.0
Os Loading,0.0
Polarizability_0,0.0
Polarizability_1,0.00015199628488781709
Polarizability_2,0.0
Pt Loading,0.0
Rh Loading,0.0
Row_0,0.0
Row_1,0.000239413097850904
Row_2,0.0
Ru Loading,0.04346937685937426
Sc Loading,0.0038470240598655944
W Loading,0.0
Y Loading,0.0018134892019287404
Zn Loading,0.0
ZungerPP-r_d_0,0.0
ZungerPP-r_d_1,0.0006846747067633396
ZungerPP-r_d_2,0.0
ZungerPP-r_p_0,0.0
ZungerPP-r_p_1,0.0005104201951064865
ZungerPP-r_p_2,0.0
ZungerPP-r_pi_0,0.0
ZungerPP-r_pi_1,0.0003655155595501164
ZungerPP-r_pi_2,0.0
ZungerPP-r_s_0,0.0
ZungerPP-r_s_1,0.0004185375065667695
ZungerPP-r_s_2,0.0
ZungerPP-r_sigma_0,0.0
ZungerPP-r_sigma_1,0.0005637685468164107
ZungerPP-r_sigma_2,0.0
ammonia_concentration,0.024895448537126393
n_elements,0.0
phi_0,0.0
phi_1,0.016778739279093152
phi_2,0.0
reactor_number,0.014909447055796514
space_velocity,0.01074484421313899
temperature,0.5630598205265478
