,Feature Importance
Mg Loading,0.0013971714232818137
K Loading,0.0
Ca Loading,0.00020448202415330067
Sc Loading,0.002717923694312026
Cr Loading,0.005261474777506909
Mn Loading,0.002273177384371025
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.002613862863195766
Cu Loading,0.007305242808373461
Zn Loading,0.000860791398135672
Sr Loading,0.0004995764724172277
Y Loading,0.0011690545016836266
Mo Loading,0.0029974367904382643
Ru Loading,0.011496450497742611
Rh Loading,0.006505076064850521
Pd Loading,0.00016100630780604288
In Loading,9.807644129555126e-05
Hf Loading,0.00026653070592994347
W Loading,0.0005665793075448145
Re Loading,0.0009084471654990388
Os Loading,0.0
Ir Loading,6.48444030766291e-05
Pt Loading,0.0
Bi Loading,0.0003501710941741131
reactor_number,0.007008365605598026
temperature,0.7006854937172843
space_velocity,0.0057162996495784355
ammonia_concentration,0.008224812751965826
n_elements,0.0
Atomic Number_mean,0.0012709387559833925
Atomic Number_mad,0.0007026635330267302
Atomic Volume_wtavg,0.0028070622716178887
Atomic Weight_wtavg,0.00460427254903056
Boiling Temperature_wtavg,0.003684248779821885
Periodic Table Column_mean,0.018328478086976033
Periodic Table Column_mad,0.005965029657278302
Covalent Radius_wtavg,0.004333256348057098
Density_wtavg,0.0032431262657869695
Dipole Polarizability_wtavg,0.0020957009703896777
Electron Affinity_wtavg,0.002472053394276153
Electronegativity_wtavg,0.0021884432713677833
Fusion Enthalpy_wtavg,0.0025916486269179613
GS Bandgap_wtavg,0.0
GS Energy_wtavg,0.0029879700338764177
Heat Capacity (Mass)_wtavg,0.0036517756755154803
Heat Capacity (Molar)_wtavg,0.0017698212838678812
Heat Fusion_wtavg,0.0027351365519348325
First Ionization Energy_wtavg,0.0016777643860388727
Second Ionization Energy_wtavg,0.003234674625083398
Third Ionization Energy_wtavg,0.003118961947914439
Fourth Ionization Energy_wtavg,0.005445453553256989
Fifth Ionization Energy_wtavg,0.004656204860013289
Sixth Ionization Energy_wtavg,0.00553888070022453
Seventh Ionization Energy_wtavg,0.004510678060197708
Eighth Ionization Energy_wtavg,0.006619471152157615
IsAlkali_mean,0.004583611428121196
IsAlkali_mad,0.0
IsDBlock_mean,0.0011471855717671308
IsDBlock_mad,0.0
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.0042476831405513496
Mendeleev Number_mean,0.0016103199113230698
Mendeleev Number_mad,0.0018728304332132093
Number d-shell Unfilled Electrons_mean,0.004100278066533858
Number d-shell Unfilled Electrons_mad,0.011133660350817016
Number d-shell Valance Electrons_mean,0.030866549959414954
Number d-shell Valance Electrons_mad,0.0021581183170955366
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.000564035686034137
Number f-shell Valance Electrons_mad,0.000210477547505853
Number p-shell Unfilled Electrons_mean,0.004068682520667347
Number p-shell Unfilled Electrons_mad,0.0028798234206593993
Number p-shell Valance Electrons_mean,0.0028232225859814706
Number p-shell Valance Electrons_mad,0.0025368292842578616
Number s-shell Unfilled Electrons_mean,0.00019660673352471454
Number s-shell Unfilled Electrons_mad,0.00015430396152933025
Number s-shell Valance Electrons_mean,0.0010862005291833086
Number s-shell Valance Electrons_mad,0.00032590107620381525
Number Unfilled Electrons_mean,0.003995458432497297
Number Unfilled Electrons_mad,0.004332847667496858
Number Valence Electrons_mean,0.002064460902711955
Number Valence Electrons_mad,0.0009079810174874383
Polarizability_wtavg,0.0031124119977160086
Periodic Table Row_mean,0.0010383171434444189
Periodic Table Row_mad,5.0208052014794216e-05
Zunger Pseudopotential (d)_mean,0.0015970009655886035
Zunger Pseudopotential (d)_mad,0.004799846399129725
Zunger Pseudopotential (p)_mean,0.001644428728818404
Zunger Pseudopotential (p)_mad,0.002425198511983983
Zunger Pseudopotential (pi)_mean,0.002077838281952659
Zunger Pseudopotential (pi)_mad,0.00226105989574395
Zunger Pseudopotential (s)_mean,0.001491754697457672
Zunger Pseudopotential (s)_mad,0.0011327666775520482
Zunger Pseudopotential (sigma)_mean,0.001603846778994303
Zunger Pseudopotential (sigma)_mad,0.0021602779950679442
phi_mean,0.011725532197018778
phi_mad,0.0014161148353684513
Conductivity_wtavg,0.0040102651067432
