,Predicted Conversion,Measured Conversion,ID,Name,temperature
74_400_0,0.9858390574849999,1.0,74,Ru(2)Sr(2)K(12),400.0
82_250_0,0.16563557072500001,0.161979452,82,Ru(3)Pd(1)K(12),250.0
67_300_0,0.3314797753599998,0.512376181,67,Ru(3)Zn(1)K(12),300.0
65_400_0,0.8922459081349998,0.990959522,65,Ru(2)Rh(2)K(12),400.0
82_400_0,0.9154034134399995,0.980123112,82,Ru(3)Pd(1)K(12),400.0
69_300_0,0.20201538653499995,0.054859118,69,Ru(1)Zn(3)K(12),300.0
67_450_0,0.9390438057999999,0.987485635,67,Ru(3)Zn(1)K(12),450.0
74_300_0,0.6532519867250004,0.688602092,74,Ru(2)Sr(2)K(12),300.0
76_400_0,0.862683750285,0.541676574,76,Ru(3)Bi(1)K(12),400.0
75_450_0,0.9857308518899995,1.0,75,Ru(1)Sr(3)K(12),450.0
67_350_0,0.5815705088000004,0.819644967,67,Ru(3)Zn(1)K(12),350.0
74_450_0,0.9870497336899997,1.0,74,Ru(2)Sr(2)K(12),450.0
73_400_0,0.9917389945549996,1.0,73,Ru(3)Sr(1)K(12),400.0
83_350_0,0.5024649702700004,0.939012345,83,Ru(2)Pd(2)K(12),350.0
69_250_0,0.16391272446,0.08462298,69,Ru(1)Zn(3)K(12),250.0
83_300_0,0.22047131546999987,0.297161443,83,Ru(2)Pd(2)K(12),300.0
73_300_0,0.7019714978350001,0.842363016,73,Ru(3)Sr(1)K(12),300.0
66_350_0,0.4994351495050002,1.0,66,Ru(1)Rh(3)K(12),350.0
65_350_0,0.5533051755550005,0.994041235,65,Ru(2)Rh(2)K(12),350.0
83_450_0,0.9405755652549997,0.9964003359999999,83,Ru(2)Pd(2)K(12),450.0
75_250_0,0.19777465297,0.049501215999999994,75,Ru(1)Sr(3)K(12),250.0
67_400_0,0.8681327709450002,0.991556071,67,Ru(3)Zn(1)K(12),400.0
65_250_0,0.16728662440999997,0.433214504,65,Ru(2)Rh(2)K(12),250.0
76_250_0,0.19304091424500006,0.175224149,76,Ru(3)Bi(1)K(12),250.0
66_250_0,0.14495053502499994,0.20377695,66,Ru(1)Rh(3)K(12),250.0
75_400_0,0.9790268066899999,0.9927286740000001,75,Ru(1)Sr(3)K(12),400.0
77_250_0,0.18521637346000003,0.168674503,77,Ru(2)Bi(2)K(12),250.0
66_400_0,0.8708844834999998,1.0,66,Ru(1)Rh(3)K(12),400.0
69_350_0,0.4341359245250001,0.498945452,69,Ru(1)Zn(3)K(12),350.0
73_250_0,0.26041841232,0.47100722,73,Ru(3)Sr(1)K(12),250.0
83_400_0,0.8231945557399998,0.984889555,83,Ru(2)Pd(2)K(12),400.0
69_450_0,0.9077211639549999,1.0,69,Ru(1)Zn(3)K(12),450.0
66_300_0,0.18388377628999997,0.58634798,66,Ru(1)Rh(3)K(12),300.0
76_350_0,0.5675485258350005,0.343124256,76,Ru(3)Bi(1)K(12),350.0
75_300_0,0.5179027437800001,0.70658984,75,Ru(1)Sr(3)K(12),300.0
76_300_0,0.23450187831999994,0.251493649,76,Ru(3)Bi(1)K(12),300.0
83_250_0,0.16116789596500003,0.100944286,83,Ru(2)Pd(2)K(12),250.0
65_300_0,0.22391146136999984,0.813473852,65,Ru(2)Rh(2)K(12),300.0
77_300_0,0.1931933489599999,0.049364637999999995,77,Ru(2)Bi(2)K(12),300.0
67_250_0,0.17871830737999997,0.139892903,67,Ru(3)Zn(1)K(12),250.0
76_450_0,0.7690754486200001,0.866817935,76,Ru(3)Bi(1)K(12),450.0
77_350_0,0.38686171686000015,0.360221291,77,Ru(2)Bi(2)K(12),350.0
82_450_0,0.9540608379099996,0.950797146,82,Ru(3)Pd(1)K(12),450.0
82_350_0,0.6342956739750003,0.980309152,82,Ru(3)Pd(1)K(12),350.0
66_450_0,0.9470929048449996,1.0,66,Ru(1)Rh(3)K(12),450.0
75_350_0,0.7676730215550003,0.9530922409999999,75,Ru(1)Sr(3)K(12),350.0
77_450_0,0.6878430822000001,0.90690684,77,Ru(2)Bi(2)K(12),450.0
74_250_0,0.20640341201499995,0.37922638,74,Ru(2)Sr(2)K(12),250.0
82_300_0,0.28049689610499995,0.391527275,82,Ru(3)Pd(1)K(12),300.0
65_450_0,0.9620362625249994,0.984546653,65,Ru(2)Rh(2)K(12),450.0
73_350_0,0.9439828636950004,0.997048127,73,Ru(3)Sr(1)K(12),350.0
73_450_0,0.9933303802799994,0.9942532590000001,73,Ru(3)Sr(1)K(12),450.0
77_400_0,0.6883200801600003,0.632478765,77,Ru(2)Bi(2)K(12),400.0
69_400_0,0.7658412684650001,0.9883804979999999,69,Ru(1)Zn(3)K(12),400.0
74_350_0,0.9219629407500004,1.0,74,Ru(2)Sr(2)K(12),350.0
