,Predicted Conversion,Measured Conversion,ID,Name,temperature
65_300_0,0.27724383084,0.813473852,65,Ru(2)Rh(2)K(12),300.0
69_450_0,0.8514928089,1.0,69,Ru(1)Zn(3)K(12),450.0
82_350_0,0.7827714076,0.980309152,82,Ru(3)Pd(1)K(12),350.0
69_350_0,0.57692202034,0.498945452,69,Ru(1)Zn(3)K(12),350.0
82_400_0,0.91789828272,0.980123112,82,Ru(3)Pd(1)K(12),400.0
83_250_0,0.1476318982,0.100944286,83,Ru(2)Pd(2)K(12),250.0
83_350_0,0.6063628918200001,0.939012345,83,Ru(2)Pd(2)K(12),350.0
65_350_0,0.7044752173200002,0.994041235,65,Ru(2)Rh(2)K(12),350.0
69_250_0,0.19486744288000005,0.08462298,69,Ru(1)Zn(3)K(12),250.0
66_400_0,0.8473670097599999,1.0,66,Ru(1)Rh(3)K(12),400.0
67_350_0,0.6894046418600002,0.819644967,67,Ru(3)Zn(1)K(12),350.0
77_300_0,0.26046640390000003,0.049364637999999995,77,Ru(2)Bi(2)K(12),300.0
66_300_0,0.14275977209999996,0.58634798,66,Ru(1)Rh(3)K(12),300.0
83_300_0,0.27278860637999996,0.297161443,83,Ru(2)Pd(2)K(12),300.0
76_400_0,0.6343828347,0.541676574,76,Ru(3)Bi(1)K(12),400.0
76_250_0,0.20593339568000005,0.175224149,76,Ru(3)Bi(1)K(12),250.0
65_250_0,0.18274509666,0.433214504,65,Ru(2)Rh(2)K(12),250.0
74_400_0,0.9455409456599998,1.0,74,Ru(2)Sr(2)K(12),400.0
77_350_0,0.35785925732,0.360221291,77,Ru(2)Bi(2)K(12),350.0
74_450_0,0.9633737283399998,1.0,74,Ru(2)Sr(2)K(12),450.0
75_450_0,0.83231152456,1.0,75,Ru(1)Sr(3)K(12),450.0
82_450_0,0.9408878711199999,0.950797146,82,Ru(3)Pd(1)K(12),450.0
65_450_0,0.9541973926199999,0.984546653,65,Ru(2)Rh(2)K(12),450.0
83_450_0,0.8487004996799999,0.9964003359999999,83,Ru(2)Pd(2)K(12),450.0
82_250_0,0.11823394493999999,0.161979452,82,Ru(3)Pd(1)K(12),250.0
67_300_0,0.28005804868,0.512376181,67,Ru(3)Zn(1)K(12),300.0
73_300_0,0.6036583242,0.842363016,73,Ru(3)Sr(1)K(12),300.0
67_450_0,0.9042776395800002,0.987485635,67,Ru(3)Zn(1)K(12),450.0
75_350_0,0.53168205354,0.9530922409999999,75,Ru(1)Sr(3)K(12),350.0
74_300_0,0.5032349705800001,0.688602092,74,Ru(2)Sr(2)K(12),300.0
77_450_0,0.6115804605,0.90690684,77,Ru(2)Bi(2)K(12),450.0
66_250_0,0.0990661615,0.20377695,66,Ru(1)Rh(3)K(12),250.0
73_350_0,0.8733525701400001,0.997048127,73,Ru(3)Sr(1)K(12),350.0
66_450_0,0.8517813552199999,1.0,66,Ru(1)Rh(3)K(12),450.0
74_250_0,0.20460164469999997,0.37922638,74,Ru(2)Sr(2)K(12),250.0
73_450_0,0.9836307891199999,0.9942532590000001,73,Ru(3)Sr(1)K(12),450.0
69_300_0,0.2281579918,0.054859118,69,Ru(1)Zn(3)K(12),300.0
82_300_0,0.18484330614000005,0.391527275,82,Ru(3)Pd(1)K(12),300.0
73_400_0,0.9657980064399999,1.0,73,Ru(3)Sr(1)K(12),400.0
76_350_0,0.52117227806,0.343124256,76,Ru(3)Bi(1)K(12),350.0
77_250_0,0.19649571932000004,0.168674503,77,Ru(2)Bi(2)K(12),250.0
83_400_0,0.8199103462999999,0.984889555,83,Ru(2)Pd(2)K(12),400.0
74_350_0,0.82405251728,1.0,74,Ru(2)Sr(2)K(12),350.0
76_300_0,0.34379061841999997,0.251493649,76,Ru(3)Bi(1)K(12),300.0
75_250_0,0.1350704515,0.049501215999999994,75,Ru(1)Sr(3)K(12),250.0
66_350_0,0.5787270429399998,1.0,66,Ru(1)Rh(3)K(12),350.0
77_400_0,0.5159107741799999,0.632478765,77,Ru(2)Bi(2)K(12),400.0
76_450_0,0.7180729230399998,0.866817935,76,Ru(3)Bi(1)K(12),450.0
75_400_0,0.7968943900400001,0.9927286740000001,75,Ru(1)Sr(3)K(12),400.0
65_400_0,0.95160623878,0.990959522,65,Ru(2)Rh(2)K(12),400.0
67_400_0,0.82025665294,0.991556071,67,Ru(3)Zn(1)K(12),400.0
67_250_0,0.20183966228000003,0.139892903,67,Ru(3)Zn(1)K(12),250.0
73_250_0,0.27707268912,0.47100722,73,Ru(3)Sr(1)K(12),250.0
75_300_0,0.2849574353,0.70658984,75,Ru(1)Sr(3)K(12),300.0
69_400_0,0.7453452523,0.9883804979999999,69,Ru(1)Zn(3)K(12),400.0
