,Mg Loading,K Loading,Ca Loading,Sc Loading,Cr Loading,Mn Loading,Fe Loading,Co Loading,Ni Loading,Cu Loading,Zn Loading,Sr Loading,Y Loading,Mo Loading,Ru Loading,Rh Loading,Pd Loading,In Loading,Hf Loading,W Loading,Re Loading,Os Loading,Ir Loading,Pt Loading,Bi Loading,reactor_number,temperature,space_velocity,ammonia_concentration,standard error,n_averaged,n_elements,Atomic Number_mean,Atomic Number_mad,Atomic Volume_wtavg,Atomic Weight_wtavg,Boiling Temperature_wtavg,Periodic Table Column_mean,Periodic Table Column_mad,Covalent Radius_wtavg,Density_wtavg,Dipole Polarizability_wtavg,Electron Affinity_wtavg,Electronegativity_wtavg,Fusion Enthalpy_wtavg,GS Bandgap_wtavg,GS Energy_wtavg,Heat Capacity (Mass)_wtavg,Heat Capacity (Molar)_wtavg,Heat Fusion_wtavg,First Ionization Energy_wtavg,Second Ionization Energy_wtavg,Third Ionization Energy_wtavg,Fourth Ionization Energy_wtavg,Fifth Ionization Energy_wtavg,Sixth Ionization Energy_wtavg,Seventh Ionization Energy_wtavg,Eighth Ionization Energy_wtavg,IsAlkali_mean,IsAlkali_mad,IsDBlock_mean,IsDBlock_mad,IsFBlock_mean,IsFBlock_mad,IsMetal_mean,IsMetal_mad,IsMetalloid_mean,IsMetalloid_mad,IsNonmetal_mean,IsNonmetal_mad,Melting Temperature_wtavg,Mendeleev Number_mean,Mendeleev Number_mad,Number d-shell Unfilled Electrons_mean,Number d-shell Unfilled Electrons_mad,Number d-shell Valance Electrons_mean,Number d-shell Valance Electrons_mad,Number f-shell Unfilled Electrons_mean,Number f-shell Unfilled Electrons_mad,Number f-shell Valance Electrons_mean,Number f-shell Valance Electrons_mad,Number p-shell Unfilled Electrons_mean,Number p-shell Unfilled Electrons_mad,Number p-shell Valance Electrons_mean,Number p-shell Valance Electrons_mad,Number s-shell Unfilled Electrons_mean,Number s-shell Unfilled Electrons_mad,Number s-shell Valance Electrons_mean,Number s-shell Valance Electrons_mad,Number Unfilled Electrons_mean,Number Unfilled Electrons_mad,Number Valence Electrons_mean,Number Valence Electrons_mad,Polarizability_wtavg,Periodic Table Row_mean,Periodic Table Row_mad,Zunger Pseudopotential (d)_mean,Zunger Pseudopotential (d)_mad,Zunger Pseudopotential (p)_mean,Zunger Pseudopotential (p)_mad,Zunger Pseudopotential (pi)_mean,Zunger Pseudopotential (pi)_mad,Zunger Pseudopotential (s)_mean,Zunger Pseudopotential (s)_mad,Zunger Pseudopotential (sigma)_mean,Zunger Pseudopotential (sigma)_mad,phi_mean,phi_mad,Conductivity_wtavg,Measured Conversion,Element Dictionary,kmeans
75_450_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,450.0,2159.5979899999998,0.9273897059999999,0.0,3.0,3.0,33.666666666666664,9.777777777777779,68.10697768187501,52.06935,1360.75,3.6666666666666665,2.888888888888889,197.9375,1908.25,37.813125,43.574374999999996,0.930625,5.55625,0.0,-1.7133469328750002,0.64,28.726875000000003,5.55625,4.783313100000001,26.83814375,44.17575,56.37,75.42,91.57500000000002,108.045,139.09125,0.6666666666666666,0.4444444444444445,0.3333333333333333,0.4444444444444444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,612.21,22.333333333333332,22.444444444444443,1.0,1.3333333333333333,2.3333333333333335,3.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4444444444444445,1.3333333333333333,0.4444444444444444,1.6666666666666667,1.5555555555555556,3.6666666666666665,2.888888888888889,37.813125,4.666666666666667,0.44444444444444436,0.4843333333333333,0.0991111111111111,1.8,0.2333333333333333,0.43166666666666664,0.11888888888888888,1.3683333333333334,0.14888888888888885,3.168333333333333,0.37555555555555564,3.35,1.366666666666667,90.825,1.0,"dict_items([('Ru', 1), ('Sr', 3.0), ('K', 12)])",1
66_350_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,350.0,2381.909548,0.941666667,0.0,3.0,3.0,36.0,11.333333333333334,60.307423750000005,54.935381250000006,1794.4375,6.0,3.3333333333333335,188.0,3749.5,34.635,63.2,1.18,9.14875,0.0,-2.757877917875,0.6281875,28.387500000000003,9.14875,5.114072475,28.16,41.957625,45.6825,61.995,74.55000000000001,88.17,116.16,0.3333333333333333,0.4444444444444445,0.6666666666666666,0.4444444444444445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,834.7725,39.333333333333336,24.222222222222218,1.6666666666666667,1.111111111111111,5.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.6666666666666665,1.1111111111111112,6.0,3.3333333333333335,34.635,4.666666666666667,0.44444444444444436,0.41333333333333333,0.02888888888888889,1.6733333333333331,0.3177777777777777,0.4083333333333334,0.13444444444444445,1.265,0.18333333333333326,2.938333333333333,0.501111111111111,4.3500000000000005,1.4000000000000001,112.3125,1.0,"dict_items([('Ru', 1), ('Rh', 3.0), ('K', 12)])",1
25_250_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,250.0,1925.625,1.0533333329999999,0.00610577,8.0,1.0,44.0,0.0,13.56787441,101.07,4423.0,8.0,0.0,146.0,12370.0,9.6,101.3,2.2,38.59,0.0,-9.19463357,0.23800000000000002,24.06,38.59,7.3605,16.76,28.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2607.0,56.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,9.6,5.0,0.0,0.45,0.0,1.46,0.0,0.315,0.0,1.145,0.0,2.605,0.0,5.4,0.0,117.0,0.11981231699999999,"dict_items([('Ru', 4)])",0
57_400_0,0.0,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,400.0,2310.452261,0.910625108,0.013225289,5.0,3.0,27.666666666666668,10.888888888888891,65.78461327937501,43.155225,1379.875,3.6666666666666665,2.888888888888889,194.375,1705.75,37.847499999375,43.075624999999995,0.94,5.764375,0.0,-1.7631311763125002,0.7039375,28.5654375,5.764375,4.861746225,26.9959475,45.68008125,58.295625,77.83875,94.94625000000002,112.02000000000001,143.76749999999998,0.6666666666666666,0.4444444444444445,0.3333333333333333,0.4444444444444444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,624.3975,22.0,22.666666666666668,1.0,1.3333333333333333,2.3333333333333335,3.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4444444444444445,1.3333333333333333,0.4444444444444444,1.6666666666666667,1.5555555555555556,3.6666666666666665,2.888888888888889,37.847499999375,4.333333333333333,0.44444444444444436,0.3866666666666667,0.04222222222222224,1.763333333333333,0.25777777777777766,0.4283333333333334,0.12111111111111113,1.335,0.13666666666666663,3.098333333333333,0.3944444444444444,3.4,1.3333333333333333,121.875,0.9529165409999999,"dict_items([('Ru', 1), ('Ca', 3.0), ('K', 12)])",1
65_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,2279.15,1.152512998,0.036147677999999996,4.0,3.0,36.0,11.333333333333334,60.297571537500005,54.820662500000005,1822.875,6.0,3.3333333333333335,188.25,3744.5,34.6975,62.675,1.175,9.898750000000001,0.0,-2.879189671,0.627875,28.330000000000002,9.898750000000001,5.1079224750000005,28.0775,41.79575,45.6825,61.995,74.55000000000001,88.17,116.16,0.3333333333333333,0.4444444444444445,0.6666666666666666,0.4444444444444445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,857.8975,39.333333333333336,24.222222222222218,1.6666666666666667,1.111111111111111,5.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.6666666666666665,1.1111111111111112,6.0,3.3333333333333335,34.6975,4.666666666666667,0.44444444444444436,0.41333333333333333,0.02888888888888889,1.6733333333333331,0.3177777777777777,0.4083333333333334,0.13444444444444445,1.265,0.18333333333333326,2.938333333333333,0.501111111111111,4.3500000000000005,1.4000000000000001,110.25,0.433214504,"dict_items([('Ru', 2), ('Rh', 2.0), ('K', 12)])",1
74_400_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,400.0,2419.375,1.020408163,0.0,3.0,3.0,33.666666666666664,9.777777777777779,65.49727415875,52.909975,1533.75,3.6666666666666665,2.888888888888889,194.875,2517.0,36.81625,49.591249999999995,1.00875,7.50375,0.0,-2.1828356810000002,0.63575,28.556250000000002,7.50375,4.887416225000001,27.1962625,43.2745,52.8075,70.945,85.9,101.42,131.4475,0.6666666666666666,0.4444444444444445,0.3333333333333333,0.4444444444444444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,709.5225,22.333333333333332,22.444444444444443,1.0,1.3333333333333333,2.3333333333333335,3.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4444444444444445,1.3333333333333333,0.4444444444444444,1.6666666666666667,1.5555555555555556,3.6666666666666665,2.888888888888889,36.81625,4.666666666666667,0.44444444444444436,0.4843333333333333,0.0991111111111111,1.8,0.2333333333333333,0.43166666666666664,0.11888888888888888,1.3683333333333334,0.14888888888888885,3.168333333333333,0.37555555555555564,3.35,1.366666666666667,95.925,1.0,"dict_items([('Ru', 2), ('Sr', 2.0), ('K', 12)])",1
16_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,250.0,2176.45,1.0499092559999998,0.006731058000000001,8.0,3.0,30.666666666666668,8.88888888888889,60.06062555250001,49.900725,1726.875,6.666666666666667,3.7777777777777772,187.0,3303.25,34.39125,63.762499999999996,1.1275,8.275,0.0,-2.4325658335,0.645625,28.262500000000003,8.275,5.141357475,28.35405,42.518375000000006,52.855,71.97,87.42500000000001,105.545,136.91,0.3333333333333333,0.4444444444444445,0.6666666666666666,0.4444444444444445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,747.99375,41.0,25.333333333333332,1.0,1.3333333333333333,5.666666666666667,3.7777777777777772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.3333333333333333,6.666666666666667,3.7777777777777772,34.39125,4.333333333333333,0.44444444444444436,0.33499999999999996,0.10000000000000002,1.5899999999999999,0.3733333333333333,0.40166666666666667,0.13888888888888887,1.1883333333333332,0.23444444444444443,2.778333333333333,0.6077777777777776,4.033333333333334,1.1888888888888889,141.625,0.133773299,"dict_items([('Ru', 2), ('Cu', 2.0), ('K', 12)])",1
75_350_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,350.0,2159.5979899999998,0.9273897059999999,0.005100161,3.0,3.0,33.666666666666664,9.777777777777779,68.10697768187501,52.06935,1360.75,3.6666666666666665,2.888888888888889,197.9375,1908.25,37.813125,43.574374999999996,0.930625,5.55625,0.0,-1.7133469328750002,0.64,28.726875000000003,5.55625,4.783313100000001,26.83814375,44.17575,56.37,75.42,91.57500000000002,108.045,139.09125,0.6666666666666666,0.4444444444444445,0.3333333333333333,0.4444444444444444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,612.21,22.333333333333332,22.444444444444443,1.0,1.3333333333333333,2.3333333333333335,3.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4444444444444445,1.3333333333333333,0.4444444444444444,1.6666666666666667,1.5555555555555556,3.6666666666666665,2.888888888888889,37.813125,4.666666666666667,0.44444444444444436,0.4843333333333333,0.0991111111111111,1.8,0.2333333333333333,0.43166666666666664,0.11888888888888888,1.3683333333333334,0.14888888888888885,3.168333333333333,0.37555555555555564,3.35,1.366666666666667,90.825,0.9530922409999999,"dict_items([('Ru', 1), ('Sr', 3.0), ('K', 12)])",1
40_450_1,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,450.0,2393.819095,1.011608624,0.00020926900000000002,3.0,3.0,30.333333333333332,9.11111111111111,60.113705239375,51.942687500000005,1802.4375,6.333333333333333,3.555555555555556,187.375,3518.125,34.6475,62.293749999999996,1.146875,10.079375,0.0,-2.89379386475,0.6401249999999999,28.340625000000003,10.079375,5.113078725,28.0005525,41.892,49.113749999999996,66.74875,81.30000000000001,96.4825,126.285,0.3333333333333333,0.4444444444444445,0.6666666666666666,0.4444444444444445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,849.21,40.0,24.666666666666668,1.6666666666666667,1.111111111111111,5.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4444444444444445,1.3333333333333333,0.4444444444444444,2.3333333333333335,1.1111111111111112,6.333333333333333,3.555555555555556,34.6475,4.333333333333333,0.44444444444444436,0.3383333333333334,0.09555555555555555,1.61,0.36000000000000004,0.395,0.14333333333333334,1.215,0.2166666666666667,2.8249999999999997,0.5766666666666665,4.283333333333334,1.3555555555555554,104.49375,0.9997907309999999,"dict_items([('Ru', 3), ('Ni', 1.0), ('K', 12)])",1
126_350_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,350.0,2232.935752,1.00177305,0.011844232,3.0,2.0,41.5,2.5,28.1518782625,91.9468875,3819.25,5.5,2.5,179.0,6446.5,19.424999999999997,47.525000000000006,1.465,18.19,0.0,-7.14710822375,0.283,25.9125,18.19,6.5031,13.358,22.5075,45.44775,57.75,69.75,87.0,96.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2001.0,34.0,22.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.5,6.5,2.5,5.5,2.5,19.424999999999997,5.0,0.0,0.515,0.06499999999999997,1.54,0.08000000000000007,0.3075,0.007500000000000007,1.2325,0.08750000000000002,2.7725,0.16749999999999998,4.300000000000001,1.1,42.15,0.695088092,"dict_items([('Ru', 1), ('Y', 3.0)])",0
