,Feature Importance
Mg Loading,0.0015313694347170114
K Loading,0.00023524055143932568
Ca Loading,0.0013858085366821008
Sc Loading,0.002361128814310484
Cr Loading,0.001210511706398642
Mn Loading,0.0007629504174332768
Fe Loading,0.0
Co Loading,0.00016583718665527991
Ni Loading,0.005436523759463169
Cu Loading,0.0055656119805023605
Zn Loading,0.0005607996415675946
Sr Loading,0.0012210922545245401
Y Loading,0.0008155202863350219
Mo Loading,0.012555798202668687
Ru Loading,0.04077824147783326
Rh Loading,0.01503110480405939
Pd Loading,0.010157189519606652
In Loading,0.0009327008288501462
Hf Loading,0.0013471356295869732
W Loading,0.003429852427517305
Re Loading,0.005544555446039525
Os Loading,0.0
Ir Loading,0.0005148317735208138
Pt Loading,4.897946249931453e-05
Bi Loading,3.5148668490916325e-05
reactor_number,0.00938588452637424
temperature,0.2240320964634906
space_velocity,0.0164724640104014
ammonia_concentration,0.07804280237770145
n_elements,0.007030187991412659
Atomic Number_mean,0.007116913412956062
Atomic Number_mad,0.004804338257387244
Atomic Volume_wtavg,0.0023175508342486682
Atomic Weight_wtavg,0.012718382076943898
Boiling Temperature_wtavg,0.006901668070090719
Periodic Table Column_mean,0.045170692967848786
Periodic Table Column_mad,0.008831320498314027
Covalent Radius_wtavg,0.004884303083602918
Density_wtavg,0.0065831609002482295
Dipole Polarizability_wtavg,0.0015399492430697703
Electron Affinity_wtavg,0.005572506265215175
Electronegativity_wtavg,0.002919849861553313
Fusion Enthalpy_wtavg,0.006427114874858468
GS Bandgap_wtavg,0.0
GS Energy_wtavg,0.009966719415352085
Heat Capacity (Mass)_wtavg,0.00715816490118576
Heat Capacity (Molar)_wtavg,0.0021612301358562747
Heat Fusion_wtavg,0.005652739560683089
First Ionization Energy_wtavg,0.0024046865400505634
Second Ionization Energy_wtavg,0.003998340264097159
Third Ionization Energy_wtavg,0.005184088334792288
Fourth Ionization Energy_wtavg,0.01673496647478026
Fifth Ionization Energy_wtavg,0.00806671829223986
Sixth Ionization Energy_wtavg,0.010454458586030972
Seventh Ionization Energy_wtavg,0.011669865244008416
Eighth Ionization Energy_wtavg,0.007451009771494594
IsAlkali_mean,0.004826366649608187
IsAlkali_mad,0.0004133578883250644
IsDBlock_mean,0.0012851550564996843
IsDBlock_mad,0.00022215064867118632
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.005690687942328831
Mendeleev Number_mean,0.013657770419320038
Mendeleev Number_mad,0.0061631955923412566
Number d-shell Unfilled Electrons_mean,0.003967374300957555
Number d-shell Unfilled Electrons_mad,0.015193375115951792
Number d-shell Valance Electrons_mean,0.059967180380989984
Number d-shell Valance Electrons_mad,0.009655607910500765
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0007917076247430311
Number f-shell Valance Electrons_mad,0.000174046265846384
Number p-shell Unfilled Electrons_mean,0.0018254383290266674
Number p-shell Unfilled Electrons_mad,0.000818392967458368
Number p-shell Valance Electrons_mean,0.00025064481452068485
Number p-shell Valance Electrons_mad,0.0009747713300114535
Number s-shell Unfilled Electrons_mean,0.0024310721025050277
Number s-shell Unfilled Electrons_mad,0.007822474619849125
Number s-shell Valance Electrons_mean,0.004474987665826957
Number s-shell Valance Electrons_mad,0.0050325709140184105
Number Unfilled Electrons_mean,0.0042711420708753025
Number Unfilled Electrons_mad,0.012445362320605923
Number Valence Electrons_mean,0.018275920974515285
Number Valence Electrons_mad,0.007336837894050028
Polarizability_wtavg,0.0017678977927979033
Periodic Table Row_mean,0.007572338938707021
Periodic Table Row_mad,0.0032944878593766463
Zunger Pseudopotential (d)_mean,0.0029346692207144315
Zunger Pseudopotential (d)_mad,0.0064165011315947505
Zunger Pseudopotential (p)_mean,0.022240500215302408
Zunger Pseudopotential (p)_mad,0.0022888260128422883
Zunger Pseudopotential (pi)_mean,0.01051831565948917
Zunger Pseudopotential (pi)_mad,0.003998762474312694
Zunger Pseudopotential (s)_mean,0.02130745474408589
Zunger Pseudopotential (s)_mad,0.005409998077995713
Zunger Pseudopotential (sigma)_mean,0.025517631520023322
Zunger Pseudopotential (sigma)_mad,0.002139147499989145
phi_mean,0.025318634395199647
phi_mad,0.012669171276009581
Conductivity_wtavg,0.005355965335221667
