,Feature Importance
Mg Loading,0.00041798621620969687
K Loading,6.649963401340593e-05
Ca Loading,0.00015527409127234692
Sc Loading,0.0003995923231365789
Cr Loading,3.587984408006059e-05
Mn Loading,0.0003493715972585496
Fe Loading,0.0
Co Loading,6.606775330727531e-05
Ni Loading,0.001353644667985854
Cu Loading,0.00515895832993128
Zn Loading,0.0002876084122442763
Sr Loading,0.000634441309657843
Y Loading,0.00029642405074618497
Mo Loading,0.017169194746597567
Ru Loading,0.028714332584881347
Rh Loading,0.005275634951562252
Pd Loading,0.009544035848077774
In Loading,0.009498790950581811
Hf Loading,0.001179091390508458
W Loading,0.004251437434559691
Re Loading,0.0029497588617430548
Os Loading,0.0
Ir Loading,0.0017086625668832804
Pt Loading,0.0
Bi Loading,6.745274041215997e-05
reactor_number,0.0037297984796429316
temperature,0.5180363807300764
space_velocity,0.011495781533341439
ammonia_concentration,0.07295994052575724
n_elements,0.0038450028347285447
Atomic Number_mean,0.0036015227880051947
Atomic Number_mad,0.004117427972530951
Atomic Volume_wtavg,0.00166251039316448
Atomic Weight_wtavg,0.005333552765977553
Boiling Temperature_wtavg,0.0022409055434064935
Periodic Table Column_mean,0.02723591987020291
Periodic Table Column_mad,0.0037644119553064603
Covalent Radius_wtavg,0.005425938054985574
Density_wtavg,0.003576496133485979
Dipole Polarizability_wtavg,0.0014575247706416342
Electron Affinity_wtavg,0.0032034578415031404
Electronegativity_wtavg,0.0018100880025887838
Fusion Enthalpy_wtavg,0.0023177991325434213
GS Bandgap_wtavg,0.0
GS Energy_wtavg,0.0038227245349763996
Heat Capacity (Mass)_wtavg,0.003295237907107172
Heat Capacity (Molar)_wtavg,0.0014662774829806624
Heat Fusion_wtavg,0.003559523484105949
First Ionization Energy_wtavg,0.0017738991542661895
Second Ionization Energy_wtavg,0.0028254330348656486
Third Ionization Energy_wtavg,0.0036336586035639797
Fourth Ionization Energy_wtavg,0.004274651114660793
Fifth Ionization Energy_wtavg,0.002124861918590187
Sixth Ionization Energy_wtavg,0.003298378260104357
Seventh Ionization Energy_wtavg,0.004753223515671823
Eighth Ionization Energy_wtavg,0.003140774868368384
IsAlkali_mean,0.004615351753860489
IsAlkali_mad,0.0003832114818024907
IsDBlock_mean,0.0009419172609819199
IsDBlock_mad,0.0005928452236459206
IsFBlock_mean,0.0
IsFBlock_mad,0.0
IsMetal_mean,0.0
IsMetal_mad,0.0
IsMetalloid_mean,0.0
IsMetalloid_mad,0.0
IsNonmetal_mean,0.0
IsNonmetal_mad,0.0
Melting Temperature_wtavg,0.0035422885510438475
Mendeleev Number_mean,0.013495155894667517
Mendeleev Number_mad,0.0036317900586544205
Number d-shell Unfilled Electrons_mean,0.0014787678498542768
Number d-shell Unfilled Electrons_mad,0.009121984905045703
Number d-shell Valance Electrons_mean,0.025430097013558483
Number d-shell Valance Electrons_mad,0.004311379812950042
Number f-shell Unfilled Electrons_mean,0.0
Number f-shell Unfilled Electrons_mad,0.0
Number f-shell Valance Electrons_mean,0.0007038654797082544
Number f-shell Valance Electrons_mad,6.793023618518128e-05
Number p-shell Unfilled Electrons_mean,0.00666168354184864
Number p-shell Unfilled Electrons_mad,0.0066604549322541685
Number p-shell Valance Electrons_mean,0.0032371236244059377
Number p-shell Valance Electrons_mad,0.0030523929635016046
Number s-shell Unfilled Electrons_mean,0.0013029364317139222
Number s-shell Unfilled Electrons_mad,0.0021604244094959794
Number s-shell Valance Electrons_mean,0.001653507143236201
Number s-shell Valance Electrons_mad,0.0008980045504126626
Number Unfilled Electrons_mean,0.001987913052697393
Number Unfilled Electrons_mad,0.006030496881842401
Number Valence Electrons_mean,0.009126402778368391
Number Valence Electrons_mad,0.002932413523506434
Polarizability_wtavg,0.0013422806260221275
Periodic Table Row_mean,0.0019151466790860063
Periodic Table Row_mad,0.002074060575655796
Zunger Pseudopotential (d)_mean,0.002020012003766819
Zunger Pseudopotential (d)_mad,0.004960059981621735
Zunger Pseudopotential (p)_mean,0.008486690415589863
Zunger Pseudopotential (p)_mad,0.0017845969616040237
Zunger Pseudopotential (pi)_mean,0.004930086514799073
Zunger Pseudopotential (pi)_mad,0.0028822647928872687
Zunger Pseudopotential (s)_mean,0.008475448835813158
Zunger Pseudopotential (s)_mad,0.0022928587286058684
Zunger Pseudopotential (sigma)_mean,0.011985704685508532
Zunger Pseudopotential (sigma)_mad,0.0029976958703110406
phi_mean,0.018723900448162377
phi_mad,0.0049309521415569595
Conductivity_wtavg,0.002814657870965725
