,Feature Importance
Mg Loading,0.0001990734242225635
K Loading,0.0
Ca Loading,0.0020988522211285356
Sc Loading,0.0024371803450911646
Cr Loading,0.0010702569828925682
Mn Loading,0.0010484878884590137
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0006095642113688592
Cu Loading,0.0021615722841124077
Zn Loading,0.00011941123243684345
Sr Loading,0.0004435423740469808
Y Loading,0.00043804787718181563
Mo Loading,0.001078641897502946
Ru Loading,0.00917903307466234
Rh Loading,0.00400236438215674
Pd Loading,0.00029020338601712706
In Loading,0.00029217762847888093
Hf Loading,0.0009473661756539868
W Loading,0.000441718217334453
Re Loading,0.0006267869681350177
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,4.5951037025109156e-05
reactor_number,0.01002795048730454
temperature,0.3212525812252214
space_velocity,0.006744135835855282
ammonia_concentration,0.009235991097175796
n_elements,0.0
p2,0.0037618004594132193
p3,0.003634918506672588
p5,0.0036706063441158047
p7,0.0034666654603776876
p10,0.0
Atomic Number_fwmean,0.005500388913962222
Atomic Number_avgdev,0.0011351440170953905
Atomic Number_min,0.0
Atomic Number_max,0.0006311621428847499
Atomic Number_rng,0.00023816964886968069
Atomic Volume_fwmean,0.0020394732278555035
Atomic Volume_avgdev,0.000821211859541643
Atomic Volume_min,0.0
Atomic Volume_max,0.00027008266538963986
Atomic Volume_rng,0.0010202323709944605
Atomic Weight_fwmean,0.007739146713541626
Atomic Weight_avgdev,0.0013788697806601633
Atomic Weight_min,7.421318022369746e-05
Atomic Weight_max,0.00038853265993468234
Atomic Weight_rng,0.00025226131238280527
Boiling Temperature_fwmean,0.00374703326444913
Boiling Temperature_avgdev,0.002073185130654943
Boiling Temperature_min,0.0003179475443502753
Boiling Temperature_max,0.0
Boiling Temperature_rng,0.0007288997503445932
Periodic Table Column_fwmean,0.010875183210949567
Periodic Table Column_avgdev,0.0321884797389171
Periodic Table Column_min,0.006244469282969543
Periodic Table Column_max,0.0
Periodic Table Column_rng,0.002467422583266857
Covalent Radius_fwmean,0.0015359137660066332
Covalent Radius_avgdev,0.008778298713028997
Covalent Radius_min,0.0
Covalent Radius_max,0.0023083389335728805
Covalent Radius_rng,0.0027672555474610406
Density_fwmean,0.005041580054794963
Density_avgdev,0.002645578626215496
Density_min,0.000420536108379147
Density_max,0.0
Density_rng,0.00021740725639836985
Dipole Polarizability_fwmean,0.0014411432797861196
Dipole Polarizability_avgdev,0.004994564027445093
Dipole Polarizability_min,0.0
Dipole Polarizability_max,0.0013965702295942056
Dipole Polarizability_rng,0.000599764715897824
Electron Affinity_fwmean,0.0027402381335189744
Electron Affinity_avgdev,0.004885710633761301
Electron Affinity_min,0.0014923438132004982
Electron Affinity_max,0.0037924475246968897
Electron Affinity_rng,0.0015126836264848199
Electronegativity_fwmean,0.0024147672305505834
Electronegativity_avgdev,0.008604373237227226
Electronegativity_min,0.002897371472459375
Electronegativity_max,0.0
Electronegativity_rng,0.0042100831936247975
Fusion Enthalpy_fwmean,0.0033522137946269074
Fusion Enthalpy_avgdev,0.006249128324709419
Fusion Enthalpy_min,0.00046978261368992935
Fusion Enthalpy_max,0.0
