,Feature Importance
Mg Loading,2.7240220472552487e-05
K Loading,0.0
Ca Loading,0.0005725744423181429
Sc Loading,0.009332969152959798
Cr Loading,0.0007894250855577129
Mn Loading,6.19165020981118e-05
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0
Cu Loading,0.05091810326001024
Zn Loading,0.0
Sr Loading,2.0409857207140123e-05
Y Loading,1.9022209495487674e-05
Mo Loading,0.07724295563753937
Ru Loading,0.003685630627624489
Rh Loading,0.0
Pd Loading,7.381348862286891e-05
In Loading,0.03638164951886669
Hf Loading,0.0001307060560513684
W Loading,0.006007489287328238
Re Loading,0.00114257632683804
Os Loading,0.0
Ir Loading,0.0007283232360956736
Pt Loading,0.0
Bi Loading,0.0012832008630087517
reactor_number,0.00595847220432302
temperature,0.0
space_velocity,0.00503261770445209
ammonia_concentration,0.009544941513582712
n_elements,0.0
p2,0.0004902089763594799
p3,0.0022197870295464265
p5,0.0012542918890824906
p7,0.0013298959416186906
p10,0.0
Atomic Number_fwmean,0.005048838546460422
Atomic Number_avgdev,0.01029787980555545
Atomic Number_min,0.00202236413189863
Atomic Number_max,1.610287945959009e-05
Atomic Number_rng,0.0031731930409671667
Atomic Volume_fwmean,0.0010149272588156131
Atomic Volume_avgdev,0.0020491617714604488
Atomic Volume_min,0.0
Atomic Volume_max,2.15324289483139e-05
Atomic Volume_rng,0.0
Atomic Weight_fwmean,0.0051970171575453075
Atomic Weight_avgdev,0.003806041858083597
Atomic Weight_min,0.006499160142157804
Atomic Weight_max,0.0
Atomic Weight_rng,0.0028358112669375607
Boiling Temperature_fwmean,0.003842470029514819
Boiling Temperature_avgdev,0.000996054087811225
Boiling Temperature_min,0.0001655159999943277
Boiling Temperature_max,0.0
Boiling Temperature_rng,0.00015537835845527904
Periodic Table Column_fwmean,0.0036995655357698527
Periodic Table Column_avgdev,0.00404906132069681
Periodic Table Column_min,0.002698469540375422
Periodic Table Column_max,0.0
Periodic Table Column_rng,0.0007205624903921853
Covalent Radius_fwmean,0.003126395949831785
Covalent Radius_avgdev,0.002057795261378499
Covalent Radius_min,0.0
Covalent Radius_max,0.0002264380822160201
Covalent Radius_rng,7.7692750305909e-05
Density_fwmean,0.009383714564570928
Density_avgdev,0.015646865881403377
Density_min,0.0001566499058937358
Density_max,0.0
Density_rng,2.5850049036278203e-05
Dipole Polarizability_fwmean,0.0034793586198700955
Dipole Polarizability_avgdev,0.002152711608694503
Dipole Polarizability_min,0.0
