,Feature Importance
ammonia,0.06928472816615087
space,0.050935271215407016
Number Unfilled Electrons,0.047069086775643344
reactor,0.04451591045966742
Number d-shell Valance Electrons,0.03929162240168765
Periodic Table Column,0.03545023651829382
Second Ionization Energy,0.031168514498538438
Density,0.02904301198897117
Electronegativity,0.027323061361055855
Covalent Radius,0.026686728502198706
Sixth Ionization Energy,0.025918999590507266
Fifth Ionization Energy,0.024878795350020175
Number d-shell Unfilled Electrons,0.023585761731752065
Zunger Pseudopotential (d),0.022821090538086973
Polarizability,0.022476073072733527
Fourth Ionization Energy,0.021043673686627587
Eighth Ionization Energy,0.020662645442491016
phi,0.019455987863839015
Atomic Weight,0.01843280278429297
Electron Affinity,0.018317634814172014
Heat Capacity (Mass),0.016838351862860437
Seventh Ionization Energy,0.01671559222875001
Boiling Temperature,0.016391826408819133
Conductivity,0.015572682369006816
GS Energy,0.014589630950168624
Third Ionization Energy,0.013995586575458605
Number s-shell Unfilled Electrons,0.01398911292276648
Zunger Pseudopotential (pi),0.013948418017952562
Atomic Number,0.013871128385037436
Dipole Polarizability,0.013724369201255809
Mendeleev Number,0.01364374363507884
Number s-shell Valance Electrons,0.013354201259015638
Zunger Pseudopotential (p),0.01211840552970159
Zunger Pseudopotential (s),0.011783389043134323
Ru Loading,0.011333833492413084
Heat Fusion,0.011168763411330631
First Ionization Energy,0.011046629060378635
Periodic Table Row,0.010929230515203954
Re Loading,0.009778576336278396
Fusion Enthalpy,0.009558854351704898
Atomic Volume,0.009398815276817839
Zunger Pseudopotential (sigma),0.009293747749945805
Heat Capacity (Molar),0.009157136582346268
Melting Temperature,0.008910561111282182
Y Loading,0.008100242024443953
Sr Loading,0.0077346677460564325
IsAlkali,0.006728324203529072
Number Valence Electrons,0.006346655494370631
Mn Loading,0.006029771969863713
Ni Loading,0.0055380602251642605
Hf Loading,0.0053681011542436995
Mg Loading,0.005143234425571391
Mo Loading,0.004861393495063467
Sc Loading,0.004687927325527677
Cr Loading,0.004685037112521885
Rh Loading,0.003398221233453347
Cu Loading,0.0032484340511771594
IsDBlock,0.0023539429363587275
Number f-shell Valance Electrons,0.00153733497503785
W Loading,0.0013993487800584156
Ca Loading,0.0013007043066195995
Pd Loading,0.0010862186776471963
Zn Loading,0.0003320233834773021
In Loading,0.0002914092680622243
Number p-shell Valance Electrons,0.00024395764040624097
Number p-shell Unfilled Electrons,0.00011076653250087092
Number f-shell Unfilled Electrons,0.0
Os Loading,0.0
Ir Loading,0.0
GS Bandgap,0.0
IsNonmetal,0.0
Pt Loading,0.0
Bi Loading,0.0
Co Loading,0.0
Fe Loading,0.0
temperature,0.0
IsMetalloid,0.0
IsMetal,0.0
n,0.0
IsFBlock,0.0
K Loading,0.0
