,Feature Importance
Mg Loading,0.00034781437267700823
K Loading,0.0
Ca Loading,0.0008731561719696351
Sc Loading,0.0009701077648329394
Cr Loading,0.0008282520707727115
Mn Loading,0.0002694069712081458
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.0003985963575176138
Cu Loading,0.008050959221742952
Zn Loading,7.09532534177179e-05
Sr Loading,0.0002883341205129943
Y Loading,0.00034523542754681604
Mo Loading,0.020086519937628684
Ru Loading,0.009423743082201983
Rh Loading,0.003266055906043438
Pd Loading,0.000117048183937589
In Loading,0.012692914939137014
Hf Loading,0.0006193079486113564
W Loading,0.0013017069930644331
Re Loading,0.0002908059242707605
Os Loading,0.0
Ir Loading,0.0006376163660888528
Pt Loading,0.0
Bi Loading,0.0007658574475933688
reactor_number,0.0038856860567596774
temperature,0.5862892428315177
space_velocity,0.0020253278381092816
ammonia_concentration,0.006547093524948677
n_elements,0.0
Atomic Number_fwmean,0.004133997126204722
Atomic Number_avgdev,0.0011182794769067459
Atomic Volume_fwmean,0.0023870213048448673
Atomic Volume_avgdev,0.002243540315035855
Atomic Weight_fwmean,0.002839944735082092
Atomic Weight_avgdev,0.0017764664134629808
Boiling Temperature_fwmean,0.0026229380906785745
Boiling Temperature_avgdev,0.0010864960512980458
Periodic Table Column_fwmean,0.0075877957294893
Periodic Table Column_avgdev,0.012036058327581606
Covalent Radius_fwmean,0.0012038069413428428
Covalent Radius_avgdev,0.008524932841716433
Density_fwmean,0.0033076645974516056
Density_avgdev,0.004233481029916902
Dipole Polarizability_fwmean,0.0007795389524536766
Dipole Polarizability_avgdev,0.005790005318327521
Electron Affinity_fwmean,0.002033908950360453
Electron Affinity_avgdev,0.004276184315937407
Electronegativity_fwmean,0.001559817695585653
Electronegativity_avgdev,0.013708200105141755
Fusion Enthalpy_fwmean,0.003583559674816839
Fusion Enthalpy_avgdev,0.005679470766746136
GS Bandgap_fwmean,0.0
GS Bandgap_avgdev,0.0
GS Energy_fwmean,0.0014733075129943895
GS Energy_avgdev,0.0015747929592328758
Heat Capacity (Mass)_fwmean,0.0018282787383427277
Heat Capacity (Mass)_avgdev,0.0018113437903339914
Heat Capacity (Molar)_fwmean,0.00075842934712261
Heat Capacity (Molar)_avgdev,0.0031849764376904025
Heat Fusion_fwmean,0.002999780367467183
Heat Fusion_avgdev,0.007983743370765722
First Ionization Energy_fwmean,0.00140112902636837
First Ionization Energy_avgdev,0.0012387664862997217
Second Ionization Energy_fwmean,0.0036159250391211988
Second Ionization Energy_avgdev,0.009513763086914115
Third Ionization Energy_fwmean,0.004373311015963096
Third Ionization Energy_avgdev,0.012769738762760658
Fourth Ionization Energy_fwmean,0.003543770966987926
Fourth Ionization Energy_avgdev,0.003024754711706239
Fifth Ionization Energy_fwmean,0.0028031018247300313
Fifth Ionization Energy_avgdev,0.004341616374273527
Sixth Ionization Energy_fwmean,0.002963637272575277
Sixth Ionization Energy_avgdev,0.002413203176960429
Seventh Ionization Energy_fwmean,0.003173597952525336
Seventh Ionization Energy_avgdev,0.0023812417694480726
Eighth Ionization Energy_fwmean,0.0038305950093421707
Eighth Ionization Energy_avgdev,0.002074906937142773
IsAlkali_fwmean,0.0013432728755250803
IsAlkali_avgdev,0.0015799441799246158
IsDBlock_fwmean,0.00039357641449147795
IsDBlock_avgdev,0.0003578672991001259
IsFBlock_fwmean,0.0
IsFBlock_avgdev,0.0
IsMetal_fwmean,0.0
IsMetal_avgdev,0.0
IsMetalloid_fwmean,0.0
IsMetalloid_avgdev,0.0
IsNonmetal_fwmean,0.0
IsNonmetal_avgdev,0.0
Melting Temperature_fwmean,0.0036118849451398545
Melting Temperature_avgdev,0.004192862868861527
Mendeleev Number_fwmean,0.0032715507409434323
Mendeleev Number_avgdev,0.004884132396407493
Number d-shell Unfilled Electrons_fwmean,0.0008313552304377946
Number d-shell Unfilled Electrons_avgdev,0.0017479817150001878
Number d-shell Valance Electrons_fwmean,0.0009195482444566641
Number d-shell Valance Electrons_avgdev,0.016983172773430377
Number f-shell Unfilled Electrons_fwmean,0.0
Number f-shell Unfilled Electrons_avgdev,0.0
Number f-shell Valance Electrons_fwmean,0.00018592234032606425
Number f-shell Valance Electrons_avgdev,0.00012222218019672718
Number p-shell Unfilled Electrons_fwmean,0.012074857984640818
Number p-shell Unfilled Electrons_avgdev,0.011024079342290933
Number p-shell Valance Electrons_fwmean,0.008928138581553453
Number p-shell Valance Electrons_avgdev,0.0015011302676497986
Number s-shell Unfilled Electrons_fwmean,0.0014656663996905198
Number s-shell Unfilled Electrons_avgdev,0.0009205814822012805
Number s-shell Valance Electrons_fwmean,0.0016472671554445375
Number s-shell Valance Electrons_avgdev,0.0009286510003844895
Number Unfilled Electrons_fwmean,0.001582903743368296
Number Unfilled Electrons_avgdev,0.004993824709976405
Number Valence Electrons_fwmean,0.005161874932833132
Number Valence Electrons_avgdev,0.0071580463472065755
Polarizability_fwmean,0.0028365276182378434
Polarizability_avgdev,0.006103779616805606
Periodic Table Row_fwmean,0.003132277708498475
Periodic Table Row_avgdev,0.00043201951914748424
Zunger Pseudopotential (d)_fwmean,0.0030916046456542223
Zunger Pseudopotential (d)_avgdev,0.0019019626923622007
Zunger Pseudopotential (p)_fwmean,0.001583330964752281
Zunger Pseudopotential (p)_avgdev,0.0027297420414241773
Zunger Pseudopotential (pi)_fwmean,0.004893439906131386
Zunger Pseudopotential (pi)_avgdev,0.00917544503270036
Zunger Pseudopotential (s)_fwmean,0.002138004658497151
Zunger Pseudopotential (s)_avgdev,0.0014809094857898138
Zunger Pseudopotential (sigma)_fwmean,0.0021748207446188115
