,Feature Importance
temperature,0.48786513162073036
Periodic Table Column,0.04068754185865349
Third Ionization Energy,0.023783513551241107
Number d-shell Valance Electrons,0.02238343006838283
Heat Fusion,0.017538931861236576
Second Ionization Energy,0.016873283772438116
Conductivity,0.01672292825741212
Fusion Enthalpy,0.0167218324463241
Mo Loading,0.0167037324354054
Number Valence Electrons,0.015595752696025745
Electronegativity,0.015204888126200314
Number p-shell Valance Electrons,0.014333938936362428
Mendeleev Number,0.012576309174833898
Ru Loading,0.012467383403669898
Covalent Radius,0.012362745088934111
phi,0.011605703340617425
Polarizability,0.011498713722530009
Melting Temperature,0.01107598112584398
Density,0.010997432134056032
Number p-shell Unfilled Electrons,0.010943964743548886
Dipole Polarizability,0.010746610230293979
Zunger Pseudopotential (pi),0.01018841364082176
Fifth Ionization Energy,0.009939600018950225
Cu Loading,0.00946529187336361
Fourth Ionization Energy,0.00800808767202895
ammonia,0.007924675509454948
Zunger Pseudopotential (d),0.0075824960549307815
Sixth Ionization Energy,0.007049424060584895
Atomic Weight,0.007028712384316869
Number Unfilled Electrons,0.0066732647492600515
Eighth Ionization Energy,0.00666938699968532
Electron Affinity,0.00645765340254752
reactor,0.006379971814549869
Heat Capacity (Molar),0.006379965390373112
Boiling Temperature,0.005616766473332111
Seventh Ionization Energy,0.0053609078547171155
Atomic Number,0.005168229581030503
Zunger Pseudopotential (sigma),0.005003865869526828
Number d-shell Unfilled Electrons,0.00496304947459301
Heat Capacity (Mass),0.004938315602633868
Zunger Pseudopotential (s),0.0048831551095703755
In Loading,0.004693310627208602
Periodic Table Row,0.004682633664637826
Number s-shell Unfilled Electrons,0.0044755302450269
GS Energy,0.0042637183109755
Atomic Volume,0.004064930578297315
Number s-shell Valance Electrons,0.003987485973231745
space,0.003920991572132549
Zunger Pseudopotential (p),0.0037126838483010093
Rh Loading,0.003313865778265003
First Ionization Energy,0.0028542085117009585
IsAlkali,0.0024455190664443892
Cr Loading,0.0017578862902073015
IsDBlock,0.0014512008505473246
W Loading,0.001237301878459277
Sc Loading,0.0009334142409488455
Ca Loading,0.0008785041193359842
Re Loading,0.00084773085453667
Bi Loading,0.0008009695134250801
Ni Loading,0.000745313459397772
Zn Loading,0.0006948166690417052
Number f-shell Valance Electrons,0.0006774493885721518
Y Loading,0.0006455331025913381
Mg Loading,0.0006332147855070276
Mn Loading,0.0006003691301132267
Sr Loading,0.00046097965332300055
Hf Loading,0.00043228740628088887
Ir Loading,0.00038684531252407425
Pd Loading,3.032303795380544e-05
Pt Loading,0.0
Os Loading,0.0
IsNonmetal,0.0
Co Loading,0.0
IsMetalloid,0.0
Fe Loading,0.0
K Loading,0.0
GS Bandgap,0.0
Number f-shell Unfilled Electrons,0.0
IsFBlock,0.0
IsMetal,0.0
n,0.0
