,Feature Importance
Mg Loading,0.0006332147855070276
K Loading,0.0
Ca Loading,0.0008785041193359842
Sc Loading,0.0009334142409488455
Cr Loading,0.0017578862902073015
Mn Loading,0.0006003691301132267
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.000745313459397772
Cu Loading,0.00946529187336361
Zn Loading,0.0006948166690417052
Sr Loading,0.00046097965332300055
Y Loading,0.0006455331025913381
Mo Loading,0.0167037324354054
Ru Loading,0.012467383403669898
Rh Loading,0.003313865778265003
Pd Loading,3.032303795380544e-05
In Loading,0.004693310627208602
Hf Loading,0.00043228740628088887
W Loading,0.001237301878459277
Re Loading,0.00084773085453667
Os Loading,0.0
Ir Loading,0.00038684531252407425
Pt Loading,0.0
Bi Loading,0.0008009695134250801
reactor_number,0.006379971814549869
temperature,0.48786513162073036
space_velocity,0.003920991572132549
ammonia_concentration,0.007924675509454948
n_elements,0.0
Atomic Number_wt-mean,0.003424115880138664
Atomic Number_wt-mad,0.0017441137008918394
Atomic Volume_wt-mean,0.0020303887928753627
Atomic Volume_wt-mad,0.0020345417854219523
Atomic Weight_wt-mean,0.004268427852258314
Atomic Weight_wt-mad,0.0027602845320585543
Boiling Temperature_wt-mean,0.0033525448173777057
Boiling Temperature_wt-mad,0.0022642216559544052
Periodic Table Column_wt-mean,0.016494272054102966
Periodic Table Column_wt-mad,0.02419326980455052
Covalent Radius_wt-mean,0.0022384570159193133
Covalent Radius_wt-mad,0.010124288073014798
Density_wt-mean,0.004316447192840424
Density_wt-mad,0.006680984941215607
Dipole Polarizability_wt-mean,0.0023100932808581233
Dipole Polarizability_wt-mad,0.008436516949435854
Electron Affinity_wt-mean,0.002860518629616591
Electron Affinity_wt-mad,0.0035971347729309294
Electronegativity_wt-mean,0.00189830312702399
Electronegativity_wt-mad,0.013306584999176323
Fusion Enthalpy_wt-mean,0.005644297002058109
Fusion Enthalpy_wt-mad,0.011077535444265993
GS Bandgap_wt-mean,0.0
GS Bandgap_wt-mad,0.0
GS Energy_wt-mean,0.002040345446807283
GS Energy_wt-mad,0.002223372864168217
Heat Capacity (Mass)_wt-mean,0.0025581275008223396
