,Feature Importance
Atomic Number_wt-mad,0.0034018977932177372
Atomic Number_wt-mean,0.006239057806954374
Atomic Volume_wt-mad,0.004998860497379498
Atomic Volume_wt-mean,0.003152275253611136
Atomic Weight_wt-mad,0.0026861496121586784
Atomic Weight_wt-mean,0.011535022581781374
Bi Loading,0.0001505385146321707
Boiling Temperature_wt-mad,0.003741867539055508
Boiling Temperature_wt-mean,0.008009154541004393
Ca Loading,0.0009898876370473366
Co Loading,0.0
Conductivity_wt-mad,0.006162753511899235
Conductivity_wt-mean,0.008344962995097564
Covalent Radius_wt-mad,0.016715731138347144
Covalent Radius_wt-mean,0.004831435495203493
Cr Loading,0.005782096616840157
Cu Loading,0.0036440970645835683
Density_wt-mad,0.01733537374495964
Density_wt-mean,0.007018625900777137
Dipole Polarizability_wt-mad,0.017947913217964292
Dipole Polarizability_wt-mean,0.0040044808971020545
Eighth Ionization Energy_wt-mad,0.0071235468707974035
Eighth Ionization Energy_wt-mean,0.00691971925322796
Electron Affinity_wt-mad,0.009576496705355302
Electron Affinity_wt-mean,0.006537691704022802
Electronegativity_wt-mad,0.010842026071830588
Electronegativity_wt-mean,0.00975911353563384
Fe Loading,0.0
Fifth Ionization Energy_wt-mad,0.007740506935421273
Fifth Ionization Energy_wt-mean,0.010497926722719524
First Ionization Energy_wt-mad,0.00254168937866566
First Ionization Energy_wt-mean,0.0037412918031213905
Fourth Ionization Energy_wt-mad,0.007115575759524189
Fourth Ionization Energy_wt-mean,0.004927030909091808
Fusion Enthalpy_wt-mad,0.001969443696915942
Fusion Enthalpy_wt-mean,0.002021397193146687
GS Bandgap_wt-mad,0.0
GS Bandgap_wt-mean,0.0
GS Energy_wt-mad,0.0076102065303346785
GS Energy_wt-mean,0.0031442403525070123
Heat Capacity (Mass)_wt-mad,0.008885117939275013
Heat Capacity (Mass)_wt-mean,0.005833517804389632
Heat Capacity (Molar)_wt-mad,0.00649437783569623
Heat Capacity (Molar)_wt-mean,0.007084773077495627
Heat Fusion_wt-mad,0.004025039594306367
Heat Fusion_wt-mean,0.0039895042464695735
Hf Loading,0.00637964159852652
In Loading,0.00010914137670623384
Ir Loading,0.00029113947930368235
IsAlkali_wt-mad,0.0033733994716768907
IsAlkali_wt-mean,0.0029106682213236586
IsDBlock_wt-mad,0.0008419501786749712
IsDBlock_wt-mean,0.0010336950832978203
IsFBlock_wt-mad,0.0
IsFBlock_wt-mean,0.0
IsMetal_wt-mad,0.0
IsMetal_wt-mean,0.0
IsMetalloid_wt-mad,0.0
IsMetalloid_wt-mean,0.0
IsNonmetal_wt-mad,0.0
IsNonmetal_wt-mean,0.0
K Loading,0.0
Melting Temperature_wt-mad,0.004078168611655223
Melting Temperature_wt-mean,0.00424801617834132
Mendeleev Number_wt-mad,0.005957180565582301
Mendeleev Number_wt-mean,0.00303521799686778
Mg Loading,0.004775241722648616
Mn Loading,0.006177618982549098
Mo Loading,0.007477759038033201
Ni Loading,0.002367132416360565
Number Unfilled Electrons_wt-mad,0.04135481385982219
Number Unfilled Electrons_wt-mean,0.013496352010920332
Number Valence Electrons_wt-mad,0.006681436487941164
Number Valence Electrons_wt-mean,0.003524389679676018
Number d-shell Unfilled Electrons_wt-mad,0.02507984851263697
Number d-shell Unfilled Electrons_wt-mean,0.003945160954064768
Number d-shell Valance Electrons_wt-mad,0.037013165973969926
Number d-shell Valance Electrons_wt-mean,0.009305222792644514
Number f-shell Unfilled Electrons_wt-mad,0.0
Number f-shell Unfilled Electrons_wt-mean,0.0
Number f-shell Valance Electrons_wt-mad,0.000862029747793317
Number f-shell Valance Electrons_wt-mean,0.0008365187718046874
Number p-shell Unfilled Electrons_wt-mad,3.7096107054018027e-05
Number p-shell Unfilled Electrons_wt-mean,7.568467295765733e-05
Number p-shell Valance Electrons_wt-mad,3.4804420943681666e-05
Number p-shell Valance Electrons_wt-mean,0.00017906039756362531
Number s-shell Unfilled Electrons_wt-mad,0.008105147452526372
Number s-shell Unfilled Electrons_wt-mean,0.007244384243934393
Number s-shell Valance Electrons_wt-mad,0.009609228399764686
Number s-shell Valance Electrons_wt-mean,0.006703963339711314
Os Loading,0.0
Pd Loading,9.406286034010174e-05
Periodic Table Column_wt-mad,0.020957725983984102
Periodic Table Column_wt-mean,0.003751806186056068
Periodic Table Row_wt-mad,0.006937694492445487
Periodic Table Row_wt-mean,0.0044381183714202205
Polarizability_wt-mad,0.009505757273362803
Polarizability_wt-mean,0.0037790206480672645
Pt Loading,0.0
Re Loading,0.01059031906781821
Rh Loading,0.0028431451770269283
Ru Loading,0.010791281389777838
Sc Loading,0.0010560968006926236
Second Ionization Energy_wt-mad,0.02085725442802635
Second Ionization Energy_wt-mean,0.007624823241037154
Seventh Ionization Energy_wt-mad,0.007807473947515397
Seventh Ionization Energy_wt-mean,0.013308270463502681
