,Feature Importance
Periodic Table Column,0.06689403107662815
Number d-shell Valance Electrons,0.06128923373568913
Second Ionization Energy,0.0435278731433911
Polarizability,0.037627284151492274
Electronegativity,0.03620482820801734
Third Ionization Energy,0.03476249536444087
Mendeleev Number,0.03420224031441696
Covalent Radius,0.03252083179899699
phi,0.030109058934379845
Dipole Polarizability,0.027143848119955884
Ru Loading,0.024722645335538074
Fusion Enthalpy,0.019811473977465886
Fourth Ionization Energy,0.019425476013079288
Heat Fusion,0.018318013926218863
Number Valence Electrons,0.018135560898714875
Rh Loading,0.016324830744071303
Heat Capacity (Mass),0.016234917860987855
Seventh Ionization Energy,0.01582234809902784
Zunger Pseudopotential (p),0.01556363680596877
Number d-shell Unfilled Electrons,0.015103225138749135
Fifth Ionization Energy,0.014887512745457564
ammonia,0.014531874956528064
space,0.01449279816701607
Conductivity,0.01431027847335401
Zunger Pseudopotential (sigma),0.014278361988918357
Melting Temperature,0.014257745662552102
Boiling Temperature,0.01421257810552943
Periodic Table Row,0.014154444635829998
Electron Affinity,0.014015230353197626
Zunger Pseudopotential (d),0.013981249250493107
Zunger Pseudopotential (pi),0.013608759380993377
reactor,0.013422625760949498
IsAlkali,0.013119274922336627
Atomic Weight,0.012538600252830885
Number Unfilled Electrons,0.012147867311465176
GS Energy,0.011782251903675257
Sixth Ionization Energy,0.01067288417706089
Zunger Pseudopotential (s),0.010127694309425127
Atomic Number,0.009569868115475968
Eighth Ionization Energy,0.008640731654193677
XRD 2TH 40.83,0.008125883049720338
IsDBlock,0.00812022277856105
First Ionization Energy,0.007424125181346157
Atomic Volume,0.007157249555221821
Density,0.00697352198283162
XRD 2TH 18.94,0.006532417569889655
Sc Loading,0.006396586651660551
Number s-shell Valance Electrons,0.006320881616005977
XRD 2TH 50.54,0.006238912267965676
Mo Loading,0.0060809802694823875
Heat Capacity (Molar),0.005559021443584496
XRD 2TH 53.42,0.005550779661343109
XRD 2TH 40.14,0.005248531859262774
XRD 2TH 19.60,0.00492637159394478
XRD 2TH 28.61,0.003877998564243049
XRD 2TH 11.10,0.0038342391509030506
XRD 2TH 46.27,0.0037710262863983827
XRD 2TH 35.35,0.00360391564555588
Hf Loading,0.0035090090158338538
XRD 2TH 18.15,0.003430675852352359
Number s-shell Unfilled Electrons,0.0031982041128601653
XRD 2TH 12.79,0.003078890650479881
XRD 2TH 16.19,0.0030715704563459524
XRD 2TH 37.12,0.002907866657646413
XRD 2TH 36.03,0.002638015221187661
XRD 2TH 26.74,0.002451811663084862
XRD 2TH 38.49,0.002284812851500509
XRD 2TH 17.50,0.002178048719544339
XRD 2TH 32.10,0.0019039424635724687
XRD 2TH 34.26,0.0018601937724345115
XRD 2TH 21.84,0.0017994780915680342
Mg Loading,0.0015740326822258172
Number p-shell Unfilled Electrons,0.0014897266544801496
XRD 2TH 33.59,0.0014364458657099178
Zn Loading,0.0014286121576924946
Y Loading,0.001377174687346956
Number p-shell Valance Electrons,0.0013310458406755369
Sr Loading,0.0013060693290856287
W Loading,0.00129030869365809
Number f-shell Valance Electrons,0.001205666031114394
Ca Loading,0.0008415962381705796
Cu Loading,0.0008335740309413226
Mn Loading,0.0008002210743634285
Pd Loading,0.0007762129098142418
Ni Loading,0.0005737536596570243
Re Loading,0.00044287577151420383
Cr Loading,0.0004325535777000941
In Loading,0.0001435259667255688
Bi Loading,0.00011363747971604854
Ir Loading,5.129691856350211e-05
GS Bandgap,0.0
n,0.0
Co Loading,0.0
Fe Loading,0.0
Number f-shell Unfilled Electrons,0.0
Os Loading,0.0
Pt Loading,0.0
K Loading,0.0
IsNonmetal,0.0
IsMetalloid,0.0
IsMetal,0.0
IsFBlock,0.0
temperature,0.0
