,Feature Importance
temperature,0.3205555918097436
Periodic Table Column,0.04590682466226963
Number d-shell Valance Electrons,0.037948109939817364
Third Ionization Energy,0.033606859856245015
Second Ionization Energy,0.03075175032460311
Electronegativity,0.02510623598889513
Polarizability,0.02296386860173119
phi,0.019640685073397418
Number Valence Electrons,0.017891746547497568
Covalent Radius,0.01704645816423767
Fusion Enthalpy,0.016561732987628797
Zunger Pseudopotential (pi),0.015930317783136468
Heat Fusion,0.01352505468333142
Eighth Ionization Energy,0.012927338523898114
Dipole Polarizability,0.012544866741694267
Conductivity,0.012231088122250008
Seventh Ionization Energy,0.012116252474946961
ammonia,0.011960674713411805
Zunger Pseudopotential (p),0.011881577270292727
Melting Temperature,0.011850373378912718
Ru Loading,0.011424007049527856
Fourth Ionization Energy,0.011182861258730404
Heat Capacity (Molar),0.01044496692785601
Fifth Ionization Energy,0.010387918001405181
Periodic Table Row,0.010196144359975765
Density,0.010168937348012821
Zunger Pseudopotential (d),0.009465652830962144
41 2TH,0.00931232527620349
Mendeleev Number,0.008378271677510749
Heat Capacity (Mass),0.008170695180878453
Atomic Number,0.008030287880867331
Atomic Weight,0.007936964413829713
Sixth Ionization Energy,0.0077866031028875
Number Unfilled Electrons,0.007563779801591692
GS Energy,0.007556742106341049
reactor,0.007137495474250585
Electron Affinity,0.006956099943326573
space,0.006784231700934039
Zunger Pseudopotential (s),0.006678348722526636
Zunger Pseudopotential (sigma),0.006112669627785556
Mo Loading,0.005966688522090635
Boiling Temperature,0.005797494403540401
Number d-shell Unfilled Electrons,0.005412033317674571
18 2TH,0.005238254226559059
Cu Loading,0.005208801983447484
Number s-shell Valance Electrons,0.0045470578813867615
Rh Loading,0.004441215384094095
First Ionization Energy,0.004405357294937502
Number s-shell Unfilled Electrons,0.004292315150526052
IsAlkali,0.0036350684108295934
XRD 2TH 11.10,0.003522567752884549
XRD 2TH 53.42,0.0033918217337367547
51 2TH,0.003265243112447636
XRD 2TH 18.15,0.0031739405013613757
XRD 2TH 35.35,0.003152019246408986
36 2TH,0.0031065973434966304
XRD 2TH 40.83,0.0030662721353894706
Cr Loading,0.0027166579983288665
XRD 2TH 28.61,0.0023697919995803902
Ca Loading,0.0022882995519942274
IsDBlock,0.0021438800351892637
Atomic Volume,0.002129831957085224
XRD 2TH 18.94,0.0021286168754281634
W Loading,0.002059275358203653
XRD 2TH 40.14,0.002024613743207874
46 2TH,0.001988252626750964
XRD 2TH 12.79,0.0019744363773819026
Number p-shell Unfilled Electrons,0.0018681146716381992
Ni Loading,0.0018644591325006324
XRD 2TH 36.03,0.0017152648218388955
Number p-shell Valance Electrons,0.0017034913600817078
XRD 2TH 38.49,0.001618222594810361
28 2TH,0.0015946440359406375
Mn Loading,0.0014687164682059472
XRD 2TH 26.74,0.0014643025848999564
XRD 2TH 46.27,0.001411384515895365
Sc Loading,0.0012297301184993842
XRD 2TH 19.60,0.001180618114383768
XRD 2TH 17.50,0.0010448580514450122
XRD 2TH 21.84,0.0010381163094682162
Re Loading,0.0010282365321911972
Zn Loading,0.0010179697220325892
Mg Loading,0.0010166048181744034
XRD 2TH 50.54,0.0009718475494785467
XRD 2TH 32.10,0.0009679866096736309
XRD 2TH 34.26,0.0008861860364507559
Hf Loading,0.0007631445532921421
26 2TH,0.0007392324090772218
Sr Loading,0.0007293502332524727
16 2TH,0.0007074706256226961
22 2TH,0.0006300864583475325
XRD 2TH 33.59,0.0006138216526036791
Pd Loading,0.0005427149113837449
Y Loading,0.0005173042166054799
XRD 2TH 16.19,0.00046437393267260166
XRD 2TH 37.12,0.00043234319341140415
In Loading,0.0003633542878360589
Number f-shell Valance Electrons,0.0002101321476737429
Bi Loading,0.00012710207330533953
IsNonmetal,0.0
K Loading,0.0
IsMetalloid,0.0
Number f-shell Unfilled Electrons,0.0
IsFBlock,0.0
Ir Loading,0.0
Os Loading,0.0
GS Bandgap,0.0
Fe Loading,0.0
n,0.0
Co Loading,0.0
Pt Loading,0.0
IsMetal,0.0
