,16 2TH,18 2TH,22 2TH,26 2TH,28 2TH,36 2TH,41 2TH,46 2TH,51 2TH,Atomic Number_wt-mad,Atomic Number_wt-mean,Atomic Volume_wt-mad,Atomic Volume_wt-mean,Atomic Weight_wt-mad,Atomic Weight_wt-mean,Bi Loading,Boiling Temperature_wt-mad,Boiling Temperature_wt-mean,Ca Loading,Co Loading,Conductivity_wt-mad,Conductivity_wt-mean,Covalent Radius_wt-mad,Covalent Radius_wt-mean,Cr Loading,Cu Loading,Density_wt-mad,Density_wt-mean,Dipole Polarizability_wt-mad,Dipole Polarizability_wt-mean,Eighth Ionization Energy_wt-mad,Eighth Ionization Energy_wt-mean,Electron Affinity_wt-mad,Electron Affinity_wt-mean,Electronegativity_wt-mad,Electronegativity_wt-mean,Element Dictionary,Fe Loading,Fifth Ionization Energy_wt-mad,Fifth Ionization Energy_wt-mean,First Ionization Energy_wt-mad,First Ionization Energy_wt-mean,Fourth Ionization Energy_wt-mad,Fourth Ionization Energy_wt-mean,Fusion Enthalpy_wt-mad,Fusion Enthalpy_wt-mean,GS Bandgap_wt-mad,GS Bandgap_wt-mean,GS Energy_wt-mad,GS Energy_wt-mean,Heat Capacity (Mass)_wt-mad,Heat Capacity (Mass)_wt-mean,Heat Capacity (Molar)_wt-mad,Heat Capacity (Molar)_wt-mean,Heat Fusion_wt-mad,Heat Fusion_wt-mean,Hf Loading,In Loading,Ir Loading,IsAlkali_wt-mad,IsAlkali_wt-mean,IsDBlock_wt-mad,IsDBlock_wt-mean,IsFBlock_wt-mad,IsFBlock_wt-mean,IsMetal_wt-mad,IsMetal_wt-mean,IsMetalloid_wt-mad,IsMetalloid_wt-mean,IsNonmetal_wt-mad,IsNonmetal_wt-mean,K Loading,Measured Conversion,Melting Temperature_wt-mad,Melting Temperature_wt-mean,Mendeleev Number_wt-mad,Mendeleev Number_wt-mean,Mg Loading,Mn Loading,Mo Loading,Ni Loading,Number Unfilled Electrons_wt-mad,Number Unfilled Electrons_wt-mean,Number Valence Electrons_wt-mad,Number Valence Electrons_wt-mean,Number d-shell Unfilled Electrons_wt-mad,Number d-shell Unfilled Electrons_wt-mean,Number d-shell Valance Electrons_wt-mad,Number d-shell Valance Electrons_wt-mean,Number f-shell Unfilled Electrons_wt-mad,Number f-shell Unfilled Electrons_wt-mean,Number f-shell Valance Electrons_wt-mad,Number f-shell Valance Electrons_wt-mean,Number p-shell Unfilled Electrons_wt-mad,Number p-shell Unfilled Electrons_wt-mean,Number p-shell Valance Electrons_wt-mad,Number p-shell Valance Electrons_wt-mean,Number s-shell Unfilled Electrons_wt-mad,Number s-shell Unfilled Electrons_wt-mean,Number s-shell Valance Electrons_wt-mad,Number s-shell Valance Electrons_wt-mean,Os Loading,Pd Loading,Periodic Table Column_wt-mad,Periodic Table Column_wt-mean,Periodic Table Row_wt-mad,Periodic Table Row_wt-mean,Polarizability_wt-mad,Polarizability_wt-mean,Pt Loading,Re Loading,Rh Loading,Ru Loading,Sc Loading,Second Ionization Energy_wt-mad,Second Ionization Energy_wt-mean,Seventh Ionization Energy_wt-mad,Seventh Ionization Energy_wt-mean,Sixth Ionization Energy_wt-mad,Sixth Ionization Energy_wt-mean,Sr Loading,Third Ionization Energy_wt-mad,Third Ionization Energy_wt-mean,W Loading,XRD 2TH 11.10,XRD 2TH 12.79,XRD 2TH 16.19,XRD 2TH 17.50,XRD 2TH 18.15,XRD 2TH 18.94,XRD 2TH 19.60,XRD 2TH 21.84,XRD 2TH 26.74,XRD 2TH 28.61,XRD 2TH 32.10,XRD 2TH 33.59,XRD 2TH 34.26,XRD 2TH 35.35,XRD 2TH 36.03,XRD 2TH 37.12,XRD 2TH 38.49,XRD 2TH 40.14,XRD 2TH 40.83,XRD 2TH 46.27,XRD 2TH 50.54,XRD 2TH 53.42,Y Loading,Zn Loading,Zunger Pseudopotential (d)_wt-mad,Zunger Pseudopotential (d)_wt-mean,Zunger Pseudopotential (p)_wt-mad,Zunger Pseudopotential (p)_wt-mean,Zunger Pseudopotential (pi)_wt-mad,Zunger Pseudopotential (pi)_wt-mean,Zunger Pseudopotential (s)_wt-mad,Zunger Pseudopotential (s)_wt-mean,Zunger Pseudopotential (sigma)_wt-mad,Zunger Pseudopotential (sigma)_wt-mean,ammonia_concentration,n_averaged,n_elements,phi_wt-mad,phi_wt-mean,reactor_number,space_velocity,standard error,temperature,predictions
40_300_0,0.4800161788636785,0.0,0.4013692572849905,0.5391108741397089,0.33775368310418585,0.8121366838747193,0.3349122418139672,1.6795049092447132,0.26859825507343515,735.5833333333333,24.25,2010.944177061147,60.113705239375,3443.137046272917,51.942687500000005,0.0,5191620.8125,1802.4375,0.0,0.0,10811.619999999999,104.49375,29542.791666666664,187.375,0.0,0.0,25956726.25,3518.125,688.6768083333333,34.6475,20008.5954,126.285,5434.091458333332,62.293749999999996,1.8846979166666669,1.146875,"dict_items([('Ru', 3), ('Ni', 1.0), ('K', 12)])",0.0,5297.1808,66.74875,32.963955990078595,5.113078725,2843.93169375,49.113749999999996,196.2286322916667,10.079375,0.0,0.0,-15.277782637955816,-2.89379386475,0.307046625,0.6401249999999999,753.19934375,28.340625000000003,196.2286322916667,10.079375,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.555772206,1322369.9970999998,849.21,662.5,16.5625,0.0,0.0,0.0,0.01,3.7916666666666665,1.625,18.208333333333332,2.875,1.1458333333333333,0.6875,9.0625,1.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.9375,1.4166666666666665,1.0625,0.0,0.0,18.208333333333332,2.875,18.145833333333332,4.1875,688.6768083333333,34.6475,0.0,0.0,0.0,0.03,0.0,621.2280979197001,28.0005525,12087.3276,96.4825,8430.810000000001,81.30000000000001,0.0,1528.583224,41.892,0.0,0.14348674858388705,0.11238787423409284,0.2737195241612076,0.08613410380195494,0.1203793296337378,0.10738121340060527,0.1116198220073452,0.16257406773016636,0.1914924455849535,3.9138915203186446,0.2260154428013537,0.129025690556779,0.1712975595173826,0.2251838472429734,0.4148047550620608,0.2572351612997762,0.16553664232732668,0.1807249844222978,1.350424485949938,0.3909368382846621,0.16309218819966334,0.07953508991996201,0.0,0.0,0.1265578125,0.37406249999999996,3.1596249999999997,1.9625,0.21046093750000003,0.5328125,1.7370703125000002,1.4296875,9.5829296875,3.3921875,1.010270775,5.0,3.0,12.957083333333337,3.0250000000000004,12.0,2115.225,0.049665642,300.0,0.2984907152100001
74_300_0,0.6647108159870214,0.0,0.0,0.3515959188791342,0.3433720915505347,0.0,0.32312099140033723,1.6819552849665838,0.3805425947758536,824.8333333333333,24.5,3160.0004804343434,65.49727415875,4017.4244194308335,52.909975,0.0,3634987.5,1533.75,0.0,0.0,8150.4275,95.925,35337.333333333336,194.875,0.0,0.0,13303184.0,2517.0,961.8858916666666,36.81625,18217.309025000002,131.4475,2557.751370833333,49.591249999999995,1.3349125000000002,1.00875,"dict_items([('Ru', 2), ('Sr', 2.0), ('K', 12)])",0.0,5471.9878499999995,70.945,28.340519217578603,4.887416225000001,3113.2661625,52.8075,120.94794375000002,7.50375,0.0,0.0,-8.713142882573123,-2.1828356810000002,0.27570358333333334,0.63575,765.7834375,28.556250000000002,120.94794375000002,7.50375,0.0,0.0,0.0,0.5833333333333334,0.875,0.041666666666666664,0.125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.688602092,944499.7964749999,709.5225,228.91666666666666,10.25,0.0,0.0,0.0,0.0,2.0833333333333335,1.25,7.333333333333333,2.0,0.375,0.375,2.041666666666667,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.875,1.5,1.125,0.0,0.0,7.333333333333333,2.0,19.833333333333336,4.25,961.8858916666666,36.81625,0.0,0.0,0.0,0.02,0.0,538.6682124587501,27.1962625,11336.727600000002,101.42,8169.090000000001,85.9,0.02,1690.1000223333333,43.2745,0.0,0.032031004518162466,0.007869411047739236,0.07785343443150705,0.08195388752856385,0.09987246884252372,0.11749528131067873,0.11732749750431253,0.08350230198202545,0.034664814955905496,0.33047974474018804,0.024867146097212592,0.009196675180677662,0.01717658693589554,0.04980368089513101,0.06927188487798926,0.0651815121486654,0.0375834742509106,0.034964719412407065,0.20082147898108185,0.13252004770486986,0.06732760402181351,0.05443991923569005,0.0,0.0,0.19996912499999997,0.412875,3.63375,2.01875,0.23444895833333335,0.5431250000000001,2.019146875,1.475625,11.071344791666665,3.494375,1.020408163,4.0,3.0,8.919375,2.6625,6.0,2419.375,0.09862959800000001,300.0,0.7022777808350004
65_300_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.5,25.375,2073.0556113382813,60.297571537500005,4441.822250797501,54.820662500000005,0.0,5725650.375,1822.875,0.0,0.0,13579.125,110.25,30810.25,188.25,0.0,0.0,32047927.33333333,3744.5,710.4891416666666,34.6975,17990.8608,116.16,5419.298333333332,62.675,2.0758333333333336,1.175,"dict_items([('Ru', 2), ('Rh', 2.0), ('K', 12)])",0.0,5124.5067,61.995,32.62270598416423,5.1079224750000005,2782.5210749999997,45.6825,222.77136875,9.898750000000001,0.0,0.0,-16.83924675561173,-2.879189671,0.2591030833333333,0.627875,742.6237333333335,28.330000000000002,222.77136875,9.898750000000001,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.813473852,1481454.5785583332,857.8975,653.9166666666667,16.625,0.0,0.0,0.0,0.0,4.333333333333333,1.625,17.25,2.875,1.0416666666666667,0.625,9.375,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,17.25,2.875,19.833333333333336,4.25,710.4891416666666,34.6975,0.0,0.0,0.02,0.02,0.0,622.1038083333334,28.0775,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1467.5323740000001,41.79575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15965,0.38625,3.2985583333333324,1.97125,0.21820312500000003,0.534375,1.8176468749999999,1.4368750000000001,10.014207291666667,3.408125,1.152512998,4.0,3.0,13.213125000000002,3.0375,0.0,2279.15,0.038327593,300.0,0.49833732992499974
16_300_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.8333333333334,23.375,2026.9596455166925,60.06062555250001,3388.4970876224997,49.900725,0.0,4982034.375,1726.875,0.0,0.0,29292.770833333336,141.625,29982.333333333336,187.0,0.0,0.02,24384591.5,3303.25,676.131975,34.39125,21965.8404,136.91,5698.242083333333,63.762499999999996,1.8491,1.1275,"dict_items([('Ru', 2), ('Cu', 2.0), ('K', 12)])",0.0,5846.123099999999,71.97,33.29464832211373,5.141357475,3126.1089749999996,52.855,150.39812500000002,8.275,0.0,0.0,-11.329941413575472,-2.4325658335,0.29698749999999996,0.645625,735.7670833333334,28.262500000000003,150.39812500000002,8.275,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.21236674100000003,1072448.505625,747.99375,707.25,17.25,0.0,0.0,0.0,0.0,2.75,1.375,20.833333333333336,3.125,0.375,0.375,12.041666666666668,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,20.833333333333336,3.125,17.875,4.125,676.131975,34.39125,0.0,0.0,0.0,0.02,0.0,649.14140124,28.35405,13539.3126,105.545,8847.410000000002,87.42500000000001,0.0,1574.8380916250003,42.518375000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11955312499999998,0.35687499999999994,3.084599999999999,1.94,0.21363645833333336,0.531875,1.673321875,1.408125,9.302207291666665,3.348125,1.0499092559999998,6.0,3.0,11.772291666666668,2.91875,1.0,2176.45,0.036547505,300.0,0.26093898658500025
123_300_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.25,41.5,542.4494232796499,23.290543645,9022.705895805622,94.98792499999999,0.0,16164420.25,4020.5,0.0,0.0,4502.41,67.1,28224.0,168.0,0.0,0.0,70913241.0,8421.0,260.8225,16.15,8320.5,64.5,4283.7025,65.45,2.9241,1.71,"dict_items([('Ru', 2), ('Y', 2.0)])",0.0,2964.5,38.5,46.089163209999995,6.7889,1835.9982045000002,30.2985,624.5001000000001,24.990000000000002,0.0,0.0,-61.30289723828997,-7.8296166725,0.071824,0.268,639.837025,25.295,624.5001000000001,24.990000000000002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.177005418,4853209.0,2203.0,1156.0,34.0,0.0,0.0,0.0,0.0,42.25,6.5,30.25,5.5,36.0,6.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,2.25,1.5,0.0,0.0,30.25,5.5,25.0,5.0,260.8225,16.15,0.0,0.0,0.0,0.02,0.0,210.01806400000004,14.492,6728.0,58.0,4324.5,46.5,0.0,600.0050249999999,24.494999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.265225,0.515,2.3716,1.54,0.09455625000000001,0.3075,1.51905625,1.2325,7.68675625,2.7725,1.122826087,3.0,2.0,18.490000000000006,4.300000000000001,5.0,1829.3481,0.009239517,300.0,0.27847475543500005
67_300_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.625,24.375,2105.6885310666753,60.380230195,3587.5441056600002,52.360600000000005,0.0,3709103.229166666,1677.0625,0.0,0.0,11861.322916666666,106.0625,29398.25,187.25,0.0,0.0,23133230.25,3407.625,542.0017018483354,33.8589583333125,20889.6354,127.035,2759.158125,55.293749999999996,1.76000625,1.130625,"dict_items([('Ru', 3), ('Zn', 1.0), ('K', 12)])",0.0,5549.224224999999,67.1575,36.72511777667731,5.2227286625,2971.356225,49.394999999999996,150.83599987500003,9.428625,0.0,0.0,-10.089300645696479,-2.6246485738125003,0.29348412500000004,0.636625,745.6555937500002,28.298125000000002,150.83599987500003,9.428625,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.512376181,950871.945175,784.5025,728.0,17.0625,0.0,0.0,0.0,0.0,2.5,1.5,21.0,3.0,0.5625,0.5625,10.979166666666668,1.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.9375,1.4166666666666665,1.0625,0.0,0.0,21.0,3.0,18.145833333333332,4.1875,542.0017018483354,33.8589583333125,0.0,0.0,0.0,0.03,0.0,619.0372320369187,27.987774375,12143.4301,96.545,8430.810000000001,81.30000000000001,0.0,1602.6478165624999,42.175312500000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12364947916666666,0.3728125,3.039391666666666,1.9524999999999997,0.20642343750000003,0.5315625,1.660128645833333,1.4209375,9.192617187499998,3.3734375,1.048201989,4.0,3.0,11.578645833333333,2.9562500000000003,2.0,2594.296482,0.035941601000000004,300.0,0.24998736921000003
77_300_0,0.6204314394409653,0.0,0.0,0.5724603929405028,0.3747153327989104,0.7505756053585202,0.3912840818562557,1.6893154347517267,0.4611213471750944,1466.0833333333333,30.125,2623.604046279261,63.01731519625,7923.3507415725,68.080025,0.02,3783332.666666666,1556.5,0.0,0.0,7010.1494625,92.48625,31311.0,189.0,0.0,0.0,26155904.833333336,3410.75,597.4623916666666,33.6725,17990.8608,116.16,4847.108749999999,60.3625,1.9194000000000004,1.1425,"dict_items([('Ru', 2), ('Bi', 2.0), ('K', 12)])",0.0,4783.42335,68.995,32.190289422766725,5.086247475,2726.6762249999997,51.345,138.11195358333336,7.96325,0.0,0.0,-11.74174009838928,-2.469195781,0.22814725,0.61275,749.5046833333334,28.3975,138.11195358333336,7.96325,0.0,0.0,0.0,0.25,0.75,0.041666666666666664,0.125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.049364637999999995,751442.5458083334,646.3225,966.6666666666667,20.0,0.0,0.0,0.0,0.0,4.333333333333333,1.625,68.08333333333333,5.375,0.375,0.375,12.041666666666668,2.125,0.0,0.0,8.166666666666668,1.75,0.375,0.375,0.375,0.375,0.5833333333333334,0.875,1.5,1.125,0.0,0.0,29.0,3.625,21.875,4.375,597.4623916666666,33.6725,0.0,0.0,0.0,0.02,0.0,605.4815249583334,27.905375,10365.2652,88.17,8032.386875000001,85.5875,0.0,1368.0277490000003,41.10825,0.0,0.14186450815340154,0.08918568517330593,0.2715298656461427,0.06325657842419254,0.06593557028349874,0.05648621458432381,0.06213504474055216,0.1052962186112988,0.24264545228348414,1.4345307530398437,0.28210819319237995,0.15315329126625546,0.20136068897437595,0.17293918020776822,0.3500489315329625,0.19571909695369,0.13630900364325346,0.11553636353886447,0.3567998576173245,0.30188912941651425,0.13462666424479128,0.1178111754083562,0.0,0.0,0.16291099999999997,0.38849999999999996,3.0147174583333327,1.9296249999999997,0.18628433333333333,0.5165,1.6981052083333334,1.413125,9.239360999999999,3.34275,1.063311688,4.0,3.0,11.332916666666666,2.88125,10.0,2433.2,0.045606548,300.0,0.33891671237000026
82_300_0,0.4111418364184214,0.0,0.2744730397912427,0.0,0.3012674923747838,1.0120834374237972,0.26580228412179,1.9258499758947352,0.3718803716209891,921.9583333333334,25.375,2094.377934609603,60.34852410375,4514.670110160001,54.9256,0.0,5230714.5625,1805.5625,0.0,0.0,10030.43,103.3,30632.166666666664,188.3125,0.0,0.0,31248267.604166668,3712.8125,663.1772249999999,34.5225,17990.8608,116.16,3976.47,58.64999999999999,2.0271000000000003,1.165,"dict_items([('Ru', 3), ('Pd', 1.0), ('K', 12)])",0.0,5124.5067,61.995,34.44307617327839,5.156647475,2782.5210749999997,45.6825,192.85338437500002,10.033125000000002,0.0,0.0,-14.7523647852383,-2.86825948975,0.259209125,0.627625,752.1998000000001,28.335,192.85338437500002,10.033125000000002,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.391527275,1360636.9126625,855.463125,670.5416666666667,16.625,0.0,0.0,0.0,0.0,2.5,1.5,18.208333333333332,2.875,0.5625,0.5625,10.979166666666668,1.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.9375,0.625,0.9375,0.0,0.01,18.208333333333332,2.875,19.833333333333336,4.25,663.1772249999999,34.5225,0.0,0.0,0.0,0.03,0.0,634.7810708333334,28.079375,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1491.9769681666667,41.750750000000004,0.0,-0.004066715503929494,-0.0008565720957958242,0.08089848339856474,0.09355299310002962,0.11984928853367666,0.1366751273501321,0.14423872348084696,0.11272261448357213,0.029580344232176405,0.3868584088174911,0.02538911262022661,0.017010113852361508,0.03445643703112042,0.033473745646579345,0.05512995085060037,0.040332749857227686,0.026908529567109603,0.027621836143213487,0.19050068430939884,0.09847918156473193,0.0471664574316033,0.0295999376722282,0.0,0.0,0.1573291666666667,0.38687499999999997,3.2733125,1.9718749999999998,0.2165484375,0.5346875,1.8036703125000002,1.4371875,9.937417187499998,3.4090625,0.94972067,4.0,3.0,13.277395833333335,3.0406250000000004,13.0,2474.675,0.078522457,300.0,0.34241639978000016
15_300_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.5833333333333,24.3125,2030.6254404647004,60.1692463325,3547.7507416474996,52.245975,0.0,5202556.5625,1803.3125,0.0,0.0,25621.479166666668,123.875,30122.625,187.875,0.0,0.01,25976335.25,3518.875,680.3711625,34.606875,20301.2754,126.535,5602.731458333332,62.693749999999994,1.8798499999999998,1.14625,"dict_items([('Ru', 3), ('Cu', 1.0), ('K', 12)])",0.0,5440.988474999999,66.9825,33.14656187330948,5.118489975,2914.00021875,49.26875,178.785203125,9.836875000000001,0.0,0.0,-12.935063856020157,-2.7771895053750004,0.29276125,0.6364375,735.1487916666667,28.238750000000003,178.785203125,9.836875000000001,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.303233369,1184392.5264375,826.0706250000001,686.75,16.75,0.0,0.0,0.0,0.0,3.125,1.5625,19.583333333333336,2.9375,0.5625,0.5625,10.979166666666668,1.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,19.583333333333336,2.9375,18.145833333333332,4.1875,680.3711625,34.606875,0.0,0.0,0.0,0.03,0.0,644.0869489533334,28.133275,12424.8801,96.8575,8195.935000000001,80.98750000000001,0.0,1555.4597498125004,41.9951875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12510156249999999,0.3734375,3.1144124999999994,1.9587499999999998,0.2145151041666667,0.5340625,1.6930036458333333,1.4246875,9.400317187499999,3.3834375000000003,1.005633803,6.0,3.0,12.011770833333337,2.9781250000000004,0.0,2092.910448,0.064583262,300.0,0.42361805219
58_300_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0,27.0,2264.278237769116,60.82166941125001,6312.618267514166,59.429975,0.0,6570731.229166666,1908.0625,0.0,0.0,8103.541666666667,100.25,33284.916666666664,190.5625,0.0,0.0,33552560.666666668,3793.25,810.7573500000001,35.235,17990.8608,116.16,2759.158125,55.293749999999996,1.5966,1.1087500000000001,"dict_items([('Ru', 3), ('Hf', 1.0), ('K', 12)])",0.0,5124.5067,61.995,31.260907320694905,5.0621581,2250.7162499999995,47.765625,242.68111979166665,10.686875,0.0,0.0,-21.388996506190917,-3.1692922875625005,0.23591537499999998,0.621375,749.4250604166668,28.319375,242.68111979166665,10.686875,0.01,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.792496931,1630926.2558499998,897.835,539.5,15.5625,0.0,0.0,0.0,0.0,8.666666666666666,2.0,30.375,3.375,3.895833333333333,1.0625,4.3125,1.4375,0.0,0.0,4.083333333333334,0.875,0.0,0.0,0.0,0.0,0.625,0.9375,1.4166666666666665,1.0625,0.0,0.0,10.833333333333332,2.5,21.5625,4.3125,810.7573500000001,35.235,0.0,0.0,0.0,0.03,0.0,587.466825,27.802500000000002,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1338.3808756666665,41.148875000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19393749999999998,0.40125,3.4571625000000004,1.986875,0.22062760416666666,0.5359375000000001,1.9273286458333336,1.4509375,10.548354687500002,3.4378125,1.064773736,3.0,3.0,10.96875,2.9250000000000003,14.0,2248.3080809999997,0.040118522999999996,300.0,0.6951612227199999
