,Feature Importance
temperature,0.1964879408271059
Number d-shell Valance Electrons,0.047006289302293405
Periodic Table Column,0.03650559827070772
Number Unfilled Electrons,0.03530174088478797
ammonia,0.035294127386270434
Number d-shell Unfilled Electrons,0.029280798862099743
IsAlkali,0.0289570361471043
Covalent Radius,0.02870455987783151
Mendeleev Number,0.027248165441965535
Second Ionization Energy,0.026978482009083496
Fusion Enthalpy,0.022816642807539374
Polarizability,0.02129331162750819
Heat Fusion,0.020971395836401258
Boiling Temperature,0.01933969052555022
Fourth Ionization Energy,0.01679456033914647
Dipole Polarizability,0.016333367305646506
Number Valence Electrons,0.015951698206676815
space,0.015925020017860465
reactor,0.015526902802864126
GS Energy,0.015517706891047596
Electronegativity,0.015343056596407306
Ru Loading,0.014528753963112852
Fifth Ionization Energy,0.014085391595998975
phi,0.014014669393994431
Zunger Pseudopotential (d),0.013419846154544689
Third Ionization Energy,0.013203802197673383
Conductivity,0.013172210178352862
Zunger Pseudopotential (s),0.013068221896310763
Heat Capacity (Mass),0.012171798041049925
Atomic Weight,0.01195344986819219
Electron Affinity,0.011915893805043484
Sixth Ionization Energy,0.011640854604196232
Atomic Number,0.011321639053556404
Melting Temperature,0.010874854690918588
Rh Loading,0.010649167681641676
Zunger Pseudopotential (p),0.010474777306017199
Zunger Pseudopotential (sigma),0.009969590675781896
Eighth Ionization Energy,0.009871583096241438
Seventh Ionization Energy,0.009730420099520888
Periodic Table Row,0.00922383649532365
Number s-shell Valance Electrons,0.009168396225178826
First Ionization Energy,0.008756637483158258
Density,0.007842490710111085
Number s-shell Unfilled Electrons,0.006933494098744202
Zunger Pseudopotential (pi),0.006374532077706963
Atomic Volume,0.006044537469196201
Re Loading,0.005174496103724354
Heat Capacity (Molar),0.005116206958398342
Hf Loading,0.004163923038480256
IsDBlock,0.0038751500131149518
W Loading,0.0028634620611538704
Mg Loading,0.002852414337459408
Mo Loading,0.0024557998141563
Sr Loading,0.0023538524742734686
Sc Loading,0.0023056620520792866
Zn Loading,0.0018990660687021074
Y Loading,0.0012018991158962728
Ni Loading,0.0011549935855003934
Number f-shell Valance Electrons,0.0010589143126243559
Mn Loading,0.0008899603299446669
Pd Loading,0.0008514662106280428
Number p-shell Unfilled Electrons,0.000803829892372561
Cr Loading,0.0006882198746110127
Ca Loading,0.0006618747865200161
Bi Loading,0.0005362697219472007
Cu Loading,0.00041800097558326795
Number p-shell Valance Electrons,0.00038982415760675494
In Loading,0.0001984193603442583
Ir Loading,9.735392741330525e-05
Number f-shell Unfilled Electrons,0.0
Co Loading,0.0
IsMetal,0.0
Fe Loading,0.0
Pt Loading,0.0
IsNonmetal,0.0
GS Bandgap,0.0
K Loading,0.0
Os Loading,0.0
n,0.0
IsMetalloid,0.0
IsFBlock,0.0
