,Feature Importance
Mg Loading,0.004692523226446812
K Loading,0.0
Ca Loading,0.0015659489881940203
Sc Loading,0.005918031130771654
Cr Loading,0.0007429629073552467
Mn Loading,0.0014637283024695972
Fe Loading,0.0015308318202088595
Co Loading,0.0006826688277900961
Ni Loading,0.0056253100637552065
Cu Loading,0.00022431786832969615
Zn Loading,0.0019375833545593698
Sr Loading,0.01730925157499451
Y Loading,0.0013825098298633567
Mo Loading,0.008729226274730833
Ru Loading,0.026167662893643914
Rh Loading,0.015747145463159112
Pd Loading,0.001806422297693617
In Loading,0.0002679821715886478
Hf Loading,0.002471149745912372
W Loading,0.0015258725603475652
Re Loading,0.004870493876331155
Os Loading,0.0001282601818046061
Ir Loading,0.00035198770829284723
Pt Loading,0.0011885082567121427
Bi Loading,0.0005536432702976623
reactor_number,0.013596189284405324
temperature,0.0
space_velocity,0.018316147670948982
ammonia_concentration,0.05644320411485856
n_elements,0.0008298811127004335
Atomic Number_wt-mean,0.00866526644506059
Atomic Number_wt-mad,0.0037437749348594386
Atomic Volume_wt-mean,0.0012564474147148915
Atomic Volume_wt-mad,0.006277456632980355
Atomic Weight_wt-mean,0.009572074379203455
Atomic Weight_wt-mad,0.003876347962184099
Boiling Temperature_wt-mean,0.009059676185730219
Boiling Temperature_wt-mad,0.009765033585908927
Periodic Table Column_wt-mean,0.02270689720489031
Periodic Table Column_wt-mad,0.010601415213374966
Covalent Radius_wt-mean,0.010662833632066245
Covalent Radius_wt-mad,0.013142342106780208
Density_wt-mean,0.00455897383801463
Density_wt-mad,0.004477680836277619
Dipole Polarizability_wt-mean,0.004954219709016296
Dipole Polarizability_wt-mad,0.01014514456526865
Electron Affinity_wt-mean,0.007463554348219482
Electron Affinity_wt-mad,0.011079344365626815
Electronegativity_wt-mean,0.004041108723346768
Electronegativity_wt-mad,0.006275741728382795
Fusion Enthalpy_wt-mean,0.004923833419385098
Fusion Enthalpy_wt-mad,0.012655317850989573
GS Bandgap_wt-mean,0.0
GS Bandgap_wt-mad,0.0
GS Energy_wt-mean,0.00894739201710656
GS Energy_wt-mad,0.010349680055126313
Heat Capacity (Mass)_wt-mean,0.005051195859116794
Heat Capacity (Mass)_wt-mad,0.0034495902514849793
Heat Capacity (Molar)_wt-mean,0.003767877529347548
Heat Capacity (Molar)_wt-mad,0.003781454820273617
Heat Fusion_wt-mean,0.005646418118521656
Heat Fusion_wt-mad,0.01096383310079592
First Ionization Energy_wt-mean,0.0036480980869339763
First Ionization Energy_wt-mad,0.0043791278670582
Second Ionization Energy_wt-mean,0.007448543636191934
Second Ionization Energy_wt-mad,0.06817918818058791
Third Ionization Energy_wt-mean,0.00782337349617463
Third Ionization Energy_wt-mad,0.02327393387584314
Fourth Ionization Energy_wt-mean,0.008995480420387447
Fourth Ionization Energy_wt-mad,0.020438115386046937
Fifth Ionization Energy_wt-mean,0.005674851650904542
Fifth Ionization Energy_wt-mad,0.006644513755325631
Sixth Ionization Energy_wt-mean,0.0122039580203544
Sixth Ionization Energy_wt-mad,0.011609991068009095
Seventh Ionization Energy_wt-mean,0.010137018054009895
Seventh Ionization Energy_wt-mad,0.005086160129269415
Eighth Ionization Energy_wt-mean,0.008584602985202734
Eighth Ionization Energy_wt-mad,0.01165749280260167
IsAlkali_wt-mean,0.008917509068043106
IsAlkali_wt-mad,0.004525426449428155
IsDBlock_wt-mean,0.003771086296131611
IsDBlock_wt-mad,0.006309821283405026
IsFBlock_wt-mean,0.0
IsFBlock_wt-mad,0.0
IsMetal_wt-mean,0.0
IsMetal_wt-mad,0.0
IsMetalloid_wt-mean,0.0
IsMetalloid_wt-mad,0.0
IsNonmetal_wt-mean,0.0
IsNonmetal_wt-mad,0.0
Melting Temperature_wt-mean,0.0049461886605751335
Melting Temperature_wt-mad,0.011893107504088195
Mendeleev Number_wt-mean,0.014666094011925666
Mendeleev Number_wt-mad,0.010535536450177936
Number d-shell Unfilled Electrons_wt-mean,0.003480387910065097
Number d-shell Unfilled Electrons_wt-mad,0.057824482119069105
Number d-shell Valance Electrons_wt-mean,0.01167599223192771
Number d-shell Valance Electrons_wt-mad,0.01031584212630825
Number f-shell Unfilled Electrons_wt-mean,0.0
Number f-shell Unfilled Electrons_wt-mad,0.0
Number f-shell Valance Electrons_wt-mean,0.0013259284969693507
Number f-shell Valance Electrons_wt-mad,0.0016360488014887577
Number p-shell Unfilled Electrons_wt-mean,0.0008771666836265047
Number p-shell Unfilled Electrons_wt-mad,0.0005314690312313029
Number p-shell Valance Electrons_wt-mean,0.0008037448478524791
Number p-shell Valance Electrons_wt-mad,0.0002843291295852591
Number s-shell Unfilled Electrons_wt-mean,0.006364325539784666
Number s-shell Unfilled Electrons_wt-mad,0.007369012923612947
Number s-shell Valance Electrons_wt-mean,0.005938133219682324
Number s-shell Valance Electrons_wt-mad,0.008163911882704277
Number Unfilled Electrons_wt-mean,0.006120059893809285
Number Unfilled Electrons_wt-mad,0.03897303267041071
Number Valence Electrons_wt-mean,0.008795249495909506
Number Valence Electrons_wt-mad,0.004299776050866803
Polarizability_wt-mean,0.005413286099869328
Polarizability_wt-mad,0.0078010727720385685
Periodic Table Row_wt-mean,0.012201355224021168
Periodic Table Row_wt-mad,0.0035817928647099784
Zunger Pseudopotential (d)_wt-mean,0.006037656954365409
Zunger Pseudopotential (d)_wt-mad,0.004252536378897921
Zunger Pseudopotential (p)_wt-mean,0.006234963216035398
Zunger Pseudopotential (p)_wt-mad,0.008277640892674945
Zunger Pseudopotential (pi)_wt-mean,0.005989349598434553
Zunger Pseudopotential (pi)_wt-mad,0.003150878547729253
Zunger Pseudopotential (s)_wt-mean,0.009356033872060352
Zunger Pseudopotential (s)_wt-mad,0.006960474724641378
Zunger Pseudopotential (sigma)_wt-mean,0.005262177010027418
Zunger Pseudopotential (sigma)_wt-mad,0.0068405966953572015
phi_wt-mean,0.00516035246062866
phi_wt-mad,0.004326614662084962
Conductivity_wt-mean,0.004266177661690886
Conductivity_wt-mad,0.010827556558930872
